model,id,prob,identity_share,matched_tokens,comment_text
baseline,856877,0.9971,0.3601,mental,Liberalism is a mental disorder.
baseline,865101,0.9959,0.1658,women women,"Many servers treat women like crap if they are with other women or children.  

They should rethink it."
baseline,768984,0.9935,0.0155,jewish,Peter Kent shows himself a complete fool. How can one continue to support he building of Israeli settlements on  Palestinian land. It is time to call Netanyahu'
baseline,5566856,0.9893,0.2895,blacks blacks gay,"""Wrong and your thoughts on blacks are abhorrent. Blacks should ride on any bus on any seat just like gays should be able to buy any pre made cake, because its "
baseline,7023642,0.9894,0.0471,women women white,"""Furry Cute animal"" is a carnivore.  As for the Women's March,  I did see pictures of women dressed in vagina costumes,  however.    That was somewhat confusing"
baseline,5817957,0.9877,0.1084,woman,"Silly, grandstanding woman whose 15 minutes were a long, long time ago."
baseline,5345539,0.9874,0.0233,woman woman,Cut this clown immediately. First he leaks videos during practice (something NFL teams take very seriously) and then he threatens a woman with violence? Not onl
baseline,5678903,0.9871,0.1471,mental illness mental,"Now it is not nice to make fun with a person with mental illness.  The Donald is not an imbecile, he is suffereing from Dementia which has really reduced his me"
baseline,5003124,0.9855,0.0762,man,"Get a grip man, its called private school and access to resources.
Truly your endless blather is short of pathetic."
baseline,725512,0.9853,0.0487,women,Spanish civil war women activists - now that is really something our tax money should be spent on. Obama racked up 10 Trillion dollars in debt nothing but deep 
baseline,5527511,0.9852,0.1145,white,"In this context, angry racist liberals that assume when cops kill someone with a Spanish surname, they're racist dogs. It should really be obvious since these h"
baseline,5937637,0.9844,0.1176,white,What Gupta virus? This dude himself is a virus. Such cheats and hypocrites should not be allowed to be in a position of power of any kind let alone president. P
baseline,5963355,0.9843,0.0365,white,"From the video: ""Ant-fa, short for anti-fascists, describes a decentralized, leaderless movement dedicated to fighting right-wing authoritarianism and white sup"
baseline,489836,0.984,0.0,,He was mentally-ill.
baseline,7180409,0.981,0.0307,women,"He's a hypocritical dem money bundler. He was also a well known pervert that Hollywood dems refused to call out, and yet accused the other party on of a war on "
baseline,5373762,0.9796,0.0041,man,"LOL. Love that headline. Reminds me of the Wizard of Oz... ""Pay no attention to that man behind the curtain.""  She's a traitor. Hang her high."
baseline,5300362,0.9785,0.0125,woman,"I agree. For the most part jail is stupid, vindictive, expensive, and ineffective. Treatment should be available to anyone who will accept it. 

But one way or "
baseline,7164166,0.9768,0.0048,man,I have no idea what kind of legal punishment this young man will get for starting the terrible fire.  I used to live in Gresham and spent many wonderful days wa
baseline,7087205,0.9743,0.6152,black men black men black black black men,"Maybe Black men should quit killing black men, that would help cut down the numbers a bit don't you think. It's a FACT that black on black killings is the leadi"
baseline,522337,0.9722,0.1097,men men women men men men women,"men arent pigs! if more men insisted that women be treated with respet, then excuses like ""men are pigs"" and ""boys will be boys"" wouldnt degrade all men and mak"
mitigated,856877,0.9979,0.3518,mental,Liberalism is a mental disorder.
mitigated,865101,0.9982,0.0968,women women,"Many servers treat women like crap if they are with other women or children.  

They should rethink it."
mitigated,768984,0.986,0.0125,jewish,Peter Kent shows himself a complete fool. How can one continue to support he building of Israeli settlements on  Palestinian land. It is time to call Netanyahu'
mitigated,5566856,0.9965,0.3241,blacks blacks gay,"""Wrong and your thoughts on blacks are abhorrent. Blacks should ride on any bus on any seat just like gays should be able to buy any pre made cake, because its "
mitigated,7023642,0.9965,0.0203,women women white,"""Furry Cute animal"" is a carnivore.  As for the Women's March,  I did see pictures of women dressed in vagina costumes,  however.    That was somewhat confusing"
mitigated,5817957,0.995,0.0778,woman,"Silly, grandstanding woman whose 15 minutes were a long, long time ago."
mitigated,5345539,0.995,0.0213,woman woman,Cut this clown immediately. First he leaks videos during practice (something NFL teams take very seriously) and then he threatens a woman with violence? Not onl
mitigated,5678903,0.9962,0.0908,mental illness mental,"Now it is not nice to make fun with a person with mental illness.  The Donald is not an imbecile, he is suffereing from Dementia which has really reduced his me"
mitigated,5003124,0.9717,0.0284,man,"Get a grip man, its called private school and access to resources.
Truly your endless blather is short of pathetic."
mitigated,725512,0.9799,0.0167,women,Spanish civil war women activists - now that is really something our tax money should be spent on. Obama racked up 10 Trillion dollars in debt nothing but deep 
mitigated,5527511,0.9955,0.0869,white,"In this context, angry racist liberals that assume when cops kill someone with a Spanish surname, they're racist dogs. It should really be obvious since these h"
mitigated,5937637,0.9954,0.0637,white,What Gupta virus? This dude himself is a virus. Such cheats and hypocrites should not be allowed to be in a position of power of any kind let alone president. P
mitigated,5963355,0.9809,0.0268,white,"From the video: ""Ant-fa, short for anti-fascists, describes a decentralized, leaderless movement dedicated to fighting right-wing authoritarianism and white sup"
mitigated,489836,0.997,0.0,,He was mentally-ill.
mitigated,7180409,0.9126,0.0193,women,"He's a hypocritical dem money bundler. He was also a well known pervert that Hollywood dems refused to call out, and yet accused the other party on of a war on "
mitigated,5373762,0.9865,0.0126,man,"LOL. Love that headline. Reminds me of the Wizard of Oz... ""Pay no attention to that man behind the curtain.""  She's a traitor. Hang her high."
mitigated,5300362,0.983,0.0253,woman,"I agree. For the most part jail is stupid, vindictive, expensive, and ineffective. Treatment should be available to anyone who will accept it. 

But one way or "
mitigated,7164166,0.9839,0.0214,man,I have no idea what kind of legal punishment this young man will get for starting the terrible fire.  I used to live in Gresham and spent many wonderful days wa
mitigated,7087205,0.9985,0.602,black men black men black black black men,"Maybe Black men should quit killing black men, that would help cut down the numbers a bit don't you think. It's a FACT that black on black killings is the leadi"
mitigated,522337,0.9916,0.0751,men men women men men men women,"men arent pigs! if more men insisted that women be treated with respet, then excuses like ""men are pigs"" and ""boys will be boys"" wouldnt degrade all men and mak"
