subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,638,280,7340,536,0.03674540682414698,0.03274926478079416,0.04120839316188724,0.4565587734241908,0.4282535707165029,0.48514733800840587,0.6949891067538126,0.5434412265758092,0.609942638623327,True,True
male,7346,6224,1122,639,269,5955,483,0.043219794344473005,0.03844328120625952,0.04855981005793225,0.4304812834224599,0.40179469569686516,0.459642277708424,0.7037444933920705,0.56951871657754,0.6295566502463054,True,True
christian,6689,6023,666,294,158,5865,372,0.026232774364934416,0.022488378992188213,0.030581120347732912,0.5585585585585585,0.5206173245487627,0.595828140229313,0.6504424778761062,0.44144144144144143,0.5259391771019678,True,True
white,4218,3024,1194,657,263,2761,537,0.08697089947089948,0.07744408572145042,0.09754574318031137,0.44974874371859297,0.42173768155770786,0.47808211586511384,0.7141304347826087,0.550251256281407,0.6215704824976348,True,True
muslim,3471,2651,820,426,192,2459,394,0.07242549981139193,0.06316542702821674,0.0829229420275298,0.48048780487804876,0.44646209893138245,0.5146954761610302,0.6893203883495146,0.5195121951219512,0.5924895688456189,True,True
black,2472,1657,815,436,135,1522,379,0.08147254073627037,0.06924865336822938,0.0956325021245649,0.46503067484662575,0.4310315367448055,0.49935791852032957,0.7635726795096323,0.5349693251533743,0.6291486291486292,True,True
homosexual_gay_or_lesbian,1818,1319,499,241,109,1210,258,0.08263836239575435,0.06896362316967558,0.09873709209099107,0.5170340681362725,0.47322698583454953,0.5605808868095834,0.6885714285714286,0.48296593186372744,0.5677267373380448,True,True
jewish,1334,1124,210,89,52,1072,121,0.046263345195729534,0.03545270555628843,0.06016486371932277,0.5761904761904761,0.5085752403591578,0.6410683328584751,0.6312056737588653,0.4238095238095238,0.5071225071225072,True,True
psychiatric_or_mental_illness,838,690,148,96,34,656,52,0.04927536231884058,0.035473634969512294,0.06806797083594267,0.35135135135135137,0.27908632834911595,0.4311377412710361,0.7384615384615385,0.6486486486486487,0.6906474820143885,True,True
asian,780,686,94,48,17,669,46,0.02478134110787172,0.015528874693796935,0.039326423341472364,0.48936170212765956,0.39072762909152087,0.5888311384891503,0.7384615384615385,0.5106382978723404,0.6037735849056604,True,False
transgender,412,327,85,41,20,307,44,0.06116207951070336,0.03993846167434861,0.09257654710650323,0.5176470588235295,0.41297545500900923,0.6207925632093185,0.6721311475409836,0.4823529411764706,0.5616438356164384,True,False
latino,355,276,79,41,12,264,38,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.4810126582278481,0.37429730453787924,0.5894889440059407,0.7735849056603774,0.5189873417721519,0.6212121212121211,True,False
atheist,217,195,22,10,2,193,12,0.010256410256410256,0.00281719866017395,0.03661853505049643,0.5454545454545454,0.3465979532073494,0.7307970581918668,0.8333333333333334,0.45454545454545453,0.5882352941176471,True,False
heterosexual,186,151,35,12,10,141,23,0.06622516556291391,0.036366701053927426,0.11760665338406232,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.5454545454545454,0.34285714285714286,0.42105263157894735,True,False
buddhist,94,80,14,8,3,77,6,0.0375,0.012834568919911422,0.10454720090045114,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.7272727272727273,0.5714285714285714,0.64,False,False
other_race_or_ethnicity,89,71,18,5,2,69,13,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.7222222222222222,0.4912734343970254,0.8750024662044599,0.7142857142857143,0.2777777777777778,0.4,False,False
hindu,81,71,10,4,2,69,6,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6,0.3126737697336583,0.8318196702937637,0.6666666666666666,0.4,0.5,False,False
other_religion,45,42,3,0,2,40,3,0.047619047619047616,0.013157524908905607,0.15789852396958837,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,2,2,33,8,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.8,0.49016247153664183,0.9433178485456247,0.5,0.2,0.28571428571428575,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
