model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4123,0.6026463508605957,0.03904923599320883,0.027892311423720593,True
baseline,female,equalize,5022,0.5808870792388916,0.0380326563122262,0.027877339705296694,True
baseline,transgender,equalize,229,0.6146831512451172,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,111,0.590897262096405,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,equalize,870,0.7245780229568481,0.07816091954022988,0.027586206896551724,True
baseline,bisexual,equalize,27,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4145,0.4535341262817383,0.021712907117008445,0.02798552472858866,True
baseline,jewish,equalize,697,0.6822562217712402,0.047345767575322814,0.027259684361549498,True
baseline,muslim,equalize,1773,0.750552773475647,0.07445008460236886,0.02763677382966723,True
baseline,hindu,equalize,83,,,,False
baseline,buddhist,equalize,82,,,,False
baseline,atheist,equalize,147,0.5580259561538696,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1160,0.7579735517501831,0.09310344827586207,0.027586206896551724,True
baseline,white,equalize,1968,0.7701191902160645,0.10264227642276423,0.027947154471544715,True
baseline,asian,equalize,436,0.6607198715209961,0.03211009174311927,0.027522935779816515,True
baseline,latino,equalize,167,0.8541562557220459,0.059880239520958084,0.023952095808383235,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,396,0.5882388353347778,0.050505050505050504,0.027777777777777776,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4123,0.6026463508605957,0.03904923599320883,0.027892311423720593,True
baseline,female,cap,5022,0.5808870792388916,0.0380326563122262,0.027877339705296694,True
baseline,transgender,cap,229,0.6146831512451172,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,111,0.590897262096405,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,cap,870,0.7245780229568481,0.07816091954022988,0.027586206896551724,True
baseline,bisexual,cap,27,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4145,0.5,0.021712907117008445,0.021712907117008445,True
baseline,jewish,cap,697,0.6822562217712402,0.047345767575322814,0.027259684361549498,True
baseline,muslim,cap,1773,0.750552773475647,0.07445008460236886,0.02763677382966723,True
baseline,hindu,cap,83,,,,False
baseline,buddhist,cap,82,,,,False
baseline,atheist,cap,147,0.5580259561538696,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1160,0.7579735517501831,0.09310344827586207,0.027586206896551724,True
baseline,white,cap,1968,0.7701191902160645,0.10264227642276423,0.027947154471544715,True
baseline,asian,cap,436,0.6607198715209961,0.03211009174311927,0.027522935779816515,True
baseline,latino,cap,167,0.8541562557220459,0.059880239520958084,0.023952095808383235,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,396,0.5882388353347778,0.050505050505050504,0.027777777777777776,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4123,0.5414997935295105,0.025466893039049237,0.02425418384671356,True
mitigated,female,equalize,5022,0.4991588592529297,0.024093986459577856,0.02429311031461569,True
mitigated,transgender,equalize,229,0.646683394908905,0.034934497816593885,0.021834061135371178,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,111,0.6500230431556702,0.018018018018018018,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,equalize,870,0.8003801107406616,0.052873563218390804,0.02413793103448276,True
mitigated,bisexual,equalize,27,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4145,0.2641685009002685,0.01399276236429433,0.02436670687575392,True
mitigated,jewish,equalize,697,0.5697928071022034,0.02582496413199426,0.024390243902439025,True
mitigated,muslim,equalize,1773,0.7721872925758362,0.043993231810490696,0.024252679075014102,True
mitigated,hindu,equalize,83,,,,False
mitigated,buddhist,equalize,82,,,,False
mitigated,atheist,equalize,147,0.8846385478973389,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1160,0.9152045845985411,0.0706896551724138,0.02413793103448276,True
mitigated,white,equalize,1968,0.8820220232009888,0.0625,0.024390243902439025,True
mitigated,asian,equalize,436,0.7289412617683411,0.02981651376146789,0.022935779816513763,True
mitigated,latino,equalize,167,0.9207897186279296,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,equalize,39,,,,False
mitigated,physical_disability,equalize,8,,,,False
mitigated,intellectual_or_learning_disability,equalize,10,,,,False
mitigated,psychiatric_or_mental_illness,equalize,396,0.6444488763809204,0.030303030303030304,0.022727272727272728,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4123,0.5414997935295105,0.025466893039049237,0.02425418384671356,True
mitigated,female,cap,5022,0.5,0.024093986459577856,0.024093986459577856,True
mitigated,transgender,cap,229,0.646683394908905,0.034934497816593885,0.021834061135371178,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,111,0.6500230431556702,0.018018018018018018,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,cap,870,0.8003801107406616,0.052873563218390804,0.02413793103448276,True
mitigated,bisexual,cap,27,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4145,0.5,0.01399276236429433,0.01399276236429433,True
mitigated,jewish,cap,697,0.5697928071022034,0.02582496413199426,0.024390243902439025,True
mitigated,muslim,cap,1773,0.7721872925758362,0.043993231810490696,0.024252679075014102,True
mitigated,hindu,cap,83,,,,False
mitigated,buddhist,cap,82,,,,False
mitigated,atheist,cap,147,0.8846385478973389,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,cap,37,,,,False
mitigated,black,cap,1160,0.9152045845985411,0.0706896551724138,0.02413793103448276,True
mitigated,white,cap,1968,0.8820220232009888,0.0625,0.024390243902439025,True
mitigated,asian,cap,436,0.7289412617683411,0.02981651376146789,0.022935779816513763,True
mitigated,latino,cap,167,0.9207897186279296,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,cap,39,,,,False
mitigated,physical_disability,cap,8,,,,False
mitigated,intellectual_or_learning_disability,cap,10,,,,False
mitigated,psychiatric_or_mental_illness,cap,396,0.6444488763809204,0.030303030303030304,0.022727272727272728,True
mitigated,other_disability,cap,0,,,,False
