id,error_type,label,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question
7087205,false_positive,0,0.9982,1,"Maybe Black men should quit killing black men, that would help cut down the numbers a bit don't you think. It's a FACT that black on black killings is the leading cause of death of young black men.",0,1,0,0,0
865101,false_positive,0,0.9982,1,"Many servers treat women like crap if they are with other women or children.  

They should rethink it.",0,0,0,0,0
7023642,false_positive,0,0.9976,1,"""Furry Cute animal"" is a carnivore.  As for the Women's March,  I did see pictures of women dressed in vagina costumes,  however.    That was somewhat confusing.  Would make a good movie title:  ""The Vaginas are Coming!!",0,1,1,1,0
5566856,false_positive,0,0.9976,1,"""Wrong and your thoughts on blacks are abhorrent. Blacks should ride on any bus on any seat just like gays should be able to buy any pre made cake, because its right.""

Come on, Thor......Peterpi was mimicking an old-sch",0,0,0,1,0
6063831,false_positive,0,0.9975,1,"I tell you what we really need.

We need to be vigilant and look out for radical islamic terrorism, the forced marriages, the forced genital mutilation, the misogamy, and if you are gay watch out as you will be thrown of",0,0,0,0,0
856877,false_positive,0,0.9972,1,Liberalism is a mental disorder.,0,0,0,0,0
6299730,false_positive,0,0.9971,1,"Asian countries for Asians.

Black countries for Blacks.

but White countries for everybody?

That's genocide.

Anti-racist is a codeword for Anti-White.",0,0,0,0,0
573864,false_positive,0,0.9969,1,"Denial is more than an Egyptian river.

New Homophiles = Old Celibates.    Self-denying is not equal to being Gay.",0,1,0,0,0
5527511,false_positive,0,0.9964,1,"In this context, angry racist liberals that assume when cops kill someone with a Spanish surname, they're racist dogs. It should really be obvious since these hordes never form when the deceased is white.",0,1,0,0,0
7166270,false_positive,0,0.9964,1,"Hey! Come on, Putin is a great guy. Potus Elect Pussy Grabber said so.",0,0,0,1,0
5461839,false_positive,0,0.9962,1,"That's great if they can just put a Transgendered, gay woman on the moon with a white male to do the dishes then everything will be perfect.",0,0,0,0,0
5345539,false_positive,0,0.9961,1,"Cut this clown immediately. First he leaks videos during practice (something NFL teams take very seriously) and then he threatens a woman with violence? Not only threatens the woman himself, but is such a coward he has h",0,1,0,0,0
5763266,false_positive,0,0.9961,1,That despicable woman has a lot of 'soul searching' to do.,0,0,0,0,0
6309267,false_positive,0,0.9961,1,"How about a certain white Christian man who beat HIS wife and child then went on to murder 26 people?

Perhaps white men are more of a problem than burkas.",0,0,0,0,0
5925401,false_positive,0,0.996,1,"The best qualified candidate is not always the disabled native lesbian who has converted to Islam.

Funny how that works.",0,1,0,0,0
5688101,false_negative,1,0.0002,1,Another tantrum by an undisciplined man who is supposed to be leading this country.  An embarrassment to this nation and its laws that make this nation a free democracy.,0,0,0,0,0
647149,false_negative,1,0.0002,1,"Kag, the ""cesspools of gossip and backstabbing"" may be a bit hard for catholic communities to acknowledge but you do have a point. However, such behaviour was also common in early Christian communities. We are human bein",0,1,1,1,0
7176346,false_negative,1,0.0002,1,Perhaps the Christian Nationalists should form their own party: Christian Nationalist Party or CNP.  That would permit the Republican Party to return to being reasonable centrists instead of fringe extremists.,0,0,0,0,0
4996098,false_negative,1,0.0003,1,Trump be da man!,0,0,0,0,0
896027,false_negative,1,0.0003,1,"I think you all have missed Ms. Duggan's very interesting allusion in describing these women as ""hysterical,"" She was undoubtedly referring to the historical fact that the treatment for ""hysteria"" in women was the occasi",0,0,0,1,0
6280400,false_negative,1,0.0003,1,"Yes, that type of information is the State's business, as well as being the business of special interest groups.

You see, what conservative types fail to understand is that State bureaucrats and special interest lobby g",0,0,0,0,0
5264934,false_negative,1,0.0003,1,You can add that women are there only to please men and bear children.,0,0,0,0,0
6109143,false_negative,1,0.0003,1,"Your wonderful comment reminds me of how, in Jewish households, it is the woman who says the Sabbath prayers and lights the candles.  No one thinks her prayers and the ritual are diminished because it is done by a woman.",0,1,0,1,0
5619496,false_negative,1,0.0003,1,"Latina bruta , Joannes. But we get the idea....",0,0,0,0,0
994320,false_negative,1,0.0003,1,This comment encapsulates the narrowness of your own evaluation. I am grateful that someone like Schonborn is in one of the preeminent Sees of the Church where he has been able to be a force for good. Where he has given ,0,1,1,0,0
910631,false_negative,1,0.0003,1,"""It denies entry to citizens of seven Muslim-majority nations – Iraq, Iran, Syria, Libya, Sudan, Somalia and Yemen – for at least 90 days, with exceptions for diplomats.""

Denial of entry is for everyone. Refugees are de",0,0,0,1,0
562703,false_negative,1,0.0003,1,"Bussel, I will quote:  ""I am ashamed to be the same species as this man,"" MacEnulty recalled her saying."""" I feel that EXACTLY and include you.",0,0,1,1,0
5008439,false_negative,1,0.0003,1,"http://washingtonmonthly.com/2017/03/15/the-fear-sweeps-over-the-trump-administration/

The Fear Sweeps Over the Trump Administration

President Donald Trump appointed a massage therapist from New Hampshire with no appar",0,0,0,0,0
538553,false_negative,1,0.0004,1,"From the 'Veterinarian's  Oath': 

""...I solemnly swear to use my scientific knowledge and skills for the benefit of society through the protection of animal health and welfare, the prevention and relief of animal suffer",0,1,1,1,0
560766,false_negative,1,0.0004,1,"this female is a female, and despite the nip and tucks and hormone therapy, will forever remain a female. CNS News published an article by John Hopkins Psychiatrist Paul R. McHugh.He had a great deal of experience with t",0,0,0,0,0
