subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9044349465899386,0.9084617162381466,0.9348501678971848,True
male,7346,6224,1122,0.9037642224452296,0.901543024801243,0.938963523773224,True
christian,6689,6023,666,0.9088304642015418,0.9316714256981107,0.9139270810449721,True
white,4218,3024,1194,0.8401971830049719,0.8055688860066292,0.9553055145534534,True
muslim,3471,2651,820,0.8435735249468677,0.8460482655796954,0.939877245483328,True
black,2472,1657,815,0.8429666297655235,0.8029637151208935,0.9537342246218126,True
homosexual_gay_or_lesbian,1818,1319,499,0.8255798936766634,0.8077715710744435,0.9479005726945979,True
jewish,1334,1124,210,0.844178952719878,0.8858671453253208,0.9117136975733893,True
psychiatric_or_mental_illness,838,690,148,0.9099148061104583,0.8833521500526673,0.9505764658207306,True
asian,780,686,94,0.9137460455306743,0.9217116898966516,0.9264888107757585,False
transgender,412,327,85,0.8467350242849433,0.8415245383009866,0.9399601714652176,False
latino,355,276,79,0.8864887176664833,0.8836901260908009,0.9320804594143768,False
atheist,217,195,22,0.9041958041958041,0.9178029114056493,0.9260450886802215,False
heterosexual,186,151,35,0.8198675496688741,0.8278158793696035,0.9304447008485373,False
buddhist,94,80,14,0.8937499999999999,0.88064677843524,0.9409919881298514,False
other_race_or_ethnicity,89,71,18,0.9119718309859155,0.8903266990444177,0.9423299538826341,False
hindu,81,71,10,0.867605633802817,0.8985337970787003,0.9071004873130567,False
other_religion,45,42,3,0.8650793650793651,0.9173669467787116,0.8991697318844231,False
bisexual,45,35,10,0.8,0.8524379024839006,0.9152478755919793,False
physical_disability,15,14,1,1.0,0.9219377039342911,0.9850420534859905,False
intellectual_or_learning_disability,14,13,1,1.0,0.9727366359028212,0.9441478646253022,False
other_gender,2,1,1,0.0,0.7863612496718299,0.8366817724068478,False
other_sexual_orientation,1,0,1,,,0.994276698947651,False
