model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4123,0.6329566240310669,0.053601746301236965,0.03783652680087315,True
baseline,female,equalize,5022,0.6190683841705322,0.04898446833930705,0.0380326563122262,True
baseline,transgender,equalize,229,0.7195807099342346,0.10480349344978165,0.034934497816593885,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,111,0.7041600942611694,0.06306306306306306,0.036036036036036036,True
baseline,homosexual_gay_or_lesbian,equalize,870,0.8165527582168579,0.1310344827586207,0.03793103448275862,True
baseline,bisexual,equalize,27,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4145,0.4333818256855011,0.030880579010856453,0.03787696019300362,True
baseline,jewish,equalize,697,0.6876299977302551,0.05738880918220947,0.03730272596843615,True
baseline,muslim,equalize,1773,0.7988152503967285,0.09757473209249859,0.03778905809362662,True
baseline,hindu,equalize,83,,,,False
baseline,buddhist,equalize,82,,,,False
baseline,atheist,equalize,147,0.6619228720664978,0.05442176870748299,0.034013605442176874,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1160,0.8541562557220459,0.1413793103448276,0.03793103448275862,True
baseline,white,equalize,1968,0.8489722013473511,0.13871951219512196,0.037601626016260166,True
baseline,asian,equalize,436,0.7031419277191162,0.045871559633027525,0.03669724770642202,True
baseline,latino,equalize,167,0.875893235206604,0.09580838323353294,0.03592814371257485,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,396,0.6530162692070007,0.050505050505050504,0.03787878787878788,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4123,0.6329566240310669,0.053601746301236965,0.03783652680087315,True
baseline,female,cap,5022,0.6190683841705322,0.04898446833930705,0.0380326563122262,True
baseline,transgender,cap,229,0.7195807099342346,0.10480349344978165,0.034934497816593885,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,111,0.7041600942611694,0.06306306306306306,0.036036036036036036,True
baseline,homosexual_gay_or_lesbian,cap,870,0.8165527582168579,0.1310344827586207,0.03793103448275862,True
baseline,bisexual,cap,27,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4145,0.5,0.030880579010856453,0.030880579010856453,True
baseline,jewish,cap,697,0.6876299977302551,0.05738880918220947,0.03730272596843615,True
baseline,muslim,cap,1773,0.7988152503967285,0.09757473209249859,0.03778905809362662,True
baseline,hindu,cap,83,,,,False
baseline,buddhist,cap,82,,,,False
baseline,atheist,cap,147,0.6619228720664978,0.05442176870748299,0.034013605442176874,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1160,0.8541562557220459,0.1413793103448276,0.03793103448275862,True
baseline,white,cap,1968,0.8489722013473511,0.13871951219512196,0.037601626016260166,True
baseline,asian,cap,436,0.7031419277191162,0.045871559633027525,0.03669724770642202,True
baseline,latino,cap,167,0.875893235206604,0.09580838323353294,0.03592814371257485,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,396,0.6530162692070007,0.050505050505050504,0.03787878787878788,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4123,0.5441049933433533,0.025951976715983507,0.024496725685180694,True
mitigated,female,equalize,5022,0.5049284100532532,0.02489048187972919,0.024492234169653525,True
mitigated,transgender,equalize,229,0.6713628172874451,0.034934497816593885,0.021834061135371178,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,111,0.6484663486480713,0.02702702702702703,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,equalize,870,0.8060905337333679,0.05517241379310345,0.02413793103448276,True
mitigated,bisexual,equalize,27,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4145,0.2577650845050812,0.01399276236429433,0.024607961399276235,True
mitigated,jewish,equalize,697,0.5488548874855042,0.02582496413199426,0.024390243902439025,True
mitigated,muslim,equalize,1773,0.7696000933647156,0.04512126339537507,0.024252679075014102,True
mitigated,hindu,equalize,83,,,,False
mitigated,buddhist,equalize,82,,,,False
mitigated,atheist,equalize,147,0.885433554649353,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1160,0.9155072569847108,0.07155172413793104,0.02413793103448276,True
mitigated,white,equalize,1968,0.8801805377006531,0.06351626016260163,0.024390243902439025,True
mitigated,asian,equalize,436,0.6997675895690918,0.027522935779816515,0.022935779816513763,True
mitigated,latino,equalize,167,0.9155072569847108,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,equalize,39,,,,False
mitigated,physical_disability,equalize,8,,,,False
mitigated,intellectual_or_learning_disability,equalize,10,,,,False
mitigated,psychiatric_or_mental_illness,equalize,396,0.6472409963607788,0.027777777777777776,0.022727272727272728,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4123,0.5441049933433533,0.025951976715983507,0.024496725685180694,True
mitigated,female,cap,5022,0.5049284100532532,0.02489048187972919,0.024492234169653525,True
mitigated,transgender,cap,229,0.6713628172874451,0.034934497816593885,0.021834061135371178,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,111,0.6484663486480713,0.02702702702702703,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,cap,870,0.8060905337333679,0.05517241379310345,0.02413793103448276,True
mitigated,bisexual,cap,27,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4145,0.5,0.01399276236429433,0.01399276236429433,True
mitigated,jewish,cap,697,0.5488548874855042,0.02582496413199426,0.024390243902439025,True
mitigated,muslim,cap,1773,0.7696000933647156,0.04512126339537507,0.024252679075014102,True
mitigated,hindu,cap,83,,,,False
mitigated,buddhist,cap,82,,,,False
mitigated,atheist,cap,147,0.885433554649353,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,cap,37,,,,False
mitigated,black,cap,1160,0.9155072569847108,0.07155172413793104,0.02413793103448276,True
mitigated,white,cap,1968,0.8801805377006531,0.06351626016260163,0.024390243902439025,True
mitigated,asian,cap,436,0.6997675895690918,0.027522935779816515,0.022935779816513763,True
mitigated,latino,cap,167,0.9155072569847108,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,cap,39,,,,False
mitigated,physical_disability,cap,8,,,,False
mitigated,intellectual_or_learning_disability,cap,10,,,,False
mitigated,psychiatric_or_mental_illness,cap,396,0.6472409963607788,0.027777777777777776,0.022727272727272728,True
mitigated,other_disability,cap,0,,,,False
