subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9030753821871074,0.9339931766675015,0.9071521322160536,True
male,7346,6224,1122,0.9005397569754708,0.9270362769765598,0.9123829642841979,True
christian,6689,6023,666,0.9093812806663545,0.9495954299925935,0.883466348457573,True
white,4218,3024,1194,0.8311431496104862,0.7933586045745579,0.9544162603304789,True
muslim,3471,2651,820,0.8444093807214949,0.8798134935524557,0.9181717277957955,True
black,2472,1657,815,0.8373988766748983,0.7808795422622286,0.9566346827215522,True
homosexual_gay_or_lesbian,1818,1319,499,0.8123920319790453,0.8050269505328347,0.9419797509267962,True
jewish,1334,1124,210,0.8437319945771904,0.9121851057360746,0.8834919358714627,True
psychiatric_or_mental_illness,838,690,148,0.900328045436741,0.8642652071100041,0.9520283005662776,True
asian,780,686,94,0.9090006823398052,0.907972259620507,0.9316019493761888,False
transgender,412,327,85,0.8388199316423819,0.8719316468705782,0.9136153627752109,False
latino,355,276,79,0.8859154283617685,0.8740783454426633,0.9362322428894185,False
atheist,217,195,22,0.9,0.9368758923056673,0.8947926967788551,False
heterosexual,186,151,35,0.8327341532639546,0.8480209293877665,0.9147871445397946,False
buddhist,94,80,14,0.8937499999999999,0.9055070677186062,0.9183032938221926,False
other_race_or_ethnicity,89,71,18,0.9389671361502347,0.874988650492615,0.9585606527381019,False
hindu,81,71,10,0.8725352112676057,0.9247601524510448,0.8860662073601075,False
other_religion,45,42,3,0.8571428571428571,0.9303252551020408,0.8721370306297832,False
bisexual,45,35,10,0.7714285714285715,0.8504815725738317,0.8942288314916199,False
physical_disability,15,14,1,1.0,0.9315765292727749,0.9846223580170228,False
intellectual_or_learning_disability,14,13,1,1.0,0.9733727810650887,0.9598526054257319,False
other_gender,2,1,1,0.0,0.6579154633762142,0.7682863376972138,False
other_sexual_orientation,1,0,1,,,0.9929507728974002,False
