subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,597,221,7344,603,0.029213483146067417,0.02565099824307069,0.03325385017347429,0.5025,0.47424790327748545,0.5307361417195008,0.7298288508557457,0.4975,0.5916749256689792,True,True
male,7296,6187,1109,587,222,5965,522,0.03588168740908356,0.031527600283246124,0.040811751612546784,0.47069431920649235,0.44146921370029113,0.5001217474516396,0.7255871446229913,0.5293056807935077,0.6120959332638165,True,True
christian,6738,6130,608,256,124,6006,352,0.020228384991843394,0.01699296443130336,0.02406474149595641,0.5789473684210527,0.5393269768099419,0.6175764147729644,0.6736842105263158,0.42105263157894735,0.5182186234817814,True,True
white,4146,2986,1160,619,232,2754,541,0.07769591426657736,0.0686278417288769,0.08784917060248207,0.4663793103448276,0.43782934303555926,0.49515121938654555,0.72737955346651,0.5336206896551724,0.6156141223272004,True,True
muslim,3480,2676,804,436,179,2497,368,0.06689088191330343,0.05803241937594956,0.07699103793705436,0.4577114427860697,0.4235564569583808,0.49226861087204726,0.7089430894308943,0.5422885572139303,0.6145172656800564,True,True
black,2427,1669,758,421,162,1507,337,0.09706411024565609,0.08377265060707328,0.11220614767774031,0.4445910290237467,0.4095833010795278,0.4801575380052481,0.7221269296740995,0.5554089709762533,0.627889634601044,True,True
homosexual_gay_or_lesbian,1759,1274,485,222,63,1211,263,0.04945054945054945,0.03884080009225242,0.06276919066553953,0.5422680412371134,0.49776979388482245,0.586101979386844,0.7789473684210526,0.4577319587628866,0.5766233766233766,True,True
jewish,1290,1091,199,95,40,1051,104,0.03666361136571952,0.027039084207916106,0.04953954564320749,0.5226130653266332,0.45344575953790695,0.5909238681127982,0.7037037037037037,0.47738693467336685,0.5688622754491018,True,True
psychiatric_or_mental_illness,785,643,142,84,38,605,58,0.05909797822706065,0.04335652279612001,0.08007628710177855,0.4084507042253521,0.3310495570952387,0.490674661722636,0.6885245901639344,0.5915492957746479,0.6363636363636364,True,True
asian,750,647,103,52,19,628,51,0.02936630602782071,0.018879326640574616,0.04540892398271793,0.49514563106796117,0.40051577668777416,0.5901245607707564,0.7323943661971831,0.5048543689320388,0.5977011494252873,True,True
transgender,413,330,83,23,13,317,60,0.03939393939393939,0.023164227522784766,0.06622388780030918,0.7228915662650602,0.6183830552236828,0.8076807224057988,0.6388888888888888,0.27710843373493976,0.38655462184873945,True,False
latino,325,257,68,25,8,249,43,0.0311284046692607,0.015855994046279496,0.060211126994986444,0.6323529411764706,0.5135563563911616,0.7369953486476433,0.7575757575757576,0.36764705882352944,0.4950495049504951,True,False
atheist,258,216,42,22,7,209,20,0.032407407407407406,0.01578513675400461,0.06537088775748608,0.47619047619047616,0.3335960123070546,0.6227753586865501,0.7586206896551724,0.5238095238095238,0.6197183098591549,True,False
heterosexual,219,171,48,20,6,165,28,0.03508771929824561,0.016178397190256086,0.0744263079382917,0.5833333333333334,0.4428133228397629,0.7115033222158844,0.7692307692307693,0.4166666666666667,0.5405405405405406,True,False
buddhist,131,117,14,5,1,116,9,0.008547008547008548,0.00151035357379644,0.04682950327418935,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.8333333333333334,0.35714285714285715,0.5,True,False
hindu,111,99,12,5,5,94,7,0.050505050505050504,0.021763234491416865,0.11282702686248855,0.5833333333333334,0.3195113125495498,0.8067396863412434,0.5,0.4166666666666667,0.45454545454545453,False,False
other_race_or_ethnicity,74,60,14,6,3,57,8,0.05,0.01714950216439566,0.13700516476348518,0.5714285714285714,0.3259064457965074,0.7861920109552588,0.6666666666666666,0.42857142857142855,0.5217391304347826,False,False
other_religion,45,40,5,1,2,38,4,0.05,0.013820667386148358,0.16503877369140957,0.8,0.37553462976252544,0.9637758913675698,0.3333333333333333,0.2,0.25,False,False
bisexual,40,35,5,3,1,34,2,0.02857142857142857,0.005061491855444203,0.14533087233613673,0.4,0.11762077423264794,0.769275718723987,0.75,0.6,0.6666666666666665,False,False
physical_disability,18,18,0,0,1,17,0,0.05555555555555555,0.00987519097830307,0.25757300781872583,,,,0.0,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
