model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4151,0.6448963284492493,0.0481811611659841,0.029872319922910142,True
baseline,female,equalize,5011,0.5757073163986206,0.03831570544801437,0.02973458391538615,True
baseline,transgender,equalize,219,0.7121320366859436,0.0639269406392694,0.0273972602739726,True
baseline,other_gender,equalize,2,,,,False
baseline,heterosexual,equalize,92,,,,False
baseline,homosexual_gay_or_lesbian,equalize,825,0.731250524520874,0.1006060606060606,0.02909090909090909,True
baseline,bisexual,equalize,24,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4035,0.4623819887638092,0.026517967781908302,0.02973977695167286,True
baseline,jewish,equalize,718,0.6541218161582947,0.04596100278551532,0.02924791086350975,True
baseline,muslim,equalize,1776,0.7203682661056519,0.07376126126126126,0.029842342342342343,True
baseline,hindu,equalize,59,,,,False
baseline,buddhist,equalize,57,,,,False
baseline,atheist,equalize,166,0.6125994324684143,0.03614457831325301,0.024096385542168676,True
baseline,other_religion,equalize,35,,,,False
baseline,black,equalize,1159,0.7919819355010986,0.12510785159620363,0.029335634167385678,True
baseline,white,equalize,1958,0.7588682174682617,0.1128702757916241,0.0296220633299285,True
baseline,asian,equalize,464,0.5434387922286987,0.032327586206896554,0.028017241379310345,True
baseline,latino,equalize,170,0.6617043018341064,0.052941176470588235,0.029411764705882353,True
baseline,other_race_or_ethnicity,equalize,53,,,,False
baseline,physical_disability,equalize,12,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,447,0.6533480882644653,0.040268456375838924,0.029082774049217,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4151,0.6448963284492493,0.0481811611659841,0.029872319922910142,True
baseline,female,cap,5011,0.5757073163986206,0.03831570544801437,0.02973458391538615,True
baseline,transgender,cap,219,0.7121320366859436,0.0639269406392694,0.0273972602739726,True
baseline,other_gender,cap,2,,,,False
baseline,heterosexual,cap,92,,,,False
