subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,605,253,7367,569,0.03320209973753281,0.029408715568237737,0.0374658989649401,0.4846678023850085,0.45617668405920375,0.5132589307848816,0.7051282051282052,0.5153321976149915,0.5954724409448819,True,True
male,7346,6224,1122,590,248,5976,532,0.03984575835475578,0.035263492157539926,0.04499568947476582,0.4741532976827095,0.4450739069766324,0.5034090703150778,0.7040572792362768,0.5258467023172906,0.6020408163265306,True,True
christian,6689,6023,666,268,143,5880,398,0.023742321102440643,0.020190236931109433,0.02790153067238233,0.5975975975975976,0.5598975276950353,0.634178246935091,0.6520681265206812,0.4024024024024024,0.4976787372330548,True,True
white,4218,3024,1194,633,249,2775,561,0.08234126984126984,0.07306574340392769,0.09267657357199316,0.46984924623115576,0.44168218023940853,0.4982096982142844,0.717687074829932,0.5301507537688442,0.6098265895953756,True,True
muslim,3471,2651,820,383,159,2492,437,0.05997736703130894,0.05155948992764668,0.06966863755671887,0.5329268292682927,0.49870448850750343,0.5668421035240502,0.7066420664206642,0.46707317073170734,0.5624082232011747,True,True
black,2472,1657,815,435,147,1510,380,0.08871454435727218,0.0759583706239277,0.10337329119054857,0.4662576687116564,0.4322470133181624,0.5005849172008275,0.7474226804123711,0.5337423312883436,0.6227630637079457,True,True
homosexual_gay_or_lesbian,1818,1319,499,233,114,1205,266,0.08642911296436695,0.07244012591887634,0.10282007421680696,0.533066132264529,0.48920633644371964,0.5764207104537147,0.6714697406340058,0.46693386773547096,0.5508274231678486,True,True
jewish,1334,1124,210,84,48,1076,126,0.042704626334519574,0.03235976705432708,0.05616460668619089,0.6,0.5325179857434847,0.6638892041046585,0.6363636363636364,0.4,0.4912280701754386,True,True
psychiatric_or_mental_illness,838,690,148,90,33,657,58,0.04782608695652174,0.03425494405179468,0.06640415887843668,0.3918918918918919,0.31693146476740436,0.4723224040472516,0.7317073170731707,0.6081081081081081,0.6642066420664207,True,True
asian,780,686,94,45,20,666,49,0.029154518950437316,0.018951046964818134,0.04460190170202843,0.5212765957446809,0.42145414630705824,0.6194283185315994,0.6923076923076923,0.4787234042553192,0.5660377358490566,True,False
transgender,412,327,85,41,18,309,44,0.05504587155963303,0.035099426425152874,0.08532519920281889,0.5176470588235295,0.41297545500900923,0.6207925632093185,0.6949152542372882,0.4823529411764706,0.5694444444444444,True,False
latino,355,276,79,40,11,265,39,0.03985507246376811,0.022397773040736944,0.06994543775295681,0.4936708860759494,0.386302721761508,0.6016260277530985,0.7843137254901961,0.5063291139240507,0.6153846153846154,True,False
atheist,217,195,22,8,5,190,14,0.02564102564102564,0.011000939888087286,0.05860958752800706,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.6153846153846154,0.36363636363636365,0.4571428571428572,True,False
heterosexual,186,151,35,15,13,138,20,0.08609271523178808,0.05100238712386094,0.14172027932460254,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.5357142857142857,0.42857142857142855,0.47619047619047616,True,False
buddhist,94,80,14,7,3,77,7,0.0375,0.012834568919911422,0.10454720090045114,0.5,0.26799202452413634,0.7320079754758637,0.7,0.5,0.5833333333333334,False,False
other_race_or_ethnicity,89,71,18,8,2,69,10,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.8,0.4444444444444444,0.5714285714285714,False,False
hindu,81,71,10,4,3,68,6,0.04225352112676056,0.014473260620475326,0.11702416040484678,0.6,0.3126737697336583,0.8318196702937637,0.5714285714285714,0.4,0.47058823529411764,False,False
other_religion,45,42,3,0,3,39,3,0.07142857142857142,0.024590409873305935,0.19009426801158308,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,1,3,32,9,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.9,0.5958499732047616,0.982123786904927,0.25,0.1,0.14285714285714288,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
