id,error_type,label,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question
7087205,false_positive,0,0.9985,1,"Maybe Black men should quit killing black men, that would help cut down the numbers a bit don't you think. It's a FACT that black on black killings is the leading cause of death of young black men.",0,1,0,0,0
865101,false_positive,0,0.9982,1,"Many servers treat women like crap if they are with other women or children.  

They should rethink it.",0,0,0,0,0
856877,false_positive,0,0.9979,1,Liberalism is a mental disorder.,0,0,0,0,0
5884007,false_positive,0,0.9977,1,This women is dangerous in her warped views of are president.,0,0,0,0,0
5461839,false_positive,0,0.9971,1,"That's great if they can just put a Transgendered, gay woman on the moon with a white male to do the dishes then everything will be perfect.",0,0,0,0,0
5925401,false_positive,0,0.9971,1,"The best qualified candidate is not always the disabled native lesbian who has converted to Islam.

Funny how that works.",0,1,0,0,0
6063831,false_positive,0,0.997,1,"I tell you what we really need.

We need to be vigilant and look out for radical islamic terrorism, the forced marriages, the forced genital mutilation, the misogamy, and if you are gay watch out as you will be thrown of",0,0,0,0,0
489836,false_positive,0,0.997,1,He was mentally-ill.,0,0,0,0,0
6299730,false_positive,0,0.9969,1,"Asian countries for Asians.

Black countries for Blacks.

but White countries for everybody?

That's genocide.

Anti-racist is a codeword for Anti-White.",0,0,0,0,0
5566856,false_positive,0,0.9965,1,"""Wrong and your thoughts on blacks are abhorrent. Blacks should ride on any bus on any seat just like gays should be able to buy any pre made cake, because its right.""

Come on, Thor......Peterpi was mimicking an old-sch",0,0,0,1,0
7023642,false_positive,0,0.9965,1,"""Furry Cute animal"" is a carnivore.  As for the Women's March,  I did see pictures of women dressed in vagina costumes,  however.    That was somewhat confusing.  Would make a good movie title:  ""The Vaginas are Coming!!",0,1,1,1,0
5722358,false_positive,0,0.9964,1,"18 years old and threw away his life. Shame. Where is all the ""lets deport him people"" since only illegal people commit murder? Where are yall at? This is probably a white male. Deport him!",0,0,0,1,0
5678903,false_positive,0,0.9962,1,"Now it is not nice to make fun with a person with mental illness.  The Donald is not an imbecile, he is suffereing from Dementia which has really reduced his mental skills.   Not sure but his followers might also be suff",0,1,0,0,1
6309267,false_positive,0,0.9958,1,"How about a certain white Christian man who beat HIS wife and child then went on to murder 26 people?

Perhaps white men are more of a problem than burkas.",0,0,0,0,0
5841037,false_positive,0,0.9957,1,Do me a favor and reply with that comment to the people who are calling President Trump mentally ill.,0,0,0,0,0
6109143,false_negative,1,0.0003,1,"Your wonderful comment reminds me of how, in Jewish households, it is the woman who says the Sabbath prayers and lights the candles.  No one thinks her prayers and the ritual are diminished because it is done by a woman.",0,1,0,1,0
5942250,false_negative,1,0.0003,1,What happened to separation of church and state?  Who cares what the catholics think.,0,0,0,0,0
5688101,false_negative,1,0.0003,1,Another tantrum by an undisciplined man who is supposed to be leading this country.  An embarrassment to this nation and its laws that make this nation a free democracy.,0,0,0,0,0
7176346,false_negative,1,0.0003,1,Perhaps the Christian Nationalists should form their own party: Christian Nationalist Party or CNP.  That would permit the Republican Party to return to being reasonable centrists instead of fringe extremists.,0,0,0,0,0
975573,false_negative,1,0.0003,1,"It is unlikely that there will be any change in the culture of the Church until women and men are treated as equals before God and are allowed to study together for the priesthood, whether they are gay or straight, marri",0,1,0,1,0
4976209,false_negative,1,0.0004,1,"Wow, how times have changed! All hail the muslim. It wasn't so very long ago that Christians were told to remove all crosses from government properties in Hawaii and even some privately owned churches were heartily chall",0,1,0,1,0
647149,false_negative,1,0.0004,1,"Kag, the ""cesspools of gossip and backstabbing"" may be a bit hard for catholic communities to acknowledge but you do have a point. However, such behaviour was also common in early Christian communities. We are human bein",0,1,1,1,0
896027,false_negative,1,0.0004,1,"I think you all have missed Ms. Duggan's very interesting allusion in describing these women as ""hysterical,"" She was undoubtedly referring to the historical fact that the treatment for ""hysteria"" in women was the occasi",0,0,0,1,0
6223719,false_negative,1,0.0004,1,"As someone who was brought up in a restrictive Christian religion but is now an agnostic atheist, I would say either. Both Catholics and Muslims have a range of moderates, extremists, in-name-only participants and everyo",0,0,0,0,0
4996098,false_negative,1,0.0004,1,Trump be da man!,0,0,0,0,0
5010289,false_negative,1,0.0004,1,"For the liberal Catholic fundamentalists (fundi-cats) who are always saying ""where did Jesus say it was ok to have any army, engage in warfare, have a free market, not abort children, etc.""...let's ask the same question.",0,1,0,1,1
953849,false_negative,1,0.0005,1,"FYI, saudi, kuwait, qatar, bahrain etc. have banned the refugees due to fear of terroism, effects tourism, added expenses and costs. Islam the religion of submission",0,0,0,0,0
5614841,false_negative,1,0.0005,1,"I dont get it.  To date, all Israeli Jews; black/brown/white/Sephardi/Ashkenazi share a single space with separation between the sexes.  What rationale is there to demand being different and have a separate section for a",0,0,0,0,1
910631,false_negative,1,0.0005,1,"""It denies entry to citizens of seven Muslim-majority nations – Iraq, Iran, Syria, Libya, Sudan, Somalia and Yemen – for at least 90 days, with exceptions for diplomats.""

Denial of entry is for everyone. Refugees are de",0,0,0,1,0
5264934,false_negative,1,0.0005,1,You can add that women are there only to please men and bear children.,0,0,0,0,0
