subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,529,179,7376,625,0.02369291859695566,0.02049779858348729,0.027372164133940502,0.5415944540727903,0.5127558778822295,0.5701570280848617,0.7471751412429378,0.4584055459272097,0.5682062298603652,True,True
male,7282,6173,1109,518,175,5998,591,0.028349262919164103,0.0244932514898809,0.032791925923147745,0.5329125338142471,0.5034858198472685,0.5621120237821016,0.7474747474747475,0.4670874661857529,0.5749167591564929,True,True
christian,6671,6068,603,225,102,5966,378,0.016809492419248517,0.013867190408295278,0.020363192619700026,0.6268656716417911,0.5875746211279779,0.6645505390371379,0.6880733944954128,0.373134328358209,0.4838709677419355,True,True
white,4216,3037,1179,563,159,2878,616,0.05235429700362199,0.044982818248757224,0.06085678673528932,0.5224766751484309,0.49393829788448174,0.5508690595215071,0.7797783933518005,0.4775233248515691,0.5923198316675433,True,True
muslim,3556,2724,832,356,122,2602,476,0.044787077826725405,0.0376398549616157,0.05321639990586529,0.5721153846153846,0.5382401307355875,0.6053277657041398,0.7447698744769874,0.42788461538461536,0.5435114503816794,True,True
black,2470,1692,778,378,97,1595,400,0.057328605200945626,0.04722177483974645,0.06944093427828345,0.5141388174807198,0.47903565753716565,0.5491030395756532,0.7957894736842105,0.48586118251928023,0.6033519553072626,True,True
homosexual_gay_or_lesbian,1851,1333,518,211,81,1252,307,0.060765191297824456,0.04915902975907622,0.07489566477964084,0.5926640926640927,0.549820435219097,0.6341434840466313,0.7226027397260274,0.40733590733590735,0.5209876543209876,True,True
jewish,1214,1029,185,68,34,995,117,0.03304178814382896,0.02374005277779636,0.04581704933807263,0.6324324324324324,0.5609195026726044,0.6985574167814321,0.6666666666666666,0.3675675675675676,0.47386759581881527,True,True
psychiatric_or_mental_illness,792,628,164,103,26,602,61,0.041401273885350316,0.028407706917029076,0.05997120212911026,0.3719512195121951,0.30170288648286164,0.4480609662916258,0.7984496124031008,0.6280487804878049,0.7030716723549487,True,True
asian,772,674,98,49,15,659,49,0.02225519287833828,0.013532530937972095,0.03639279950665925,0.5,0.40289182562513004,0.59710817437487,0.765625,0.5,0.6049382716049383,True,False
transgender,390,317,73,28,10,307,45,0.031545741324921134,0.017223603980525658,0.05708555453136787,0.6164383561643836,0.501740834746836,0.7194939031264871,0.7368421052631579,0.3835616438356164,0.5045045045045046,True,False
latino,360,296,64,23,7,289,41,0.02364864864864865,0.011501626098972973,0.048001348876089964,0.640625,0.518208506097791,0.7471159770854825,0.7666666666666667,0.359375,0.4893617021276596,True,False
atheist,255,220,35,15,2,218,20,0.00909090909090909,0.0024966057245408933,0.032534701085228615,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.8823529411764706,0.42857142857142855,0.5769230769230769,True,False
heterosexual,207,155,52,18,9,146,34,0.05806451612903226,0.03084540187040534,0.1066593716493943,0.6538461538461539,0.5180355424727014,0.7684899233353408,0.6666666666666666,0.34615384615384615,0.45569620253164556,True,False
buddhist,100,91,9,4,2,89,5,0.02197802197802198,0.006048006082981144,0.07663164602484938,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.6666666666666666,0.4444444444444444,0.5333333333333333,False,False
hindu,81,76,5,3,2,74,2,0.02631578947368421,0.007246659075128337,0.0909662109865807,0.4,0.11762077423264794,0.769275718723987,0.6,0.6,0.6,False,False
other_race_or_ethnicity,77,59,18,5,1,58,13,0.01694915254237288,0.0029982339183556375,0.08995725964142295,0.7222222222222222,0.4912734343970254,0.8750024662044599,0.8333333333333334,0.2777777777777778,0.4166666666666667,False,False
other_religion,65,57,8,3,3,54,5,0.05263157894736842,0.01806029563366167,0.14369550397163527,0.625,0.3057423946026274,0.8631557141764026,0.5,0.375,0.42857142857142855,False,False
bisexual,52,42,10,6,4,38,4,0.09523809523809523,0.03766224880557387,0.2206510580857102,0.4,0.1681803297062362,0.6873262302663417,0.6,0.6,0.6,False,False
intellectual_or_learning_disability,24,21,3,2,0,21,1,0.0,0.0,0.15463901892484688,0.3333333333333333,0.06149194472039632,0.7923403991979523,1.0,0.6666666666666666,0.8,False,False
physical_disability,14,14,0,0,0,14,0,0.0,0.0,0.21531080273763575,,,,,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
