subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.8782189420850218,0.8810302176920679,0.9127687689284275,True
male,7282,6173,1109,0.8780865565845153,0.8665037626072414,0.9230244024461336,True
christian,6671,6068,603,0.889164646991367,0.9181621262709438,0.8807877281814847,True
white,4216,3037,1179,0.8228915750136221,0.7179375180230574,0.9582881524586315,True
muslim,3556,2724,832,0.8139673256946798,0.7901061771154019,0.9312108371406808,True
black,2470,1692,778,0.7925349596164014,0.6949573614519327,0.9531884795389599,True
homosexual_gay_or_lesbian,1851,1333,518,0.7858837296196636,0.7299034306527625,0.9429721086086971,True
jewish,1214,1029,185,0.821700417618785,0.8365942941225839,0.9052456952101712,True
psychiatric_or_mental_illness,792,628,164,0.870795789964269,0.8194983061853072,0.9416734620758247,True
asian,772,674,98,0.9112517410525041,0.8910561801831233,0.9280993943064181,False
transgender,390,317,73,0.8449937340650793,0.8192361298651134,0.9271118413266665,False
latino,360,296,64,0.8426414695945945,0.8316959414742341,0.9215560955553681,False
atheist,255,220,35,0.9057142857142857,0.9006209244342155,0.9146919454090829,False
heterosexual,207,155,52,0.8096774193548386,0.7554270026473184,0.9425481335545953,False
buddhist,100,91,9,0.8742368742368742,0.8772855265627932,0.9067275545843372,False
hindu,81,76,5,0.8631578947368421,0.860561569408154,0.9082127552306529,False
other_race_or_ethnicity,77,59,18,0.7919020715630886,0.8412965287796654,0.8780124249110506,False
other_religion,65,57,8,0.8355263157894737,0.8146565335951889,0.924503141589947,False
bisexual,52,42,10,0.8595238095238095,0.7983465695385791,0.9530425435428878,False
intellectual_or_learning_disability,24,21,3,0.9841269841269841,0.9760279111644657,0.8810723080367137,False
physical_disability,14,14,0,,0.8276207976299852,,False
other_sexual_orientation,4,2,2,1.0,0.8553892608638571,0.9071820607932325,False
other_gender,2,2,0,,0.7820580128625805,,False
other_disability,1,0,1,,,0.9797586478911062,False
