subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8939,7693,1246,0.9124099497176876,0.945786383226765,0.908598387488746,True
male,7287,6233,1054,0.9181240906955724,0.9344602696333265,0.9241286563652301,True
christian,6625,5999,626,0.92613638481813,0.9598738714424663,0.8923038952688203,True
white,4074,2908,1166,0.8322579988722185,0.7954253547660568,0.9586582730532678,True
muslim,3529,2729,800,0.8506476731403445,0.8901963619746113,0.921578484486034,True
black,2519,1739,780,0.8232383774936965,0.7867937002717813,0.9559534971039587,True
homosexual_gay_or_lesbian,1835,1321,514,0.821545551212529,0.8029747898532927,0.9491151466457219,True
jewish,1266,1061,205,0.86195719638629,0.9175882192464165,0.8987651084473933,True
psychiatric_or_mental_illness,818,654,164,0.9073618259118371,0.889092044622475,0.9478549731023131,True
asian,724,631,93,0.8904537941141386,0.9076632597065513,0.9263743650077065,False
transgender,417,329,88,0.8321704890853829,0.8909758610710986,0.9047203239783237,False
latino,328,249,79,0.8815769406740888,0.8683125073237246,0.945338054816194,False
atheist,243,211,32,0.9540876777251185,0.960425884385676,0.9108559141822469,False
heterosexual,215,168,47,0.7885638297872339,0.8191020960682214,0.927054434322168,False
hindu,104,94,10,0.8882978723404256,0.9456012337014118,0.8877948123119337,False
buddhist,100,88,12,0.9356060606060606,0.9377912986842262,0.9262791420839427,False
other_race_or_ethnicity,77,57,20,0.9201754385964913,0.868356408853427,0.964834352530072,False
bisexual,45,35,10,0.8571428571428572,0.8234759589208268,0.9525333355724985,False
other_religion,44,42,2,0.8928571428571428,0.9350622354757842,0.8976721140764877,False
physical_disability,16,14,2,1.0,0.8801224704139237,0.9877784679436601,False
intellectual_or_learning_disability,15,11,4,0.8409090909090909,0.975407389721244,0.8291233003189524,False
other_sexual_orientation,2,2,0,,0.8814805092531828,,False
other_gender,1,1,0,,0.8164457277857986,,False
