subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9067449878827936,0.919448530763193,0.9327956542217779,True
male,7296,6187,1109,0.9138100875581499,0.9099312095104521,0.9431903085803468,True
christian,6738,6130,608,0.9180329430325407,0.9362638366230833,0.9210529239027581,True
white,4146,2986,1160,0.8469026433702103,0.8161147490477054,0.9570868024773724,True
muslim,3480,2676,804,0.8618108541745682,0.8634895711670928,0.9415339609832396,True
black,2427,1669,758,0.8309175860918725,0.8060322893816606,0.953572971783957,True
homosexual_gay_or_lesbian,1759,1274,485,0.8412257845247535,0.8266461951281128,0.9484449445425644,True
jewish,1290,1091,199,0.8911468432906973,0.8963044240922421,0.9358315341453378,True
psychiatric_or_mental_illness,785,643,142,0.910515190677502,0.8888921359873752,0.9503984612141956,True
asian,750,647,103,0.8859936075389026,0.9235900043842585,0.9070367015792886,True
transgender,413,330,83,0.8387367652427893,0.8707014411632247,0.9258316620348841,False
latino,325,257,68,0.8866159304188602,0.9025768741429872,0.9289648669123101,False
atheist,258,216,42,0.9157848324514991,0.9181886948318252,0.9345648189369237,False
heterosexual,219,171,48,0.8455165692007797,0.8709178837994471,0.9239052067553162,False
buddhist,131,117,14,0.9383394383394383,0.9102406761183881,0.9464093521170073,False
hindu,111,99,12,0.9132996632996633,0.8915678408908327,0.9468116404962845,False
other_race_or_ethnicity,74,60,14,0.9023809523809524,0.8641595441595442,0.9589250612628916,False
other_religion,45,40,5,0.925,0.9205033490937747,0.9398666465124872,False
bisexual,40,35,5,0.9028571428571428,0.8706724454951406,0.9578309206327882,False
physical_disability,18,18,0,,0.938498053112832,,False
intellectual_or_learning_disability,10,10,0,,0.9543444021525134,,False
other_gender,2,1,1,1.0,0.9915988448411657,0.9326787512588117,False
other_sexual_orientation,1,1,0,,0.9392308701929387,,False
other_disability,1,1,0,,0.9942249639060244,,False
