subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8939,7693,1246,0.912933710765389,0.9164850355685156,0.9414106485186763,True
male,7287,6233,1054,0.9191491939669829,0.9074485005918306,0.9504453074503184,True
christian,6625,5999,626,0.9258854111467993,0.9434884364039223,0.9233301518809127,True
white,4074,2908,1166,0.8434582484941288,0.8131035467333259,0.9590284264163109,True
muslim,3529,2729,800,0.8551003114694027,0.8497716245712907,0.9490560688278337,True
black,2519,1739,780,0.8292851771575176,0.810087529484729,0.9543690637359599,True
homosexual_gay_or_lesbian,1835,1321,514,0.8290993734848908,0.8123289619692927,0.9523157294350697,True
jewish,1266,1061,205,0.865630675156893,0.8902140078365127,0.9290905756631045,True
psychiatric_or_mental_illness,818,654,164,0.9050635861863205,0.9051923159753629,0.9404716646102433,True
asian,724,631,93,0.9036518242080329,0.9202909048947273,0.9273387324778608,False
transgender,417,329,88,0.8397865432439902,0.8509520325108094,0.9379340091320276,False
latino,328,249,79,0.8870672563672412,0.882943977501518,0.9444797650124978,False
atheist,243,211,32,0.9614928909952607,0.9425791935194712,0.9447087649486271,False
heterosexual,215,168,47,0.7720364741641337,0.8106149221442408,0.9333448765242652,False
hindu,104,94,10,0.898936170212766,0.9290824415655592,0.92395985677543,False
buddhist,100,88,12,0.949810606060606,0.911695418095773,0.9597795819115975,False
other_race_or_ethnicity,77,57,20,0.9421052631578948,0.8938075877943312,0.9652740911229084,False
bisexual,45,35,10,0.8342857142857143,0.8165931321930796,0.9609134114802003,False
other_religion,44,42,2,0.9404761904761905,0.9143379158148753,0.948999815247149,False
physical_disability,16,14,2,0.9642857142857143,0.8802725107372605,0.9807779475212786,False
intellectual_or_learning_disability,15,11,4,0.8409090909090909,0.9727511490479318,0.8411721504112808,False
other_sexual_orientation,2,2,0,,0.8806930043312771,,False
other_gender,1,1,0,,0.8948680929255808,,False
