subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9051162099200973,0.9258616009887826,0.9179984188770592,True
male,7346,6224,1122,0.9017295192206353,0.9188364028404645,0.9216261637507982,True
christian,6689,6023,666,0.9101434989696653,0.9450873860279447,0.8937320848986707,True
white,4218,3024,1194,0.8399108084514282,0.8339060537747308,0.9431205970620824,True
muslim,3471,2651,820,0.8424768380086667,0.8661376467760002,0.9260761932711544,True
black,2472,1657,815,0.8430225368486918,0.8242384755745582,0.9439643887081994,True
homosexual_gay_or_lesbian,1818,1319,499,0.8272709178782128,0.8293502589636343,0.9360077643873789,True
jewish,1334,1124,210,0.8442530926961532,0.9037986525957417,0.8933619502165613,True
psychiatric_or_mental_illness,838,690,148,0.9039463376419898,0.8927285018981609,0.9404175808995732,True
asian,780,686,94,0.9093806215495317,0.9276441986381644,0.9144293035026272,False
transgender,412,327,85,0.8479222881813275,0.8636866592142125,0.925302238220701,False
latino,355,276,79,0.8837139974316638,0.891087869526775,0.9242325929356823,False
atheist,217,195,22,0.8962703962703963,0.9326846292227363,0.8986698732177464,False
heterosexual,186,151,35,0.8426679280983917,0.8560021795624109,0.9194901564866229,False
buddhist,94,80,14,0.9044642857142857,0.901491617357002,0.9296494416660464,False
other_race_or_ethnicity,89,71,18,0.9241001564945226,0.9001095111651358,0.9420097462611325,False
hindu,81,71,10,0.8943661971830986,0.921529175050302,0.9047521424970593,False
other_religion,45,42,3,0.8809523809523809,0.9340048519407764,0.9039984995829066,False
bisexual,45,35,10,0.8114285714285714,0.871355349867638,0.898104826520673,False
physical_disability,15,14,1,1.0,0.9253412969283278,0.975791965349942,False
intellectual_or_learning_disability,14,13,1,1.0,0.9769776036512712,0.9442150147730325,False
other_gender,2,1,1,0.0,0.666054082436335,0.8134860691507217,False
other_sexual_orientation,1,0,1,,,0.9954012185092563,False
