model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4082,0.5920181274414062,0.06589906908378246,0.047280744732974035,True
baseline,female,equalize,5037,0.5636181831359863,0.05876513797895573,0.047250347429025216,True
baseline,transgender,equalize,214,0.5742157101631165,0.056074766355140186,0.04672897196261682,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,120,0.6902459859848022,0.11666666666666667,0.041666666666666664,True
baseline,homosexual_gay_or_lesbian,equalize,874,0.76082843542099,0.14073226544622425,0.04691075514874142,True
baseline,bisexual,equalize,30,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4082,0.4580456614494324,0.04042136207741303,0.047280744732974035,True
baseline,jewish,equalize,708,0.63238924741745,0.07344632768361582,0.046610169491525424,True
baseline,muslim,equalize,1819,0.7422349452972412,0.1319406267179769,0.04727872457394173,True
baseline,hindu,equalize,48,,,,False
baseline,buddhist,equalize,54,,,,False
baseline,atheist,equalize,147,0.6495786309242249,0.06802721088435375,0.04081632653061224,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1111,0.8039445281028748,0.1782178217821782,0.046804680468046804,True
baseline,white,equalize,1921,0.7898827195167542,0.1842790213430505,0.04685059864653826,True
baseline,asian,equalize,430,0.6265812516212463,0.06279069767441861,0.046511627906976744,True
baseline,latino,equalize,159,0.8264318704605103,0.12578616352201258,0.0440251572327044,True
baseline,other_race_or_ethnicity,equalize,48,,,,False
baseline,physical_disability,equalize,7,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,463,0.6187227964401245,0.06695464362850972,0.04535637149028078,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4082,0.5920181274414062,0.06589906908378246,0.047280744732974035,True
baseline,female,cap,5037,0.5636181831359863,0.05876513797895573,0.047250347429025216,True
baseline,transgender,cap,214,0.5742157101631165,0.056074766355140186,0.04672897196261682,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,120,0.6902459859848022,0.11666666666666667,0.041666666666666664,True
baseline,homosexual_gay_or_lesbian,cap,874,0.76082843542099,0.14073226544622425,0.04691075514874142,True
baseline,bisexual,cap,30,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4082,0.5,0.04042136207741303,0.04042136207741303,True
baseline,jewish,cap,708,0.63238924741745,0.07344632768361582,0.046610169491525424,True
baseline,muslim,cap,1819,0.7422349452972412,0.1319406267179769,0.04727872457394173,True
baseline,hindu,cap,48,,,,False
baseline,buddhist,cap,54,,,,False
baseline,atheist,cap,147,0.6495786309242249,0.06802721088435375,0.04081632653061224,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1111,0.8039445281028748,0.1782178217821782,0.046804680468046804,True
baseline,white,cap,1921,0.7898827195167542,0.1842790213430505,0.04685059864653826,True
baseline,asian,cap,430,0.6265812516212463,0.06279069767441861,0.046511627906976744,True
baseline,latino,cap,159,0.8264318704605103,0.12578616352201258,0.0440251572327044,True
baseline,other_race_or_ethnicity,cap,48,,,,False
baseline,physical_disability,cap,7,,,,False
baseline,intellectual_or_learning_disability,cap,11,,,,False
baseline,psychiatric_or_mental_illness,cap,463,0.6187227964401245,0.06695464362850972,0.04535637149028078,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4082,0.613815426826477,0.06761391474767271,0.044585987261146494,True
mitigated,female,equalize,5037,0.5341873168945312,0.049632717887631524,0.04466944609886837,True
mitigated,transgender,equalize,214,0.5260536074638367,0.04672897196261682,0.04205607476635514,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,120,0.7592254281044006,0.15833333333333333,0.041666666666666664,True
mitigated,homosexual_gay_or_lesbian,equalize,874,0.6741577386856079,0.09267734553775744,0.04462242562929062,True
mitigated,bisexual,equalize,30,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4082,0.4792447388172149,0.04189122978931896,0.044585987261146494,True
mitigated,jewish,equalize,708,0.6331834197044373,0.07768361581920905,0.043785310734463276,True
mitigated,muslim,equalize,1819,0.6556668281555176,0.08026388125343595,0.04452996151731721,True
mitigated,hindu,equalize,48,,,,False
mitigated,buddhist,equalize,54,,,,False
mitigated,atheist,equalize,147,0.7631309032440186,0.1292517006802721,0.04081632653061224,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1111,0.7035494446754456,0.11341134113411341,0.04410441044104411,True
mitigated,white,equalize,1921,0.824603259563446,0.2358146798542426,0.04424778761061947,True
mitigated,asian,equalize,430,0.6473524570465088,0.06976744186046512,0.044186046511627906,True
mitigated,latino,equalize,159,0.7293270230293274,0.11949685534591195,0.0440251572327044,True
mitigated,other_race_or_ethnicity,equalize,48,,,,False
mitigated,physical_disability,equalize,7,,,,False
mitigated,intellectual_or_learning_disability,equalize,11,,,,False
mitigated,psychiatric_or_mental_illness,equalize,463,0.5702117085456848,0.06263498920086392,0.04319654427645788,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4082,0.613815426826477,0.06761391474767271,0.044585987261146494,True
mitigated,female,cap,5037,0.5341873168945312,0.049632717887631524,0.04466944609886837,True
mitigated,transgender,cap,214,0.5260536074638367,0.04672897196261682,0.04205607476635514,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,120,0.7592254281044006,0.15833333333333333,0.041666666666666664,True
mitigated,homosexual_gay_or_lesbian,cap,874,0.6741577386856079,0.09267734553775744,0.04462242562929062,True
mitigated,bisexual,cap,30,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4082,0.5,0.04189122978931896,0.04189122978931896,True
mitigated,jewish,cap,708,0.6331834197044373,0.07768361581920905,0.043785310734463276,True
mitigated,muslim,cap,1819,0.6556668281555176,0.08026388125343595,0.04452996151731721,True
mitigated,hindu,cap,48,,,,False
mitigated,buddhist,cap,54,,,,False
mitigated,atheist,cap,147,0.7631309032440186,0.1292517006802721,0.04081632653061224,True
mitigated,other_religion,cap,37,,,,False
mitigated,black,cap,1111,0.7035494446754456,0.11341134113411341,0.04410441044104411,True
mitigated,white,cap,1921,0.824603259563446,0.2358146798542426,0.04424778761061947,True
mitigated,asian,cap,430,0.6473524570465088,0.06976744186046512,0.044186046511627906,True
mitigated,latino,cap,159,0.7293270230293274,0.11949685534591195,0.0440251572327044,True
mitigated,other_race_or_ethnicity,cap,48,,,,False
mitigated,physical_disability,cap,7,,,,False
mitigated,intellectual_or_learning_disability,cap,11,,,,False
mitigated,psychiatric_or_mental_illness,cap,463,0.5702117085456848,0.06263498920086392,0.04319654427645788,True
mitigated,other_disability,cap,0,,,,False
