subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,604,230,7390,570,0.030183727034120734,0.026572626150194154,0.03426828473785101,0.4855195911413969,0.4570242486177929,0.5141093876238433,0.7242206235011991,0.514480408858603,0.6015936254980079,True,True
male,7346,6224,1122,637,287,5937,485,0.046111825192802054,0.04117551570587263,0.05160806952850717,0.4322638146167558,0.4035567664927459,0.46143310503035634,0.6893939393939394,0.5677361853832442,0.6226783968719453,True,True
christian,6689,6023,666,296,180,5843,370,0.029885439149925287,0.02587588216825011,0.034494290385100754,0.5555555555555556,0.517605572246273,0.5928683302354912,0.6218487394957983,0.4444444444444444,0.5183887915936953,True,True
white,4218,3024,1194,680,295,2729,514,0.09755291005291006,0.08748269315349864,0.108644305864471,0.4304857621440536,0.4026676714124136,0.4587497150224897,0.6974358974358974,0.5695142378559463,0.6270170585523283,True,True
muslim,3471,2651,820,342,109,2542,478,0.04111655978875896,0.03419840736443791,0.04936268743601703,0.5829268292682926,0.5488682193405657,0.6162120865166804,0.7583148558758315,0.4170731707317073,0.5381589299763966,True,True
black,2472,1657,815,369,106,1551,446,0.06397103198551599,0.05316793643325077,0.07679116211547865,0.5472392638036809,0.5129234601366465,0.5811118371367675,0.7768421052631579,0.452760736196319,0.572093023255814,True,True
homosexual_gay_or_lesbian,1818,1319,499,198,75,1244,301,0.05686125852918878,0.04560263544880224,0.07069358266175119,0.6032064128256514,0.5596496992387978,0.6451862350168307,0.7252747252747253,0.3967935871743487,0.5129533678756476,True,True
jewish,1334,1124,210,87,52,1072,123,0.046263345195729534,0.03545270555628843,0.06016486371932277,0.5857142857142857,0.5181335921779482,0.650215427691889,0.6258992805755396,0.4142857142857143,0.498567335243553,True,True
psychiatric_or_mental_illness,838,690,148,89,29,661,59,0.042028985507246375,0.029420471063904316,0.05970862036543255,0.39864864864864863,0.32329301538847477,0.4791324866252652,0.7542372881355932,0.6013513513513513,0.669172932330827,True,True
asian,780,686,94,46,23,663,48,0.033527696793002916,0.02244354047156192,0.049807058826861934,0.5106382978723404,0.41116886151084975,0.6092723709084791,0.6666666666666666,0.48936170212765956,0.5644171779141104,True,False
transgender,412,327,85,32,12,315,53,0.03669724770642202,0.021114855259757592,0.06303862090957384,0.6235294117647059,0.5172990783621897,0.7190770491661035,0.7272727272727273,0.3764705882352941,0.49612403100775193,True,False
latino,355,276,79,41,12,264,38,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.4810126582278481,0.37429730453787924,0.5894889440059407,0.7735849056603774,0.5189873417721519,0.6212121212121211,True,False
atheist,217,195,22,10,4,191,12,0.020512820512820513,0.008005250618458151,0.05154701222916154,0.5454545454545454,0.3465979532073494,0.7307970581918668,0.7142857142857143,0.45454545454545453,0.5555555555555556,True,False
heterosexual,186,151,35,15,11,140,20,0.0728476821192053,0.0411610717590334,0.1257287200157809,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.5769230769230769,0.42857142857142855,0.4918032786885245,True,False
buddhist,94,80,14,8,4,76,6,0.05,0.0196135545355443,0.1216227620464301,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.6666666666666666,0.5714285714285714,0.6153846153846153,False,False
other_race_or_ethnicity,89,71,18,8,2,69,10,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.8,0.4444444444444444,0.5714285714285714,False,False
hindu,81,71,10,3,2,69,7,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.7,0.39677814746114537,0.8922087325936989,0.6,0.3,0.4,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,3,2,33,7,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.7,0.39677814746114537,0.8922087325936989,0.6,0.3,0.4,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
