subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9051831122259633,0.9199088287936079,0.9236518858151608,True
male,7346,6224,1122,0.900853217835393,0.913513758871506,0.9257552472453985,True
christian,6689,6023,666,0.9063831389084585,0.9418560411275451,0.8954385086382174,True
white,4218,3024,1194,0.8370887450923046,0.8239812756057893,0.9460134628266249,True
muslim,3471,2651,820,0.8408962103578034,0.8619223298697763,0.9272898360416942,True
black,2472,1657,815,0.8408421606051295,0.8154115297295744,0.9471761495812367,True
homosexual_gay_or_lesbian,1818,1319,499,0.8252015782892548,0.82302843701817,0.9383967722613537,True
jewish,1334,1124,210,0.83984070496526,0.8972770565182578,0.8950655223171773,True
psychiatric_or_mental_illness,838,690,148,0.9089894242068155,0.8908107484204625,0.9446676452649352,True
asian,780,686,94,0.9110011785869363,0.9246590083589202,0.9199822800403893,False
transgender,412,327,85,0.8445763626551537,0.8532479467190124,0.9310601021723032,False
latino,355,276,79,0.8835305448541552,0.888355101295506,0.927534660449788,False
atheist,217,195,22,0.8892773892773892,0.9272938373109494,0.8958439852674184,False
heterosexual,186,151,35,0.8277199621570482,0.8426183041327857,0.9160686041200933,False
buddhist,94,80,14,0.8991071428571429,0.8973561801446417,0.9330575476522605,False
other_race_or_ethnicity,89,71,18,0.9342723004694835,0.8953343796498237,0.9519627887003118,False
hindu,81,71,10,0.8887323943661972,0.909723289136845,0.9046588808603595,False
other_religion,45,42,3,0.865079365079365,0.927328743997599,0.8837932559610787,False
bisexual,45,35,10,0.8257142857142856,0.8600078853988696,0.9170993853491418,False
physical_disability,15,14,1,1.0,0.926714923301954,0.9717964644853694,False
intellectual_or_learning_disability,14,13,1,1.0,0.9705757618595634,0.9170611737845823,False
other_gender,2,1,1,0.0,0.6253609871357312,0.8398204095334004,False
other_sexual_orientation,1,0,1,,,0.9946039844917004,False
