subgroup,n,n_toxic,n_nontoxic,toxic_rate,test_n,test_n_nontoxic,test_n_toxic
female,58584,8003,50581,0.1366,8765,7565,1200
male,48870,7355,41515,0.1505,7296,6187,1109
christian,44649,4090,40559,0.0916,6738,6130,608
white,27534,7780,19754,0.2826,4146,2986,1160
muslim,23046,5264,17782,0.2284,3480,2676,804
black,16420,5181,11239,0.3155,2427,1669,758
homosexual_gay_or_lesbian,12062,3411,8651,0.2828,1759,1274,485
jewish,8486,1378,7108,0.1624,1290,1091,199
psychiatric_or_mental_illness,5400,1136,4264,0.2104,785,643,142
asian,5032,612,4420,0.1216,750,647,103
transgender,2759,583,2176,0.2113,413,330,83
latino,2229,439,1790,0.1969,325,257,68
atheist,1692,206,1486,0.1217,258,216,42
heterosexual,1432,323,1109,0.2256,219,171,48
buddhist,641,76,565,0.1186,131,117,14
hindu,631,66,565,0.1046,111,99,12
other_race_or_ethnicity,549,102,447,0.1858,74,60,14
other_religion,354,48,306,0.1356,45,40,5
bisexual,321,69,252,0.215,40,35,5
intellectual_or_learning_disability,117,7,110,0.0598,10,10,0
physical_disability,91,7,84,0.0769,18,18,0
other_sexual_orientation,11,3,8,0.2727,1,1,0
other_gender,10,3,7,0.3,2,1,1
other_disability,5,1,4,0.2,1,1,0
