subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9040941837409121,0.9244759366994074,0.9289731765226084,True
male,7296,6187,1109,0.909814901747942,0.9116802685974781,0.9412782758980461,True
christian,6738,6130,608,0.9202941208036405,0.9402525930470946,0.9207691851809183,True
white,4146,2986,1160,0.8422373374598701,0.7999046124003153,0.9611021063149845,True
muslim,3480,2676,804,0.8637390402248846,0.8514192622227195,0.9501950750596373,True
black,2427,1669,758,0.8264902750924431,0.8122365461419163,0.95120522913302,True
homosexual_gay_or_lesbian,1759,1274,485,0.8440037870818431,0.8325580312994706,0.9469124942823969,True
jewish,1290,1091,199,0.895483374710399,0.8915073957224139,0.9429741887759879,True
psychiatric_or_mental_illness,785,643,142,0.9045298227936829,0.8864109136343677,0.9502284926771939,True
asian,750,647,103,0.9051859966086944,0.9120457501071387,0.9337914125427786,True
transgender,413,330,83,0.8012960934647682,0.8906432960174999,0.8916362145684898,False
latino,325,257,68,0.9045262073701076,0.8808202794280346,0.9524366688216652,False
atheist,258,216,42,0.892691798941799,0.9047201814457985,0.9323396822723025,False
heterosexual,219,171,48,0.8273635477582846,0.831754903482896,0.9386089953992033,False
buddhist,131,117,14,0.9304029304029304,0.8854262546570238,0.9644148440352868,False
hindu,111,99,12,0.9124579124579125,0.868618484038492,0.9625685081201035,False
other_race_or_ethnicity,74,60,14,0.9119047619047619,0.8552706552706552,0.9699463814692053,False
other_religion,45,40,5,0.905,0.9148952587339112,0.9491392485850086,False
bisexual,40,35,5,0.8285714285714285,0.8426638898270103,0.9313522318879521,False
physical_disability,18,18,0,,0.9430772483994692,,False
intellectual_or_learning_disability,10,10,0,,0.9613925712035699,,False
other_gender,2,1,1,1.0,0.9853636124967183,0.8806478684122189,False
other_sexual_orientation,1,1,0,,0.8073237957737236,,False
other_disability,1,1,0,,0.9917968237301482,,False
