subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9085604770017036,0.9151553117536025,0.93413172675995,True
male,7346,6224,1122,0.9076708841400547,0.8960521328214367,0.9461318585332306,True
christian,6689,6023,666,0.9100036446873572,0.931141373094494,0.9183735109320456,True
white,4218,3024,1194,0.8399101160564728,0.7838656249356638,0.9622129483873446,True
muslim,3471,2651,820,0.8431252357600905,0.8822513895108168,0.9215049290313736,True
black,2472,1657,815,0.8279702026354081,0.8355367214500186,0.9390126177606112,True
homosexual_gay_or_lesbian,1818,1319,499,0.8279097998878727,0.8491780140726289,0.9312916451144024,True
jewish,1334,1124,210,0.8531350618539231,0.8798560133414732,0.922317421759747,True
psychiatric_or_mental_illness,838,690,148,0.9151439482961222,0.8842699985838963,0.9538508384936532,True
asian,780,686,94,0.905759568264996,0.9087041252191432,0.933033545093775,False
transgender,412,327,85,0.8208310847274689,0.9015307973882315,0.883230519061508,False
latino,355,276,79,0.9006374977068428,0.8737304424710722,0.9465994819742183,False
atheist,217,195,22,0.8883449883449883,0.9030440491017035,0.9266639214017385,False
heterosexual,186,151,35,0.8081362346263008,0.8104038303015061,0.9345309006995024,False
buddhist,94,80,14,0.8857142857142858,0.8719403353057199,0.9437632500774297,False
other_race_or_ethnicity,89,71,18,0.8943661971830986,0.900871086272933,0.9315385836180661,False
hindu,81,71,10,0.8873239436619719,0.8944272812588502,0.9262300453705259,False
other_religion,45,42,3,0.8888888888888888,0.9162790116046418,0.9342923685875364,False
bisexual,45,35,10,0.8114285714285715,0.8606950415860917,0.9116783663050415,False
physical_disability,15,14,1,1.0,0.911112778006976,0.996659224067017,False
intellectual_or_learning_disability,14,13,1,0.9230769230769231,0.9686117898903407,0.8856768734891217,False
other_gender,2,1,1,0.0,0.7066815437122604,0.8259147364887547,False
other_sexual_orientation,1,0,1,,,0.9847266746110337,False
