subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.904572923551443,0.9237305042953796,0.9313834284963601,True
male,7296,6187,1109,0.9111874384508196,0.9151380042937263,0.940805633861996,True
christian,6738,6130,608,0.9212519854898258,0.9434847081363403,0.9189439614639674,True
white,4146,2986,1160,0.8423984340716446,0.810996732753054,0.9590972152407762,True
muslim,3480,2676,804,0.8651582799753104,0.8502248184180021,0.9523766480837181,True
black,2427,1669,758,0.8280356050342186,0.8005610684613034,0.9561359542510318,True
homosexual_gay_or_lesbian,1759,1274,485,0.8458754794542718,0.8378562494416153,0.9468407977044364,True
jewish,1290,1091,199,0.8996172429516971,0.895882570208098,0.943327167552586,True
psychiatric_or_mental_illness,785,643,142,0.905028147109719,0.88975262864178,0.9493904790854462,True
asian,750,647,103,0.8969103104695307,0.9257180765526073,0.9185855759001101,True
transgender,413,330,83,0.8298831690397956,0.872573063436917,0.9235358337706873,False
latino,325,257,68,0.897173266193637,0.9076855849741859,0.9341733035335367,False
atheist,258,216,42,0.8931878306878307,0.9266279774561417,0.9178550372393546,False
heterosexual,219,171,48,0.8418615984405459,0.8679120312117414,0.92872745188801,False
buddhist,131,117,14,0.9432234432234432,0.9011261147355822,0.961628043858469,False
hindu,111,99,12,0.9183501683501682,0.8863613126134487,0.9587017921387984,False
other_race_or_ethnicity,74,60,14,0.9142857142857143,0.8601271093578786,0.9700855880397555,False
other_religion,45,40,5,0.905,0.9211600341476228,0.9461144421491074,False
bisexual,40,35,5,0.8400000000000001,0.8729183083793014,0.9279464615591309,False
physical_disability,18,18,0,,0.9400511878199239,,False
intellectual_or_learning_disability,10,10,0,,0.9619110119438247,,False
other_gender,2,1,1,1.0,0.9812286689419796,0.8646106075864384,False
other_sexual_orientation,1,1,0,,0.9388371177319859,,False
other_disability,1,1,0,,0.9907468171676073,,False
