model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4082,0.6214260458946228,0.0560999510044096,0.03895149436550711,True
baseline,female,equalize,5037,0.5751704573631287,0.047845940043676795,0.039110581695453644,True
baseline,transgender,equalize,214,0.6484663486480713,0.056074766355140186,0.037383177570093455,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,120,0.7202698588371277,0.06666666666666667,0.03333333333333333,True
baseline,homosexual_gay_or_lesbian,equalize,874,0.7784809470176697,0.10755148741418764,0.038901601830663615,True
baseline,bisexual,equalize,30,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4082,0.4199452400207519,0.030867221950024497,0.03895149436550711,True
baseline,jewish,equalize,708,0.5751704573631287,0.05084745762711865,0.038135593220338986,True
baseline,muslim,equalize,1819,0.7094219326972961,0.08191313908741067,0.03903243540406817,True
baseline,hindu,equalize,48,,,,False
baseline,buddhist,equalize,54,,,,False
baseline,atheist,equalize,147,0.766992449760437,0.06802721088435375,0.034013605442176874,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1111,0.845432698726654,0.14311431143114312,0.0387038703870387,True
baseline,white,equalize,1921,0.8369547128677368,0.13742842269651223,0.039042165538781884,True
baseline,asian,equalize,430,0.6630147099494934,0.05581395348837209,0.037209302325581395,True
baseline,latino,equalize,159,0.8796645402908325,0.07547169811320754,0.03773584905660377,True
baseline,other_race_or_ethnicity,equalize,48,,,,False
baseline,physical_disability,equalize,7,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,463,0.5810059309005737,0.04319654427645788,0.038876889848812095,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4082,0.6214260458946228,0.0560999510044096,0.03895149436550711,True
baseline,female,cap,5037,0.5751704573631287,0.047845940043676795,0.039110581695453644,True
baseline,transgender,cap,214,0.6484663486480713,0.056074766355140186,0.037383177570093455,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,120,0.7202698588371277,0.06666666666666667,0.03333333333333333,True
baseline,homosexual_gay_or_lesbian,cap,874,0.7784809470176697,0.10755148741418764,0.038901601830663615,True
baseline,bisexual,cap,30,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4082,0.5,0.030867221950024497,0.030867221950024497,True
baseline,jewish,cap,708,0.5751704573631287,0.05084745762711865,0.038135593220338986,True
baseline,muslim,cap,1819,0.7094219326972961,0.08191313908741067,0.03903243540406817,True
baseline,hindu,cap,48,,,,False
baseline,buddhist,cap,54,,,,False
baseline,atheist,cap,147,0.766992449760437,0.06802721088435375,0.034013605442176874,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1111,0.845432698726654,0.14311431143114312,0.0387038703870387,True
baseline,white,cap,1921,0.8369547128677368,0.13742842269651223,0.039042165538781884,True
baseline,asian,cap,430,0.6630147099494934,0.05581395348837209,0.037209302325581395,True
baseline,latino,cap,159,0.8796645402908325,0.07547169811320754,0.03773584905660377,True
baseline,other_race_or_ethnicity,cap,48,,,,False
baseline,physical_disability,cap,7,,,,False
baseline,intellectual_or_learning_disability,cap,11,,,,False
baseline,psychiatric_or_mental_illness,cap,463,0.5810059309005737,0.04319654427645788,0.038876889848812095,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4082,0.4622909724712372,0.023027927486526212,0.02425281724644782,True
mitigated,female,equalize,5037,0.3963017463684082,0.019058963668850508,0.024220766329164187,True
mitigated,transgender,equalize,214,0.3850855827331543,0.014018691588785047,0.02336448598130841,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,120,0.5043982267379761,0.016666666666666666,0.016666666666666666,True
mitigated,homosexual_gay_or_lesbian,equalize,874,0.6590760946273804,0.03318077803203661,0.02402745995423341,True
mitigated,bisexual,equalize,30,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4082,0.2340563088655471,0.012493875551200392,0.02425281724644782,True
mitigated,jewish,equalize,708,0.3820837736129761,0.011299435028248588,0.02401129943502825,True
mitigated,muslim,equalize,1819,0.6617043018341064,0.032435404068169325,0.024189114898295765,True
mitigated,hindu,equalize,48,,,,False
mitigated,buddhist,equalize,54,,,,False
mitigated,atheist,equalize,147,0.934155285358429,0.05442176870748299,0.02040816326530612,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1111,0.8397339582443237,0.0576057605760576,0.024302430243024302,True
mitigated,white,equalize,1921,0.85930997133255,0.05778240499739719,0.02394586153045289,True
