subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,549,180,7440,625,0.023622047244094488,0.020444626738462025,0.0272795370949469,0.5323679727427598,0.5037675984281017,0.5607572146788292,0.7530864197530864,0.4676320272572402,0.5769837099316868,True,True
male,7346,6224,1122,547,185,6039,575,0.029723650385604112,0.025786039515066552,0.034241413221581134,0.5124777183600713,0.4832377109434531,0.5416325758812386,0.7472677595628415,0.4875222816399287,0.5900755124056095,True,True
christian,6689,6023,666,223,91,5932,443,0.015108749792462229,0.01232262347989609,0.018513007437307227,0.6651651651651652,0.6284664340879127,0.6999694922092241,0.7101910828025477,0.33483483483483484,0.4551020408163265,True,True
white,4218,3024,1194,558,177,2847,636,0.05853174603174603,0.050711682597318494,0.06747200161713465,0.5326633165829145,0.504303733414962,0.5608133982602039,0.7591836734693878,0.46733668341708545,0.578538102643857,True,True
muslim,3471,2651,820,349,113,2538,471,0.04262542436816296,0.03557448642794226,0.050999970987225536,0.574390243902439,0.540279013966399,0.6078077309937776,0.7554112554112554,0.42560975609756097,0.5444617784711387,True,True
black,2472,1657,815,378,106,1551,437,0.06397103198551599,0.05316793643325077,0.07679116211547865,0.5361963190184049,0.501869286936431,0.570183733052289,0.78099173553719,0.4638036809815951,0.581986143187067,True,True
homosexual_gay_or_lesbian,1818,1319,499,197,80,1239,302,0.060652009097801364,0.049002093209464706,0.07485360977610536,0.6052104208416834,0.5616754318526422,0.647137899184649,0.7111913357400722,0.39478957915831664,0.5077319587628867,True,True
jewish,1334,1124,210,69,29,1095,141,0.025800711743772242,0.018023335596787808,0.03680835935203724,0.6714285714285714,0.6053206674935512,0.731377372246123,0.7040816326530612,0.32857142857142857,0.4480519480519481,True,True
psychiatric_or_mental_illness,838,690,148,85,28,662,63,0.04057971014492753,0.02822286901645751,0.05802371953765574,0.42567567567567566,0.3488885757698126,0.5062234590402633,0.7522123893805309,0.5743243243243243,0.6513409961685824,True,True
asian,780,686,94,41,16,670,53,0.023323615160349854,0.014406660253167706,0.03754942090490916,0.5638297872340425,0.4630290566620046,0.6596183378539683,0.7192982456140351,0.43617021276595747,0.543046357615894,True,False
transgender,412,327,85,35,15,312,50,0.045871559633027525,0.027992965258948975,0.07429608563970261,0.5882352941176471,0.4820101461448797,0.6868299449467584,0.7,0.4117647058823529,0.5185185185185185,True,False
latino,355,276,79,35,11,265,44,0.03985507246376811,0.022397773040736944,0.06994543775295681,0.5569620253164557,0.4473191294830839,0.6613221248854566,0.7608695652173914,0.4430379746835443,0.5599999999999999,True,False
atheist,217,195,22,8,3,192,14,0.015384615384615385,0.005245712805590021,0.04424828547355501,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.7272727272727273,0.36363636363636365,0.4848484848484849,True,False
heterosexual,186,151,35,13,6,145,22,0.039735099337748346,0.01833606720540129,0.08397153788529008,0.6285714285714286,0.4633693684359532,0.7683418049663429,0.6842105263157895,0.37142857142857144,0.4814814814814815,True,False
buddhist,94,80,14,5,2,78,9,0.025,0.006882893202970648,0.0866443298557801,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.7142857142857143,0.35714285714285715,0.4761904761904762,False,False
other_race_or_ethnicity,89,71,18,6,2,69,12,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6666666666666666,0.437494672959451,0.8372122524916629,0.75,0.3333333333333333,0.46153846153846156,False,False
hindu,81,71,10,3,0,71,7,0.0,0.0,0.05132795219689032,0.7,0.39677814746114537,0.8922087325936989,1.0,0.3,0.4615384615384615,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,1,1,34,9,0.02857142857142857,0.005061491855444203,0.14533087233613673,0.9,0.5958499732047616,0.982123786904927,0.5,0.1,0.16666666666666669,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
