subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9118051549987256,0.9195684970139012,0.9373591260146722,True
male,7346,6224,1122,0.9105052061137612,0.9107520531524733,0.9425366791614563,True
christian,6689,6023,666,0.9154685567187643,0.9421222912246427,0.9147159734887058,True
white,4218,3024,1194,0.848422696595854,0.8191527443229778,0.957361799715909,True
muslim,3471,2651,820,0.851444461822966,0.8486896940321564,0.9469168705256349,True
black,2472,1657,815,0.8486128749199344,0.8207102517351963,0.954247791584742,True
homosexual_gay_or_lesbian,1818,1319,499,0.8376677540068764,0.829891984905146,0.9475023301898844,True
jewish,1334,1124,210,0.8546326893746823,0.8926843206468617,0.9188757792663227,True
psychiatric_or_mental_illness,838,690,148,0.9149578926752839,0.8921156976056209,0.9535475411054872,True
asian,780,686,94,0.9182820544631227,0.9292413044952198,0.929748217617722,False
transgender,412,327,85,0.8527612880014392,0.8558144972150714,0.9410098896277045,False
latino,355,276,79,0.8993533296642817,0.8924280648137469,0.9409159259310643,False
atheist,217,195,22,0.9083916083916085,0.9313922837287322,0.922243687676618,False
heterosexual,186,151,35,0.8350993377483443,0.8522573665018023,0.9317453907357995,False
buddhist,94,80,14,0.9107142857142858,0.8930892504930966,0.9467788056383206,False
other_race_or_ethnicity,89,71,18,0.9213615023474179,0.9036116448725242,0.9448636083571389,False
hindu,81,71,10,0.8929577464788733,0.9090819063414526,0.9222433204503444,False
other_religion,45,42,3,0.9285714285714286,0.9220954006602642,0.933500170756423,False
bisexual,45,35,10,0.8142857142857143,0.8698815312693615,0.915997716051456,False
physical_disability,15,14,1,1.0,0.9234425983572742,0.9971880403579163,False
intellectual_or_learning_disability,14,13,1,1.0,0.9758618252317384,0.919763967230728,False
other_gender,2,1,1,0.0,0.7140325544762405,0.8161211816045654,False
other_sexual_orientation,1,0,1,,,0.9773753377754654,False
