subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.8994896452963207,0.9218843657198706,0.9244272114990258,True
male,7296,6187,1109,0.9039353290728707,0.9022440640985248,0.9409528204723934,True
christian,6738,6130,608,0.9152364879368078,0.9337351837929816,0.9200806702941897,True
white,4146,2986,1160,0.8270850174376978,0.7608409611784861,0.9654522682337601,True
muslim,3480,2676,804,0.8552296440071689,0.879656839360112,0.9287722489389446,True
black,2427,1669,758,0.8169202957548087,0.827879185144296,0.9390903599164742,True
homosexual_gay_or_lesbian,1759,1274,485,0.8288125718169901,0.8568480410214159,0.9270288672877776,True
jewish,1290,1091,199,0.885564393921947,0.8906514585150249,0.9348042142667516,True
psychiatric_or_mental_illness,785,643,142,0.9036755525376208,0.8878573400106621,0.9462418492768002,True
asian,750,647,103,0.8988910730631292,0.9034851358832224,0.932248547906643,True
transgender,413,330,83,0.7866557137641474,0.8899496557936049,0.8771723236636949,False
latino,325,257,68,0.8981174181734951,0.8713709164194502,0.9507951349914923,False
atheist,258,216,42,0.882660934744268,0.8857440157591934,0.9352803279148768,False
heterosexual,219,171,48,0.813535575048733,0.8341818311022129,0.9250804788756102,False
buddhist,131,117,14,0.9279609279609279,0.8852857712818265,0.9606406517268551,False
hindu,111,99,12,0.9217171717171717,0.8672149389252058,0.9633103291752128,False
other_race_or_ethnicity,74,60,14,0.900595238095238,0.849750164365549,0.9667374300066963,False
other_religion,45,40,5,0.895,0.9217461255581821,0.9308392536235535,False
bisexual,40,35,5,0.8514285714285714,0.8419171451086345,0.9362308131528566,False
physical_disability,18,18,0,,0.943697043939858,,False
intellectual_or_learning_disability,10,10,0,,0.9463315395721223,,False
other_gender,2,1,1,1.0,0.966789183512733,0.8784407519301779,False
other_sexual_orientation,1,1,0,,0.7680141750885943,,False
other_disability,1,1,0,,0.9921249507809424,,False
