subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,684,371,7249,490,0.04868766404199475,0.04407877335022134,0.053751364231898024,0.41737649063032367,0.38948272667949707,0.4458091977580743,0.6483412322274882,0.5826235093696763,0.613728129205922,True,True
male,7346,6224,1122,679,362,5862,443,0.058161953727506426,0.05261528231355103,0.06425369446327887,0.3948306595365419,0.36663414415547396,0.42374486689355323,0.6522574447646494,0.6051693404634582,0.6278317152103561,True,True
christian,6689,6023,666,337,227,5796,329,0.03768885937240578,0.03316647796556308,0.042800587361933116,0.493993993993994,0.4561666663072983,0.5318902091000786,0.5975177304964538,0.506006006006006,0.5479674796747966,True,True
white,4218,3024,1194,735,388,2636,459,0.1283068783068783,0.11685702001442194,0.14069987965377684,0.3844221105527638,0.3572420178372326,0.41234351623525717,0.6544968833481746,0.6155778894472361,0.634441087613293,True,True
muslim,3471,2651,820,462,255,2396,358,0.09619011693700491,0.0855433460997838,0.10800548413769014,0.43658536585365854,0.4030129098190263,0.47074920923131486,0.6443514644351465,0.5634146341463414,0.6011711125569291,True,True
black,2472,1657,815,498,205,1452,317,0.12371756185878093,0.10872885495653535,0.1404469207460706,0.3889570552147239,0.35608251258296947,0.4228734769431611,0.7083926031294452,0.6110429447852761,0.6561264822134387,True,True
homosexual_gay_or_lesbian,1818,1319,499,279,167,1152,220,0.12661106899166036,0.10974276575690223,0.14564797405395757,0.4408817635270541,0.3979354722350187,0.484731322705932,0.625560538116592,0.5591182364729459,0.5904761904761905,True,True
jewish,1334,1124,210,99,72,1052,111,0.06405693950177936,0.05117484983381934,0.07990869711725809,0.5285714285714286,0.4611506846498906,0.5949656553067219,0.5789473684210527,0.4714285714285714,0.5196850393700787,True,True
psychiatric_or_mental_illness,838,690,148,101,46,644,47,0.06666666666666667,0.05035085898540301,0.08778078132273534,0.31756756756756754,0.24799338506417484,0.39637251856055716,0.6870748299319728,0.6824324324324325,0.6847457627118644,True,True
asian,780,686,94,49,27,659,45,0.03935860058309038,0.027188526753941546,0.05665894005325201,0.4787234042553192,0.3805716814684006,0.5785458536929418,0.6447368421052632,0.5212765957446809,0.5764705882352941,True,False
transgender,412,327,85,44,28,299,41,0.0856269113149847,0.059905572738984766,0.12097096865338754,0.4823529411764706,0.3792074367906815,0.5870245449909909,0.6111111111111112,0.5176470588235295,0.5605095541401275,True,False
latino,355,276,79,49,17,259,30,0.06159420289855073,0.03880852010075616,0.09641611380504653,0.379746835443038,0.2806649532154275,0.48998128756209824,0.7424242424242424,0.620253164556962,0.6758620689655171,True,False
atheist,217,195,22,12,9,186,10,0.046153846153846156,0.02446889233121238,0.08537469335878059,0.45454545454545453,0.2692029418081332,0.6534020467926506,0.5714285714285714,0.5454545454545454,0.5581395348837208,True,False
heterosexual,186,151,35,19,19,132,16,0.12582781456953643,0.08205370246915467,0.18816758800025635,0.45714285714285713,0.3046601928840722,0.6181027493151625,0.5,0.5428571428571428,0.5205479452054795,True,False
buddhist,94,80,14,7,8,72,7,0.1,0.051547615567380856,0.18510688806104086,0.5,0.26799202452413634,0.7320079754758637,0.4666666666666667,0.5,0.4827586206896552,False,False
other_race_or_ethnicity,89,71,18,7,4,67,11,0.056338028169014086,0.022124519301696656,0.13609605799976943,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.6363636363636364,0.3888888888888889,0.4827586206896552,False,False
hindu,81,71,10,4,6,65,6,0.08450704225352113,0.03930650771071115,0.17236038214304278,0.6,0.3126737697336583,0.8318196702937637,0.4,0.4,0.4000000000000001,False,False
other_religion,45,42,3,0,2,40,3,0.047619047619047616,0.013157524908905607,0.15789852396958837,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,4,3,32,6,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.6,0.3126737697336583,0.8318196702937637,0.5714285714285714,0.4,0.47058823529411764,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
