subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8785,7600,1185,0.9108462136353543,0.916364973087054,0.9413606334739153,True
male,7297,6188,1109,0.9132524307496461,0.9168465028691377,0.941527417441593,True
christian,6739,6111,628,0.9156918660825679,0.9352121287577331,0.925592391233134,True
white,4206,3041,1165,0.8407030948990407,0.8347351713341894,0.9526611871120145,True
muslim,3444,2623,821,0.8687219727297592,0.8607035472858346,0.9503457341625616,True
black,2486,1725,761,0.8365259288883811,0.8052413979653509,0.9587186829523915,True
homosexual_gay_or_lesbian,1803,1317,486,0.831981120578944,0.8299818898143219,0.9478580078812545,True
jewish,1287,1084,203,0.8946408121716685,0.9088913295079553,0.9329331949236418,True
psychiatric_or_mental_illness,777,608,169,0.9187461071317347,0.9076273843164959,0.9481706451362708,True
asian,730,649,81,0.9214080541764157,0.926133987386354,0.9360349823567317,False
transgender,400,316,84,0.8513034960819771,0.8692109816636288,0.9327465821391411,False
latino,307,260,47,0.9351882160392799,0.8927115079848835,0.964735318517679,False
atheist,266,233,33,0.8936142541292756,0.9093080318499517,0.9304977727670996,False
heterosexual,204,155,49,0.7858459512837394,0.848305279754549,0.916787436544301,False
hindu,112,99,13,0.9658119658119658,0.916209823717055,0.9724331601285974,False
buddhist,101,91,10,0.9384615384615385,0.9246951628999205,0.9443545133635904,False
other_race_or_ethnicity,91,69,22,0.9130434782608695,0.9010106964419595,0.9475781813293576,False
other_religion,46,39,7,0.9084249084249084,0.9294366519800046,0.9107484752659586,False
bisexual,40,31,9,0.8207885304659498,0.8506782247467256,0.9188581024349286,False
intellectual_or_learning_disability,16,15,1,1.0,0.9772249934365975,0.9142463821643219,False
physical_disability,10,8,2,0.5625,0.8327999868714716,0.8229063501922012,False
other_gender,2,2,0,,0.8565100406877544,,False
other_sexual_orientation,2,1,1,0.0,0.752822263061171,0.9131503860355824,False
other_disability,2,1,1,1.0,0.9988842215804673,0.9967186975495134,False
