subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9021698612029081,0.9317281694391455,0.9192827927945249,True
male,7296,6187,1109,0.909006099790669,0.9220455556060388,0.9315270088570012,True
christian,6738,6130,608,0.9190252854812397,0.9510616502661978,0.9028312730351163,True
white,4146,2986,1160,0.8459450135113288,0.8281966512040967,0.952354295950355,True
muslim,3480,2676,804,0.8635454547144695,0.8672721136330985,0.9421991068294413,True
black,2427,1669,758,0.8267689087520216,0.8186541465472605,0.948099764504857,True
homosexual_gay_or_lesbian,1759,1274,485,0.8437286572043566,0.8540041849695822,0.9367529035345972,True
jewish,1290,1091,199,0.8962525735920666,0.9092382294736894,0.9299154345844455,True
psychiatric_or_mental_illness,785,643,142,0.8979639892230522,0.8991033362862285,0.9372617752051691,True
asian,750,647,103,0.894854518989811,0.9286228534201739,0.9108796544167722,True
transgender,413,330,83,0.8313800657174152,0.8807025268609664,0.9152663378361974,False
latino,325,257,68,0.9006065461203937,0.916180349756545,0.9240411330400949,False
atheist,258,216,42,0.89048721340388,0.9320956085424215,0.9071617074354377,False
heterosexual,219,171,48,0.8394858674463939,0.8826342592270753,0.9157182783482019,False
buddhist,131,117,14,0.9484126984126985,0.9126193406272302,0.9584922930560628,False
hindu,111,99,12,0.9259259259259259,0.8987628354001432,0.9567102933100209,False
other_race_or_ethnicity,74,60,14,0.9166666666666667,0.8661187815033969,0.9695047606247015,False
other_religion,45,40,5,0.9199999999999999,0.9333234830575257,0.9320283502124587,False
bisexual,40,35,5,0.8514285714285714,0.8851945664002402,0.9256054143015484,False
physical_disability,18,18,0,,0.942756413060915,,False
intellectual_or_learning_disability,10,10,0,,0.957126919543247,,False
other_gender,2,1,1,1.0,0.9773562614859543,0.8522658610271904,False
other_sexual_orientation,1,1,0,,0.931749573434834,,False
other_disability,1,1,0,,0.98451240320252,,False
