subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,616,258,7362,558,0.03385826771653543,0.030026469072714706,0.03815982016592674,0.4752981260647359,0.44685893647072567,0.5038984430003008,0.7048054919908466,0.524701873935264,0.6015625,True,True
male,7346,6224,1122,613,248,5976,509,0.03984575835475578,0.035263492157539926,0.04499568947476582,0.4536541889483066,0.4247311350797058,0.4828935138571537,0.7119628339140535,0.5463458110516934,0.6182551689359557,True,True
christian,6689,6023,666,259,136,5887,407,0.02258010957994355,0.01912143631510782,0.02664738981138358,0.6111111111111112,0.5735506781906539,0.6473971267728746,0.6556962025316456,0.3888888888888889,0.48821866163996225,True,True
white,4218,3024,1194,639,224,2800,555,0.07407407407407407,0.06527050726300632,0.08395839555962711,0.4648241206030151,0.43669174053407045,0.4931821176619047,0.7404403244495944,0.535175879396985,0.6212931453573165,True,True
muslim,3471,2651,820,408,167,2484,412,0.06299509619011694,0.05436409298747258,0.07289075972631867,0.5024390243902439,0.46828548076323545,0.5365698223502129,0.7095652173913043,0.4975609756097561,0.5849462365591398,True,True
black,2472,1657,815,439,140,1517,376,0.08449004224502112,0.07204086309761054,0.09886133669588457,0.46134969325153374,0.4273863481197524,0.4956756813838179,0.7582037996545768,0.5386503067484663,0.629842180774749,True,True
homosexual_gay_or_lesbian,1818,1319,499,245,112,1207,254,0.08491281273692192,0.07104846122893552,0.10118794495674113,0.5090180360721442,0.46525407201050845,0.5526442135069736,0.6862745098039216,0.4909819639278557,0.572429906542056,True,True
jewish,1334,1124,210,81,43,1081,129,0.03825622775800712,0.028524501332377654,0.05113337798927376,0.6142857142857143,0.5469594454273933,0.6775059143990564,0.6532258064516129,0.38571428571428573,0.48502994011976047,True,True
psychiatric_or_mental_illness,838,690,148,91,35,655,57,0.050724637681159424,0.036696024768786646,0.06972808391189195,0.38513513513513514,0.31058509644568555,0.46549713916988644,0.7222222222222222,0.6148648648648649,0.6642335766423357,True,True
asian,780,686,94,47,23,663,47,0.033527696793002916,0.02244354047156192,0.049807058826861934,0.5,0.4009266984859888,0.5990733015140112,0.6714285714285714,0.5,0.5731707317073171,True,False
transgender,412,327,85,34,18,309,51,0.05504587155963303,0.035099426425152874,0.08532519920281889,0.6,0.4937144282253916,0.6976376750117981,0.6538461538461539,0.4,0.49635036496350365,True,False
latino,355,276,79,37,16,260,42,0.057971014492753624,0.03599479079251551,0.09208293926126902,0.5316455696202531,0.4227140939927444,0.6376421584342223,0.6981132075471698,0.46835443037974683,0.5606060606060606,True,False
atheist,217,195,22,7,3,192,15,0.015384615384615385,0.005245712805590021,0.04424828547355501,0.6818181818181818,0.4731859774104276,0.8363940681864375,0.7,0.3181818181818182,0.4375,True,False
heterosexual,186,151,35,12,11,140,23,0.0728476821192053,0.0411610717590334,0.1257287200157809,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.5217391304347826,0.34285714285714286,0.4137931034482759,True,False
buddhist,94,80,14,4,4,76,10,0.05,0.0196135545355443,0.1216227620464301,0.7142857142857143,0.45350915670106823,0.8827862135542308,0.5,0.2857142857142857,0.36363636363636365,False,False
other_race_or_ethnicity,89,71,18,7,3,68,11,0.04225352112676056,0.014473260620475326,0.11702416040484678,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.7,0.3888888888888889,0.5,False,False
hindu,81,71,10,2,1,70,8,0.014084507042253521,0.00249060327054422,0.07556050520249004,0.8,0.49016247153664183,0.9433178485456247,0.6666666666666666,0.2,0.30769230769230765,False,False
other_religion,45,42,3,0,2,40,3,0.047619047619047616,0.013157524908905607,0.15789852396958837,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,4,3,32,6,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.6,0.3126737697336583,0.8318196702937637,0.5714285714285714,0.4,0.47058823529411764,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,1,12,1,0.07692307692307693,0.013710421242556586,0.3331395092109958,1.0,0.20654931437723745,1.0,0.0,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
