subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.90071451757017,0.9109120689063905,0.9312792860335598,True
male,7282,6173,1109,0.9018771499317031,0.9051701540552571,0.9360874937396031,True
christian,6671,6068,603,0.9099657994361307,0.9324079098983846,0.9146633329964707,True
white,4216,3037,1179,0.8447281380921701,0.824202690625147,0.9515326966730077,True
muslim,3556,2724,832,0.8521083072122444,0.8574723487742287,0.9379686500106205,True
black,2470,1692,778,0.8407814332683062,0.804410239610083,0.9541663726533463,True
homosexual_gay_or_lesbian,1851,1333,518,0.8292237151952081,0.8173319206438703,0.9485651055876644,True
jewish,1214,1029,185,0.8383473852861609,0.8852034606840161,0.9104468931289534,True
psychiatric_or_mental_illness,792,628,164,0.9119883097716327,0.8859143181808473,0.9501539672157192,True
asian,772,674,98,0.8984436504572155,0.9172440805704463,0.92074743897593,False
transgender,390,317,73,0.8574391772179248,0.8492863120913081,0.939493055452824,False
latino,360,296,64,0.8714632601351352,0.8833395192015312,0.9306583136543813,False
atheist,255,220,35,0.9262337662337662,0.9301319164748754,0.9273871493308499,False
heterosexual,207,155,52,0.7996898263027294,0.8359434215630688,0.9286942842941059,False
buddhist,100,91,9,0.8827838827838829,0.9182076793114902,0.9087082796361666,False
hindu,81,76,5,0.8868421052631579,0.9074238245337537,0.9276077640534408,False
other_race_or_ethnicity,77,59,18,0.9133709981167608,0.9069926124796246,0.9356643108617168,False
other_religion,65,57,8,0.8421052631578947,0.86783556579005,0.9216450507358375,False
bisexual,52,42,10,0.8809523809523809,0.8346804223069172,0.9625892272292113,False
intellectual_or_learning_disability,24,21,3,1.0,0.9704913215286115,0.9568782180434297,False
physical_disability,14,14,0,,0.9212307576922356,,False
other_sexual_orientation,4,2,2,1.0,0.8430812655901273,0.9834169757800568,False
other_gender,2,2,0,,0.8579209870061688,,False
other_disability,1,0,1,,,0.9970376462295027,False
