model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4123,0.6021785736083984,0.03856415231627456,0.027892311423720593,True
baseline,female,equalize,5022,0.5785672068595886,0.0380326563122262,0.027877339705296694,True
baseline,transgender,equalize,229,0.612193763256073,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,111,0.5892437100410461,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,equalize,870,0.7229183912277222,0.07931034482758621,0.027586206896551724,True
baseline,bisexual,equalize,27,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4145,0.45011767745018,0.02147165259348613,0.02798552472858866,True
baseline,jewish,equalize,697,0.6831024885177612,0.04878048780487805,0.027259684361549498,True
baseline,muslim,equalize,1773,0.7509182095527649,0.07388606880992668,0.02763677382966723,True
baseline,hindu,equalize,83,,,,False
baseline,buddhist,equalize,82,,,,False
baseline,atheist,equalize,147,0.5698526501655579,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1160,0.7572562098503113,0.09224137931034483,0.027586206896551724,True
baseline,white,equalize,1968,0.7671669721603394,0.10213414634146341,0.027947154471544715,True
baseline,asian,equalize,436,0.6627964973449707,0.03211009174311927,0.027522935779816515,True
baseline,latino,equalize,167,0.8537908792495728,0.0658682634730539,0.023952095808383235,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,396,0.580173671245575,0.050505050505050504,0.030303030303030304,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4123,0.6021785736083984,0.03856415231627456,0.027892311423720593,True
baseline,female,cap,5022,0.5785672068595886,0.0380326563122262,0.027877339705296694,True
baseline,transgender,cap,229,0.612193763256073,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,111,0.5892437100410461,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,cap,870,0.7229183912277222,0.07931034482758621,0.027586206896551724,True
baseline,bisexual,cap,27,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4145,0.5,0.02147165259348613,0.02147165259348613,True
baseline,jewish,cap,697,0.6831024885177612,0.04878048780487805,0.027259684361549498,True
baseline,muslim,cap,1773,0.7509182095527649,0.07388606880992668,0.02763677382966723,True
baseline,hindu,cap,83,,,,False
baseline,buddhist,cap,82,,,,False
baseline,atheist,cap,147,0.5698526501655579,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1160,0.7572562098503113,0.09224137931034483,0.027586206896551724,True
baseline,white,cap,1968,0.7671669721603394,0.10213414634146341,0.027947154471544715,True
baseline,asian,cap,436,0.6627964973449707,0.03211009174311927,0.027522935779816515,True
baseline,latino,cap,167,0.8537908792495728,0.0658682634730539,0.023952095808383235,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,396,0.580173671245575,0.050505050505050504,0.030303030303030304,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4123,0.6139890551567078,0.04220227989328159,0.027649769585253458,True
mitigated,female,equalize,5022,0.5804709792137146,0.0368379131819992,0.027479091995221028,True
mitigated,transgender,equalize,229,0.5599218010902405,0.034934497816593885,0.026200873362445413,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,111,0.8630456924438477,0.08108108108108109,0.02702702702702703,True
mitigated,homosexual_gay_or_lesbian,equalize,870,0.7186931371688843,0.07471264367816093,0.027586206896551724,True
mitigated,bisexual,equalize,27,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4145,0.4346412718296051,0.021230398069963814,0.027503015681544028,True
mitigated,jewish,equalize,697,0.6286354064941406,0.047345767575322814,0.027259684361549498,True
mitigated,muslim,equalize,1773,0.7021217346191406,0.06373378454596729,0.02763677382966723,True
mitigated,hindu,equalize,83,,,,False
mitigated,buddhist,equalize,82,,,,False
mitigated,atheist,equalize,147,0.6550050973892212,0.047619047619047616,0.027210884353741496,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1160,0.7514657974243164,0.08448275862068966,0.027586206896551724,True
mitigated,white,equalize,1968,0.7789857983589172,0.10264227642276423,0.027439024390243903,True
