subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8765,7565,1200,675,367,7198,525,0.048512888301387974,0.043896411999337116,0.05358765644561849,0.4375,0.40967578538612703,0.4657230896892147,0.6477927063339731,0.5625,0.6021409455842999,True,True
male,7296,6187,1109,658,331,5856,451,0.053499272668498465,0.048164072939738206,0.05938858581426769,0.4066726780883679,0.37813272196659226,0.43585695431724863,0.6653185035389282,0.5933273219116321,0.6272640610104862,True,True
christian,6738,6130,608,316,208,5922,292,0.033931484502446985,0.029683050024138857,0.03876369116395404,0.48026315789473684,0.44079920421826724,0.5199749478860062,0.6030534351145038,0.5197368421052632,0.5583038869257951,True,True
white,4146,2986,1160,710,373,2613,450,0.12491627595445412,0.11353731195208339,0.1372590828227953,0.3879310344827586,0.36030361296529695,0.4162982617750524,0.6555863342566943,0.6120689655172413,0.6330806954971021,True,True
muslim,3480,2676,804,457,232,2444,347,0.08669656203288491,0.07661881916446729,0.09795921689091007,0.43159203980099503,0.3977609801800628,0.4660736883691591,0.6632801161103048,0.568407960199005,0.6121902210314802,True,True
black,2427,1669,758,460,236,1433,298,0.14140203714799282,0.12550802347088225,0.15894299626660613,0.39313984168865435,0.358990125438064,0.4283672070825752,0.6609195402298851,0.6068601583113457,0.6327372764786796,True,True
homosexual_gay_or_lesbian,1759,1274,485,279,139,1135,206,0.10910518053375197,0.09314587781092522,0.12741470650506853,0.4247422680412371,0.3815111198730146,0.4691562106432862,0.6674641148325359,0.5752577319587628,0.6179401993355481,True,True
jewish,1290,1091,199,116,62,1029,83,0.05682859761686526,0.04458208102371053,0.07218501597533647,0.41708542713567837,0.3507820728789282,0.48652929240182013,0.651685393258427,0.5829145728643216,0.6153846153846154,True,True
psychiatric_or_mental_illness,785,643,142,97,53,590,45,0.08242612752721618,0.06356794532776405,0.10624408097765314,0.31690140845070425,0.24605916220287283,0.3973892754328767,0.6466666666666666,0.6830985915492958,0.6643835616438355,True,True
asian,750,647,103,52,32,615,51,0.04945904173106646,0.03524950368303301,0.068987031806917,0.49514563106796117,0.40051577668777416,0.5901245607707564,0.6190476190476191,0.5048543689320388,0.5561497326203209,True,True
transgender,413,330,83,31,37,293,52,0.11212121212121212,0.08244612326845813,0.15072281595098944,0.6265060240963856,0.5190168552955077,0.7228031266023063,0.45588235294117646,0.37349397590361444,0.4105960264900662,True,False
latino,325,257,68,32,14,243,36,0.054474708171206226,0.03272337349312464,0.08934870417679196,0.5294117647058824,0.4124092208872794,0.6432689357880106,0.6956521739130435,0.47058823529411764,0.5614035087719297,True,False
atheist,258,216,42,25,7,209,17,0.032407407407407406,0.01578513675400461,0.06537088775748608,0.40476190476190477,0.2704286114748133,0.5550568724996063,0.78125,0.5952380952380952,0.6756756756756757,True,False
heterosexual,219,171,48,27,10,161,21,0.05847953216374269,0.03207170569729711,0.1042887375379904,0.4375,0.30701269040654244,0.5772498258017222,0.7297297297297297,0.5625,0.6352941176470588,True,False
buddhist,131,117,14,8,7,110,6,0.05982905982905983,0.029280474751382173,0.11836304920811813,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.5333333333333333,0.5714285714285714,0.5517241379310344,True,False
hindu,111,99,12,9,6,93,3,0.06060606060606061,0.028069797446221498,0.12596787376489954,0.25,0.08894166839405476,0.5323053349335656,0.6,0.75,0.6666666666666665,False,False
other_race_or_ethnicity,74,60,14,8,7,53,6,0.11666666666666667,0.05767720640056033,0.22178788024170853,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.5333333333333333,0.5714285714285714,0.5517241379310344,False,False
other_religion,45,40,5,2,3,37,3,0.075,0.025836025774588198,0.19864233524310543,0.6,0.23072428127601297,0.8823792257673521,0.4,0.4,0.4000000000000001,False,False
bisexual,40,35,5,4,2,33,1,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.2,0.036224108632430085,0.6244653702374746,0.6666666666666666,0.8,0.7272727272727272,False,False
physical_disability,18,18,0,0,0,18,0,0.0,0.0,0.1758792236466576,,,,,,,False,False
intellectual_or_learning_disability,10,10,0,0,0,10,0,0.0,2.7755575615628914e-17,0.27753279986288915,,,,,,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
other_disability,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
