model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4198,0.612193763256073,0.05026202953787518,0.0393044306812768,True
baseline,female,equalize,5065,0.5997195839881897,0.05074037512339585,0.039289239881539983,True
baseline,transgender,equalize,232,0.7890712022781372,0.09051724137931035,0.03879310344827586,True
baseline,other_gender,equalize,1,,,,False
baseline,heterosexual,equalize,117,0.7527403235435486,0.08547008547008547,0.03418803418803419,True
baseline,homosexual_gay_or_lesbian,equalize,906,0.7981867790222168,0.11810154525386314,0.03863134657836645,True
baseline,bisexual,equalize,18,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4034,0.4823224544525146,0.03718393653941497,0.039167079821517105,True
baseline,jewish,equalize,701,0.586167573928833,0.05135520684736091,0.03851640513552068,True
baseline,muslim,equalize,1696,0.8065480589866638,0.10318396226415094,0.03891509433962264,True
baseline,hindu,equalize,52,,,,False
baseline,buddhist,equalize,60,,,,False
baseline,atheist,equalize,141,0.644336998462677,0.0425531914893617,0.03546099290780142,True
baseline,other_religion,equalize,20,,,,False
baseline,black,equalize,1108,0.8214741349220276,0.1272563176895307,0.0388086642599278,True
baseline,white,equalize,2012,0.8019358515739441,0.11481113320079522,0.03926441351888668,True
baseline,asian,equalize,436,0.4766557812690735,0.03669724770642202,0.0389908256880734,True
baseline,latino,equalize,183,0.729616105556488,0.060109289617486336,0.03825136612021858,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,7,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,450,0.6045156717300415,0.051111111111111114,0.03777777777777778,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4198,0.612193763256073,0.05026202953787518,0.0393044306812768,True
baseline,female,cap,5065,0.5997195839881897,0.05074037512339585,0.039289239881539983,True
baseline,transgender,cap,232,0.7890712022781372,0.09051724137931035,0.03879310344827586,True
baseline,other_gender,cap,1,,,,False
baseline,heterosexual,cap,117,0.7527403235435486,0.08547008547008547,0.03418803418803419,True
baseline,homosexual_gay_or_lesbian,cap,906,0.7981867790222168,0.11810154525386314,0.03863134657836645,True
baseline,bisexual,cap,18,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4034,0.5,0.03718393653941497,0.03718393653941497,True
baseline,jewish,cap,701,0.586167573928833,0.05135520684736091,0.03851640513552068,True
baseline,muslim,cap,1696,0.8065480589866638,0.10318396226415094,0.03891509433962264,True
baseline,hindu,cap,52,,,,False
baseline,buddhist,cap,60,,,,False
baseline,atheist,cap,141,0.644336998462677,0.0425531914893617,0.03546099290780142,True
baseline,other_religion,cap,20,,,,False
baseline,black,cap,1108,0.8214741349220276,0.1272563176895307,0.0388086642599278,True
baseline,white,cap,2012,0.8019358515739441,0.11481113320079522,0.03926441351888668,True
baseline,asian,cap,436,0.5,0.03669724770642202,0.03669724770642202,True
baseline,latino,cap,183,0.729616105556488,0.060109289617486336,0.03825136612021858,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,7,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,450,0.6045156717300415,0.051111111111111114,0.03777777777777778,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4198,0.6302298903465271,0.13315864697474988,0.10528823249166269,True
mitigated,female,equalize,5065,0.5388315320014954,0.11332675222112537,0.1054294175715696,True
mitigated,transgender,equalize,232,0.7263285517692566,0.1896551724137931,0.10344827586206896,True
mitigated,other_gender,equalize,1,,,,False
mitigated,heterosexual,equalize,117,0.8296300768852234,0.2564102564102564,0.10256410256410256,True
mitigated,homosexual_gay_or_lesbian,equalize,906,0.843508780002594,0.31567328918322296,0.10485651214128035,True
mitigated,bisexual,equalize,18,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4034,0.4219090640544891,0.090233019335647,0.10535448686167576,True
mitigated,jewish,equalize,701,0.5977252721786499,0.12981455064194009,0.10413694721825963,True
