subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.9008850750188967,0.9289272327755778,0.9112509969518641,True
male,7282,6173,1109,0.9027024666159401,0.9229443393918763,0.9183002593708753,True
christian,6671,6068,603,0.9116148820826651,0.94441795013789,0.8955593592840339,True
white,4216,3037,1179,0.8481174924028584,0.8489203038303982,0.9399918107414558,True
muslim,3556,2724,832,0.8536815292132611,0.8740586488767613,0.9270867825793726,True
black,2470,1692,778,0.8378050800075358,0.8305858968816512,0.9411447317779204,True
homosexual_gay_or_lesbian,1851,1333,518,0.8284155981080212,0.8400802672150928,0.9349873944666899,True
jewish,1214,1029,185,0.8482756809287422,0.9031033836340947,0.8959249435936826,True
psychiatric_or_mental_illness,792,628,164,0.9050217492620787,0.8938241978409737,0.9404721123441452,True
asian,772,674,98,0.8987540119905529,0.9238069113702209,0.9110018801687751,False
transgender,390,317,73,0.8534851562162395,0.8749133599935119,0.9205439463815498,False
latino,360,296,64,0.8670291385135135,0.8954755218487847,0.9174887460993505,False
atheist,255,220,35,0.9179220779220779,0.9404694692174914,0.9080875610971127,False
heterosexual,207,155,52,0.7949751861042184,0.8579281003678962,0.9117067704112937,False
buddhist,100,91,9,0.9120879120879121,0.9357106756581133,0.9015315365794438,False
hindu,81,76,5,0.9052631578947369,0.9221957820082121,0.9252667843038401,False
other_race_or_ethnicity,77,59,18,0.8954802259887006,0.9125940163983777,0.9186066589757663,False
other_religion,65,57,8,0.8552631578947368,0.8902212172133132,0.9094062898998723,False
bisexual,52,42,10,0.880952380952381,0.8477992853074994,0.9525327936310654,False
intellectual_or_learning_disability,24,21,3,0.9682539682539683,0.9587835134053622,0.9549529885829415,False
physical_disability,14,14,0,,0.9323683273020458,,False
other_sexual_orientation,4,2,2,1.0,0.8539123014310095,0.9868158243676463,False
other_gender,2,2,0,,0.8625147657172857,,False
other_disability,1,0,1,,,0.9974572430808479,False
