subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,956,1301,6254,198,0.17220383851753807,0.16385734608008912,0.18088350779505608,0.17157712305025996,0.15092346466673925,0.1944100486347692,0.42357111209570225,0.82842287694974,0.5605394312518323,True,True
male,7282,6173,1109,927,1189,4984,182,0.1926129920622064,0.18296788722919446,0.20264043292921938,0.16411181244364292,0.1434795797754397,0.1870629749659202,0.43809073724007563,0.8358881875563571,0.5748837209302324,True,True
christian,6671,6068,603,471,773,5295,132,0.12738958470665787,0.11923581410195996,0.13601483256458077,0.21890547263681592,0.18773718981708234,0.2536325533464848,0.37861736334405144,0.7810945273631841,0.5100162425554954,True,True
white,4216,3037,1179,1058,1262,1775,121,0.41554165294698714,0.3981320099157483,0.4331646864273248,0.10262934690415607,0.08657734475769754,0.1212623931779348,0.4560344827586207,0.897370653095844,0.6047442126321807,True,True
muslim,3556,2724,832,696,873,1851,136,0.32048458149779735,0.3032233156849788,0.3382514493393746,0.16346153846153846,0.13989158010199465,0.190124903179278,0.4435946462715105,0.8365384615384616,0.5797584339858393,True,True
black,2470,1692,778,702,810,882,76,0.4787234042553192,0.45499592839489034,0.5025472725774048,0.09768637532133675,0.07875881842376771,0.12056734554783934,0.4642857142857143,0.9023136246786633,0.6131004366812227,True,True
homosexual_gay_or_lesbian,1851,1333,518,461,578,755,57,0.43360840210052515,0.4072331552445009,0.46036520592830266,0.11003861003861004,0.0859066854781932,0.1399118209452006,0.4436958614051973,0.88996138996139,0.5921644187540142,True,True
jewish,1214,1029,185,145,248,781,40,0.24101068999028183,0.21587258872182213,0.2680753149491021,0.21621621621621623,0.16299190241146289,0.28098612732988754,0.36895674300254455,0.7837837837837838,0.5017301038062283,True,True
psychiatric_or_mental_illness,792,628,164,141,117,511,23,0.18630573248407642,0.1577940568864195,0.21863179409305772,0.1402439024390244,0.09530391957245063,0.20165166679396676,0.5465116279069767,0.8597560975609756,0.6682464454976303,True,True
asian,772,674,98,84,110,564,14,0.1632047477744807,0.13722784745698596,0.1929990159309995,0.14285714285714285,0.08704470546990542,0.225612430331295,0.4329896907216495,0.8571428571428571,0.5753424657534247,True,False
transgender,390,317,73,64,102,215,9,0.3217665615141956,0.27273932728924727,0.37506180036005904,0.1232876712328767,0.06623751038902925,0.2180030435502202,0.3855421686746988,0.8767123287671232,0.5355648535564854,True,False
latino,360,296,64,51,84,212,13,0.28378378378378377,0.235449611969077,0.3376581213529375,0.203125,0.12273417819183652,0.31713635731014156,0.37777777777777777,0.796875,0.5125628140703518,True,False
atheist,255,220,35,30,27,193,5,0.12272727272727273,0.08573208873076282,0.1726716007619304,0.14285714285714285,0.06260231079433716,0.29375554086595146,0.5263157894736842,0.8571428571428571,0.6521739130434783,True,False
heterosexual,207,155,52,38,64,91,14,0.4129032258064516,0.33841300788506834,0.4916061810567901,0.2692307692307692,0.16768960295166513,0.40252219833627123,0.37254901960784315,0.7307692307692307,0.49350649350649345,True,False
buddhist,100,91,9,9,14,77,0,0.15384615384615385,0.09391213405915477,0.2418214071223777,0.0,0.0,0.299145048419544,0.391304347826087,1.0,0.5625,False,False
hindu,81,76,5,4,13,63,1,0.17105263157894737,0.10278019055272238,0.27097874699013114,0.2,0.036224108632430085,0.6244653702374746,0.23529411764705882,0.8,0.3636363636363636,False,False
other_race_or_ethnicity,77,59,18,14,10,49,4,0.1694915254237288,0.09475839349181055,0.2846322073648801,0.2222222222222222,0.09000928108601694,0.45214584316212614,0.5833333333333334,0.7777777777777778,0.6666666666666666,False,False
other_religion,65,57,8,4,15,42,4,0.2631578947368421,0.16645786597973078,0.38976579263483824,0.5,0.21521606221387762,0.7847839377861223,0.21052631578947367,0.5,0.2962962962962963,False,False
bisexual,52,42,10,9,12,30,1,0.2857142857142857,0.1716702462604908,0.4356720926819536,0.1,0.017876213095072924,0.40415002679523837,0.42857142857142855,0.9,0.5806451612903225,False,False
intellectual_or_learning_disability,24,21,3,3,1,20,0,0.047619047619047616,0.008455987809826385,0.22669360074122558,0.0,0.0,0.5614970317550454,0.75,1.0,0.8571428571428571,False,False
physical_disability,14,14,0,0,3,11,0,0.21428571428571427,0.07571386712693182,0.47589230586600284,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,2,1,1,0,0.5,0.09453120573423074,0.9054687942657693,0.0,0.0,0.6576197724933468,0.6666666666666666,1.0,0.8,False,False
other_gender,2,2,0,0,1,1,0,0.5,0.09453120573423074,0.9054687942657693,,,,0.0,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
