subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9118048196488215,0.9195424437344867,0.9373605439959934,True
male,7346,6224,1122,0.9105160175778655,0.9107274471745511,0.942540061684526,True
christian,6689,6023,666,0.9154496103275781,0.9420843117825412,0.9146994468234991,True
white,4218,3024,1194,0.8484402834277207,0.8190602546682313,0.9573940450938914,True
muslim,3471,2651,820,0.8514387115768555,0.8485044703081404,0.9469870358549011,True
black,2472,1657,815,0.8485995460789142,0.8205494424984132,0.954293239332436,True
homosexual_gay_or_lesbian,1818,1319,499,0.837638126898224,0.8300297722994097,0.9474204149605723,True
jewish,1334,1124,210,0.8546475173699373,0.892648416444557,0.918835986076864,True
psychiatric_or_mental_illness,838,690,148,0.9151978065021544,0.8920916432427609,0.953572782423965,True
asian,780,686,94,0.9182510390174308,0.9293102680084848,0.9296473348711103,False
transgender,412,327,85,0.8524914552977153,0.8556472634962076,0.9410343109127405,False
latino,355,276,79,0.8992845349477161,0.8922211970937609,0.9409577607284377,False
atheist,217,195,22,0.9086247086247087,0.9313885710621265,0.9220523355673054,False
heterosexual,186,151,35,0.8342478713339639,0.8524822211976417,0.9316124612389125,False
buddhist,94,80,14,0.9116071428571428,0.8928048980933597,0.9467541962079868,False
other_race_or_ethnicity,89,71,18,0.9217527386541471,0.9035755117469719,0.9448519389831774,False
hindu,81,71,10,0.8929577464788733,0.9092475737590215,0.9221248529658881,False
other_religion,45,42,3,0.9285714285714286,0.9217468237294918,0.9328311414926911,False
bisexual,45,35,10,0.8114285714285715,0.8700711563374202,0.9157827561884928,False
physical_disability,15,14,1,1.0,0.9228425158459288,0.9972216159954337,False
intellectual_or_learning_disability,14,13,1,1.0,0.9759072641719007,0.9188742277733011,False
other_gender,2,1,1,0.0,0.7129167760567078,0.8166666666666667,False
other_sexual_orientation,1,0,1,,,0.9774676490827613,False
