subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,642,281,7339,532,0.03687664041994751,0.03287320055894615,0.041346792324827984,0.45315161839863716,0.424875110793381,0.4817337123413245,0.695557963163597,0.5468483816013628,0.6123032904148784,True,True
male,7346,6224,1122,640,270,5954,482,0.04338046272493573,0.03859491604875116,0.04872931376933995,0.4295900178253119,0.4009138030979305,0.458746721248452,0.7032967032967034,0.5704099821746881,0.6299212598425198,True,True
christian,6689,6023,666,294,158,5865,372,0.026232774364934416,0.022488378992188213,0.030581120347732912,0.5585585585585585,0.5206173245487627,0.595828140229313,0.6504424778761062,0.44144144144144143,0.5259391771019678,True,True
white,4218,3024,1194,658,263,2761,536,0.08697089947089948,0.07744408572145042,0.09754574318031137,0.4489112227805695,0.4209076622940935,0.47724246508577517,0.7144408251900108,0.5510887772194305,0.6222222222222222,True,True
muslim,3471,2651,820,427,193,2458,393,0.07280271595624292,0.06351854580619717,0.08332316390322758,0.4792682926829268,0.4452516115145253,0.5134783120211631,0.6887096774193548,0.5207317073170732,0.5930555555555556,True,True
black,2472,1657,815,438,135,1522,377,0.08147254073627037,0.06924865336822938,0.0956325021245649,0.4625766871165644,0.42860120403528035,0.49690330072214484,0.7643979057591623,0.5374233128834356,0.6311239193083573,True,True
homosexual_gay_or_lesbian,1818,1319,499,242,108,1211,257,0.08188021228203184,0.06826940369064903,0.09791941459501428,0.5150300601202404,0.4712327111782985,0.5585977646841717,0.6914285714285714,0.4849699398797595,0.5700824499411071,True,True
jewish,1334,1124,210,90,52,1072,120,0.046263345195729534,0.03545270555628843,0.06016486371932277,0.5714285714285714,0.5038053478089644,0.6364855020825666,0.6338028169014085,0.42857142857142855,0.5113636363636364,True,True
psychiatric_or_mental_illness,838,690,148,96,34,656,52,0.04927536231884058,0.035473634969512294,0.06806797083594267,0.35135135135135137,0.27908632834911595,0.4311377412710361,0.7384615384615385,0.6486486486486487,0.6906474820143885,True,True
asian,780,686,94,48,16,670,46,0.023323615160349854,0.014406660253167706,0.03754942090490916,0.48936170212765956,0.39072762909152087,0.5888311384891503,0.75,0.5106382978723404,0.6075949367088608,True,False
transgender,412,327,85,42,20,307,43,0.06116207951070336,0.03993846167434861,0.09257654710650323,0.5058823529411764,0.4016643580854897,0.609591647987286,0.6774193548387096,0.49411764705882355,0.5714285714285715,True,False
latino,355,276,79,41,12,264,38,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.4810126582278481,0.37429730453787924,0.5894889440059407,0.7735849056603774,0.5189873417721519,0.6212121212121211,True,False
atheist,217,195,22,10,2,193,12,0.010256410256410256,0.00281719866017395,0.03661853505049643,0.5454545454545454,0.3465979532073494,0.7307970581918668,0.8333333333333334,0.45454545454545453,0.5882352941176471,True,False
heterosexual,186,151,35,12,10,141,23,0.06622516556291391,0.036366701053927426,0.11760665338406232,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.5454545454545454,0.34285714285714286,0.42105263157894735,True,False
buddhist,94,80,14,8,3,77,6,0.0375,0.012834568919911422,0.10454720090045114,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.7272727272727273,0.5714285714285714,0.64,False,False
other_race_or_ethnicity,89,71,18,5,2,69,13,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.7222222222222222,0.4912734343970254,0.8750024662044599,0.7142857142857143,0.2777777777777778,0.4,False,False
hindu,81,71,10,4,2,69,6,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6,0.3126737697336583,0.8318196702937637,0.6666666666666666,0.4,0.5,False,False
other_religion,45,42,3,0,2,40,3,0.047619047619047616,0.013157524908905607,0.15789852396958837,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,2,2,33,8,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.8,0.49016247153664183,0.9433178485456247,0.5,0.2,0.28571428571428575,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
