subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9051463914114655,0.9260203539336482,0.9178827509440887,True
male,7346,6224,1122,0.9017953187935608,0.9188739053183731,0.9216300640922142,True
christian,6689,6023,666,0.9100999970583233,0.9451400629529848,0.8936382375504448,True
white,4218,3024,1194,0.8399447358042417,0.8338021637535258,0.9431829850195749,True
muslim,3471,2651,820,0.8424867284319769,0.8662761553957417,0.92601850582444,True
black,2472,1657,815,0.8429122036646908,0.8241842368275681,0.943940769860062,True
homosexual_gay_or_lesbian,1818,1319,499,0.827381069948844,0.8294990672198039,0.9360048578843864,True
jewish,1334,1124,210,0.8441831892899508,0.9039608219108336,0.8931147192441818,True
psychiatric_or_mental_illness,838,690,148,0.9039414414414415,0.8927309267331265,0.9403970436449933,True
asian,780,686,94,0.9095977296693755,0.9276843950679465,0.9146411843652514,False
transgender,412,327,85,0.8477423997121784,0.8636154225208617,0.9254432066139988,False
latino,355,276,79,0.8833012291322694,0.8911849363779648,0.9239782757873639,False
atheist,217,195,22,0.8951048951048951,0.9328452864322286,0.8978527997109819,False
heterosexual,186,151,35,0.8431409649952696,0.8560842624416687,0.9192091536261147,False
buddhist,94,80,14,0.9053571428571429,0.9017562458908613,0.9295227931343293,False
other_race_or_ethnicity,89,71,18,0.9241001564945227,0.9000502157796139,0.9417856942810732,False
hindu,81,71,10,0.895774647887324,0.9215217709199077,0.9047975130230214,False
other_religion,45,42,3,0.8809523809523809,0.9340892607042817,0.9041832524339788,False
bisexual,45,35,10,0.8114285714285714,0.8716050541651804,0.8979587209888154,False
physical_disability,15,14,1,1.0,0.9252756629036493,0.975859116624977,False
intellectual_or_learning_disability,14,13,1,1.0,0.9764171900559403,0.9443661026054258,False
other_gender,2,1,1,0.0,0.6661853504856918,0.8134441087613293,False
other_sexual_orientation,1,0,1,,,0.9953172991389873,False
