model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4082,0.6086522340774536,0.05291523762861342,0.03821656050955414,True
baseline,female,equalize,5037,0.5808870792388916,0.04665475481437364,0.038117927337701016,True
baseline,transgender,equalize,214,0.6592954993247986,0.06074766355140187,0.037383177570093455,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,120,0.7809967398643494,0.075,0.03333333333333333,True
baseline,homosexual_gay_or_lesbian,equalize,874,0.8492224812507629,0.11670480549199085,0.03775743707093822,True
baseline,bisexual,equalize,30,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4082,0.4376432299613952,0.03184713375796178,0.03821656050955414,True
baseline,jewish,equalize,708,0.6453434824943542,0.05649717514124294,0.038135593220338986,True
baseline,muslim,equalize,1819,0.7590468525886536,0.09070918086860913,0.03793293018141836,True
baseline,hindu,equalize,48,,,,False
baseline,buddhist,equalize,54,,,,False
baseline,atheist,equalize,147,0.7818307876586914,0.061224489795918366,0.034013605442176874,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1111,0.8514594435691833,0.14491449144914492,0.037803780378037805,True
baseline,white,equalize,1921,0.8537908792495728,0.13742842269651223,0.03800104112441437,True
baseline,asian,equalize,430,0.7472472190856934,0.05581395348837209,0.037209302325581395,True
baseline,latino,equalize,159,0.9110215306282043,0.0880503144654088,0.03773584905660377,True
baseline,other_race_or_ethnicity,equalize,48,,,,False
baseline,physical_disability,equalize,7,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,463,0.6938879489898682,0.056155507559395246,0.0367170626349892,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4082,0.6086522340774536,0.05291523762861342,0.03821656050955414,True
baseline,female,cap,5037,0.5808870792388916,0.04665475481437364,0.038117927337701016,True
baseline,transgender,cap,214,0.6592954993247986,0.06074766355140187,0.037383177570093455,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,120,0.7809967398643494,0.075,0.03333333333333333,True
baseline,homosexual_gay_or_lesbian,cap,874,0.8492224812507629,0.11670480549199085,0.03775743707093822,True
baseline,bisexual,cap,30,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4082,0.5,0.03184713375796178,0.03184713375796178,True
baseline,jewish,cap,708,0.6453434824943542,0.05649717514124294,0.038135593220338986,True
baseline,muslim,cap,1819,0.7590468525886536,0.09070918086860913,0.03793293018141836,True
baseline,hindu,cap,48,,,,False
baseline,buddhist,cap,54,,,,False
baseline,atheist,cap,147,0.7818307876586914,0.061224489795918366,0.034013605442176874,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1111,0.8514594435691833,0.14491449144914492,0.037803780378037805,True
