subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,635,267,7353,539,0.03503937007874016,0.031139441504558038,0.03940786220391794,0.45911413969335607,0.4307882929783783,0.48770667993918293,0.7039911308203991,0.540885860306644,0.6117533718689788,True,True
male,7346,6224,1122,643,276,5948,479,0.04434447300771208,0.03950511772868143,0.04974594341280569,0.4269162210338681,0.3982716973696311,0.4560594798000319,0.6996735582154516,0.5730837789661319,0.6300832925036748,True,True
christian,6689,6023,666,293,169,5854,373,0.028059106757429852,0.02417981001853983,0.03254002592809617,0.56006006006006,0.5221237203747254,0.597307525551506,0.6341991341991342,0.43993993993993996,0.5195035460992908,True,True
white,4218,3024,1194,662,270,2754,532,0.08928571428571429,0.0796364784776824,0.09997710638699986,0.4455611390284757,0.41758839009610016,0.47388305711195666,0.7103004291845494,0.5544388609715243,0.6227657572906867,True,True
muslim,3471,2651,820,415,176,2475,405,0.06639004149377593,0.05752641445426227,0.07650850414263288,0.49390243902439024,0.4597908231031337,0.5280709191132452,0.7021996615905245,0.5060975609756098,0.588235294117647,True,True
black,2472,1657,815,425,129,1528,390,0.07785153892576946,0.06590501420283773,0.09175088812911553,0.4785276073619632,0.444413130623068,0.5128435524344711,0.7671480144404332,0.5214723926380368,0.620891161431702,True,True
homosexual_gay_or_lesbian,1818,1319,499,236,101,1218,263,0.07657316148597422,0.06342052194889311,0.0921850175117469,0.5270541082164328,0.4832088339024477,0.5704860226499986,0.7002967359050445,0.4729458917835671,0.5645933014354066,True,True
jewish,1334,1124,210,89,56,1068,121,0.0498220640569395,0.03856508116670775,0.0641456836439967,0.5761904761904761,0.5085752403591578,0.6410683328584751,0.6137931034482759,0.4238095238095238,0.5014084507042254,True,True
psychiatric_or_mental_illness,838,690,148,95,39,651,53,0.05652173913043478,0.04161980962857468,0.07633431055299836,0.3581081081081081,0.28535443908439284,0.4380412637348432,0.7089552238805971,0.6418918918918919,0.673758865248227,True,True
asian,780,686,94,50,20,666,44,0.029154518950437316,0.018951046964818134,0.04460190170202843,0.46808510638297873,0.3704589402235773,0.5682173625184362,0.7142857142857143,0.5319148936170213,0.6097560975609756,True,False
transgender,412,327,85,37,10,317,48,0.03058103975535168,0.016694247727494265,0.05536884528895704,0.5647058823529412,0.45877384107249547,0.6650422257280391,0.7872340425531915,0.43529411764705883,0.5606060606060607,True,False
latino,355,276,79,44,12,264,35,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.4430379746835443,0.3386778751145434,0.5526808705169161,0.7857142857142857,0.5569620253164557,0.6518518518518518,True,False
atheist,217,195,22,10,4,191,12,0.020512820512820513,0.008005250618458151,0.05154701222916154,0.5454545454545454,0.3465979532073494,0.7307970581918668,0.7142857142857143,0.45454545454545453,0.5555555555555556,True,False
heterosexual,186,151,35,15,13,138,20,0.08609271523178808,0.05100238712386094,0.14172027932460254,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.5357142857142857,0.42857142857142855,0.47619047619047616,True,False
buddhist,94,80,14,8,4,76,6,0.05,0.0196135545355443,0.1216227620464301,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.6666666666666666,0.5714285714285714,0.6153846153846153,False,False
other_race_or_ethnicity,89,71,18,7,2,69,11,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.7777777777777778,0.3888888888888889,0.5185185185185185,False,False
hindu,81,71,10,4,2,69,6,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6,0.3126737697336583,0.8318196702937637,0.6666666666666666,0.4,0.5,False,False
other_religion,45,42,3,0,2,40,3,0.047619047619047616,0.013157524908905607,0.15789852396958837,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,4,3,32,6,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.6,0.3126737697336583,0.8318196702937637,0.5714285714285714,0.4,0.47058823529411764,False,False
physical_disability,15,14,1,1,1,13,0,0.07142857142857142,0.012722215247890911,0.31468704424151117,0.0,0.0,0.7934506856227626,0.5,1.0,0.6666666666666666,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
