subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.910729576073008,0.9310020077009382,0.9202096500956508,True
male,7346,6224,1122,0.9083314574369126,0.9242132170552911,0.9251216547389716,True
christian,6689,6023,666,0.9096829271576076,0.9497085086773294,0.8916117235649332,True
white,4218,3024,1194,0.8463200315953665,0.8453205227183826,0.9439893119788523,True
muslim,3471,2651,820,0.8530241694344518,0.8747471239834957,0.9297517490456828,True
black,2472,1657,815,0.8521294674757767,0.836794368536808,0.944909227364988,True
homosexual_gay_or_lesbian,1818,1319,499,0.8457643110329833,0.841329509928359,0.9411051686979053,True
jewish,1334,1124,210,0.8509998305371971,0.9148509026964897,0.8908479737242758,True
psychiatric_or_mental_illness,838,690,148,0.9119712103407756,0.9060719807409907,0.9393669110179274,True
asian,780,686,94,0.896772842875752,0.9292510872407815,0.9046610177145407,False
transgender,412,327,85,0.8397553516819571,0.8752235533268551,0.9189629292835033,False
latino,355,276,79,0.8927719684461566,0.8946240821896745,0.9336574818653623,False
atheist,217,195,22,0.8586247086247086,0.9359352375937869,0.8701775441411046,False
heterosexual,186,151,35,0.8431409649952696,0.8683997506077625,0.9173613615057331,False
buddhist,94,80,14,0.8812500000000001,0.8998989151873767,0.9242455709027699,False
other_race_or_ethnicity,89,71,18,0.9158841940532081,0.9101888002134634,0.9311352900539592,False
hindu,81,71,10,0.8711267605633803,0.9141944583786065,0.8962653335573854,False
other_religion,45,42,3,0.9404761904761905,0.934423769507803,0.9317842086699475,False
bisexual,45,35,10,0.8028571428571428,0.8600060079229485,0.9118303496456521,False
physical_disability,15,14,1,1.0,0.9385853054795035,0.9976161297362633,False
intellectual_or_learning_disability,14,13,1,1.0,0.9501686289557121,0.9788644910018802,False
other_gender,2,1,1,0.0,0.7721843003412969,0.8612453843571669,False
other_sexual_orientation,1,0,1,,,0.9965760896930229,False
