subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,526,172,7448,648,0.02257217847769029,0.019469885748173748,0.026155598556493378,0.5519591141396933,0.5233892379020106,0.5801900673485887,0.7535816618911175,0.44804088586030666,0.561965811965812,True,True
male,7346,6224,1122,520,171,6053,602,0.027474293059125965,0.023695614842059298,0.0318358981399977,0.5365418894830659,0.5072885453598068,0.5655458660553616,0.7525325615050651,0.46345811051693403,0.573634859349145,True,True
christian,6689,6023,666,216,77,5946,450,0.01278432674746804,0.01024164968629687,0.015948098276905704,0.6756756756756757,0.6392034969533023,0.7101328973809249,0.7372013651877133,0.32432432432432434,0.4504692387904066,True,True
white,4218,3024,1194,534,138,2886,660,0.04563492063492063,0.038755661457941994,0.05366709667738282,0.5527638190954773,0.5244370778448332,0.580752134861204,0.7946428571428571,0.4472361809045226,0.572347266881029,True,True
muslim,3471,2651,820,340,106,2545,480,0.03998491135420596,0.033168132354337264,0.04813294048508305,0.5853658536585366,0.5513241710393942,0.6186114379313002,0.7623318385650224,0.4146341463414634,0.5371248025276462,True,True
black,2472,1657,815,374,95,1562,441,0.057332528666264336,0.047129050803696934,0.06958375028349066,0.5411042944785276,0.5067801787517502,0.5750427422523893,0.7974413646055437,0.4588957055214724,0.5825545171339565,True,True
homosexual_gay_or_lesbian,1818,1319,499,192,69,1250,307,0.052312357846853674,0.041543636910595705,0.06568119934993773,0.6152304609218436,0.5718153140409982,0.6568850009046062,0.735632183908046,0.3847695390781563,0.5052631578947369,True,True
jewish,1334,1124,210,60,24,1100,150,0.021352313167259787,0.014390073414624657,0.031575127115333834,0.7142857142857143,0.6497654334710847,0.7711071162035081,0.7142857142857143,0.2857142857142857,0.40816326530612246,True,True
psychiatric_or_mental_illness,838,690,148,84,27,663,64,0.0391304347826087,0.027030107135264103,0.05633397854362554,0.43243243243243246,0.35532427400393823,0.5129593940052217,0.7567567567567568,0.5675675675675675,0.6486486486486487,True,True
asian,780,686,94,38,13,673,56,0.018950437317784258,0.011107633973269398,0.03215079655323019,0.5957446808510638,0.4946729927853779,0.6892980989885815,0.7450980392156863,0.40425531914893614,0.5241379310344827,True,False
transgender,412,327,85,32,15,312,53,0.045871559633027525,0.027992965258948975,0.07429608563970261,0.6235294117647059,0.5172990783621897,0.7190770491661035,0.6808510638297872,0.3764705882352941,0.48484848484848475,True,False
latino,355,276,79,33,8,268,46,0.028985507246376812,0.014759111837320683,0.05614338740031858,0.5822784810126582,0.47219253771133196,0.684733718598782,0.8048780487804879,0.4177215189873418,0.55,True,False
atheist,217,195,22,8,0,195,14,0.0,0.0,0.01931920457372107,0.6363636363636364,0.42951708090131013,0.8026679532963387,1.0,0.36363636363636365,0.5333333333333333,True,False
heterosexual,186,151,35,12,7,144,23,0.046357615894039736,0.0226344334523831,0.09258960897513287,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.631578947368421,0.34285714285714286,0.4444444444444445,True,False
buddhist,94,80,14,6,2,78,8,0.025,0.006882893202970648,0.0866443298557801,0.5714285714285714,0.3259064457965074,0.7861920109552588,0.75,0.42857142857142855,0.5454545454545454,False,False
other_race_or_ethnicity,89,71,18,6,2,69,12,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6666666666666666,0.437494672959451,0.8372122524916629,0.75,0.3333333333333333,0.46153846153846156,False,False
hindu,81,71,10,3,0,71,7,0.0,0.0,0.05132795219689032,0.7,0.39677814746114537,0.8922087325936989,1.0,0.3,0.4615384615384615,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,1,2,33,9,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.9,0.5958499732047616,0.982123786904927,0.3333333333333333,0.1,0.15384615384615383,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
