subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.8814237950877946,0.877125241036104,0.9182738433067363,True
male,7346,6224,1122,0.8795862087531905,0.8644794730255174,0.9245447633414812,True
christian,6689,6023,666,0.89912741896803,0.9200232585578095,0.8876353854881806,True
white,4218,3024,1194,0.8111362588958904,0.7254105675992836,0.9500292155711694,True
muslim,3471,2651,820,0.8200124665335677,0.7764124675178838,0.9389573845501321,True
black,2472,1657,815,0.8022655327278585,0.7089890766800175,0.9541207793753865,True
homosexual_gay_or_lesbian,1818,1319,499,0.8083870546247918,0.7550628881260062,0.9370610019599805,True
jewish,1334,1124,210,0.8429185731231995,0.8396236134853783,0.9173875465645485,True
psychiatric_or_mental_illness,838,690,148,0.8971504112808462,0.8368307213011082,0.9459984937816864,True
asian,780,686,94,0.9092798213510328,0.911501603014248,0.9079185279247416,False
transgender,412,327,85,0.8260118726389639,0.8195036730532088,0.9154882569357443,False
latino,355,276,79,0.8698403962575675,0.8392222158151693,0.9293318491940932,False
atheist,217,195,22,0.9174825174825174,0.8890216448463125,0.9335732633647967,False
heterosexual,186,151,35,0.8291390728476821,0.7816953432810798,0.9343184058075528,False
buddhist,94,80,14,0.8651785714285715,0.8757034845496384,0.9052428890750936,False
other_race_or_ethnicity,89,71,18,0.8043818466353678,0.8394299489874388,0.8901333109281355,False
hindu,81,71,10,0.7380281690140845,0.8649653209042665,0.8281919005209208,False
other_religion,45,42,3,0.8015873015873015,0.8414834683873549,0.8440853894086229,False
bisexual,45,35,10,0.7914285714285714,0.8252220115277021,0.8943690592147248,False
physical_disability,15,14,1,0.6428571428571428,0.8530782357574166,0.7955579431564457,False
intellectual_or_learning_disability,14,13,1,0.8461538461538461,0.9868933901488378,0.6374227773301101,False
other_gender,2,1,1,1.0,0.5476503019165135,0.9845921450151057,False
other_sexual_orientation,1,0,1,,,0.9079572346889109,False
