model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4198,0.6189531683921814,0.050023820867079564,0.0393044306812768,True
baseline,female,equalize,5065,0.5954925417900085,0.05074037512339585,0.039289239881539983,True
baseline,transgender,equalize,232,0.7816641926765442,0.09051724137931035,0.03879310344827586,True
baseline,other_gender,equalize,1,,,,False
baseline,heterosexual,equalize,117,0.7478001117706299,0.08547008547008547,0.03418803418803419,True
baseline,homosexual_gay_or_lesbian,equalize,906,0.7970833778381348,0.11810154525386314,0.03863134657836645,True
baseline,bisexual,equalize,18,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4034,0.4781176149845123,0.036936043629152204,0.039167079821517105,True
baseline,jewish,equalize,701,0.6252092719078064,0.05135520684736091,0.03851640513552068,True
baseline,muslim,equalize,1696,0.7921428084373474,0.10377358490566038,0.03891509433962264,True
baseline,hindu,equalize,52,,,,False
baseline,buddhist,equalize,60,,,,False
baseline,atheist,equalize,141,0.6594051122665405,0.0425531914893617,0.03546099290780142,True
baseline,other_religion,equalize,20,,,,False
baseline,black,equalize,1108,0.815232515335083,0.1299638989169675,0.0388086642599278,True
baseline,white,equalize,2012,0.7975568175315857,0.11630218687872763,0.03926441351888668,True
baseline,asian,equalize,436,0.5345517992973328,0.0389908256880734,0.0389908256880734,True
baseline,latino,equalize,183,0.7384804487228394,0.06557377049180328,0.03825136612021858,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,7,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,450,0.6263527274131775,0.05333333333333334,0.03777777777777778,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4198,0.6189531683921814,0.050023820867079564,0.0393044306812768,True
baseline,female,cap,5065,0.5954925417900085,0.05074037512339585,0.039289239881539983,True
baseline,transgender,cap,232,0.7816641926765442,0.09051724137931035,0.03879310344827586,True
baseline,other_gender,cap,1,,,,False
baseline,heterosexual,cap,117,0.7478001117706299,0.08547008547008547,0.03418803418803419,True
baseline,homosexual_gay_or_lesbian,cap,906,0.7970833778381348,0.11810154525386314,0.03863134657836645,True
baseline,bisexual,cap,18,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4034,0.5,0.036936043629152204,0.036936043629152204,True
baseline,jewish,cap,701,0.6252092719078064,0.05135520684736091,0.03851640513552068,True
baseline,muslim,cap,1696,0.7921428084373474,0.10377358490566038,0.03891509433962264,True
baseline,hindu,cap,52,,,,False
baseline,buddhist,cap,60,,,,False
baseline,atheist,cap,141,0.6594051122665405,0.0425531914893617,0.03546099290780142,True
baseline,other_religion,cap,20,,,,False
baseline,black,cap,1108,0.815232515335083,0.1299638989169675,0.0388086642599278,True
baseline,white,cap,2012,0.7975568175315857,0.11630218687872763,0.03926441351888668,True
baseline,asian,cap,436,0.5345517992973328,0.0389908256880734,0.0389908256880734,True
baseline,latino,cap,183,0.7384804487228394,0.06557377049180328,0.03825136612021858,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,7,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,450,0.6263527274131775,0.05333333333333334,0.03777777777777778,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4198,0.5634980797767639,0.03596950929013816,0.03168175321581706,True
mitigated,female,equalize,5065,0.5548925995826721,0.035340572556762095,0.031786771964461995,True
mitigated,transgender,equalize,232,0.8288003206253052,0.0603448275862069,0.03017241379310345,True
mitigated,other_gender,equalize,1,,,,False
mitigated,heterosexual,equalize,117,0.675336480140686,0.042735042735042736,0.02564102564102564,True
mitigated,homosexual_gay_or_lesbian,equalize,906,0.7897205948829651,0.07505518763796909,0.03090507726269316,True
mitigated,bisexual,equalize,18,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4034,0.4321233332157135,0.027268220128904314,0.03173029251363411,True
mitigated,jewish,equalize,701,0.5859306454658508,0.03566333808844508,0.03138373751783167,True
mitigated,muslim,equalize,1696,0.854884684085846,0.07841981132075472,0.031839622641509434,True
mitigated,hindu,equalize,52,,,,False
mitigated,buddhist,equalize,60,,,,False
mitigated,atheist,equalize,141,0.6192409992218018,0.028368794326241134,0.028368794326241134,True
mitigated,other_religion,equalize,20,,,,False
mitigated,black,equalize,1108,0.8762113451957703,0.09386281588447654,0.0315884476534296,True
mitigated,white,equalize,2012,0.8191711902618408,0.0805168986083499,0.03180914512922465,True
mitigated,asian,equalize,436,0.4569852650165558,0.02522935779816514,0.02981651376146789,True
mitigated,latino,equalize,183,0.7390459179878235,0.03825136612021858,0.0273224043715847,True
mitigated,other_race_or_ethnicity,equalize,39,,,,False
mitigated,physical_disability,equalize,7,,,,False
mitigated,intellectual_or_learning_disability,equalize,10,,,,False
mitigated,psychiatric_or_mental_illness,equalize,450,0.6332968473434448,0.044444444444444446,0.03111111111111111,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4198,0.5634980797767639,0.03596950929013816,0.03168175321581706,True
mitigated,female,cap,5065,0.5548925995826721,0.035340572556762095,0.031786771964461995,True
mitigated,transgender,cap,232,0.8288003206253052,0.0603448275862069,0.03017241379310345,True
mitigated,other_gender,cap,1,,,,False
mitigated,heterosexual,cap,117,0.675336480140686,0.042735042735042736,0.02564102564102564,True
mitigated,homosexual_gay_or_lesbian,cap,906,0.7897205948829651,0.07505518763796909,0.03090507726269316,True
mitigated,bisexual,cap,18,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4034,0.5,0.027268220128904314,0.027268220128904314,True
mitigated,jewish,cap,701,0.5859306454658508,0.03566333808844508,0.03138373751783167,True
mitigated,muslim,cap,1696,0.854884684085846,0.07841981132075472,0.031839622641509434,True
mitigated,hindu,cap,52,,,,False
mitigated,buddhist,cap,60,,,,False
mitigated,atheist,cap,141,0.6192409992218018,0.028368794326241134,0.028368794326241134,True
mitigated,other_religion,cap,20,,,,False
mitigated,black,cap,1108,0.8762113451957703,0.09386281588447654,0.0315884476534296,True
mitigated,white,cap,2012,0.8191711902618408,0.0805168986083499,0.03180914512922465,True
mitigated,asian,cap,436,0.5,0.02522935779816514,0.02522935779816514,True
mitigated,latino,cap,183,0.7390459179878235,0.03825136612021858,0.0273224043715847,True
mitigated,other_race_or_ethnicity,cap,39,,,,False
mitigated,physical_disability,cap,7,,,,False
mitigated,intellectual_or_learning_disability,cap,10,,,,False
mitigated,psychiatric_or_mental_illness,cap,450,0.6332968473434448,0.044444444444444446,0.03111111111111111,True
mitigated,other_disability,cap,0,,,,False
