subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,927,1096,6524,247,0.14383202099737533,0.13613230301619098,0.15189066685815386,0.21039182282793867,0.18804031820318085,0.2346324066295437,0.45823035096391496,0.7896081771720613,0.5799186737566469,True,True
male,7346,6224,1122,897,1032,5192,225,0.16580976863753213,0.1567769022621069,0.17525490562727725,0.20053475935828877,0.17814565564671195,0.22496746056068714,0.46500777604976673,0.7994652406417112,0.5880039331366765,True,True
christian,6689,6023,666,493,630,5393,173,0.10459903702473851,0.09712057720715317,0.11258154743907856,0.25975975975975973,0.22790157874906095,0.294373437546013,0.4390026714158504,0.7402402402402403,0.5511458915595304,True,True
white,4218,3024,1194,1036,1213,1811,158,0.4011243386243386,0.38379153868805527,0.4187080280386274,0.1323283082077052,0.11428222515828973,0.1527326259853552,0.4606491774121832,0.8676716917922948,0.6018007551553878,True,True
muslim,3471,2651,820,694,855,1796,126,0.3225198038476047,0.3049937932735898,0.3405594291708115,0.15365853658536585,0.13059551358389454,0.17995144430643056,0.44803098773402195,0.8463414634146341,0.585901224145209,True,True
black,2472,1657,815,724,649,1008,91,0.39167169583584793,0.3684454578462384,0.4153990517586018,0.1116564417177914,0.0918299843161384,0.13512659783878248,0.5273124544792426,0.8883435582822086,0.6617915904936015,True,True
homosexual_gay_or_lesbian,1818,1319,499,431,502,817,68,0.38059135708870356,0.3547713249696262,0.4071049014673492,0.13627254509018036,0.10893632014209159,0.1691661639861305,0.46195069667738475,0.8637274549098196,0.6019553072625697,True,True
jewish,1334,1124,210,161,237,887,49,0.21085409252669038,0.18801216888123898,0.23566569389243477,0.23333333333333334,0.18123335100028015,0.29501414273800425,0.4045226130653266,0.7666666666666667,0.5296052631578947,True,True
psychiatric_or_mental_illness,838,690,148,123,138,552,25,0.2,0.1718515570736401,0.23147034775507105,0.16891891891891891,0.11711370401207141,0.23747626923281281,0.47126436781609193,0.831081081081081,0.6014669926650366,True,True
asian,780,686,94,72,79,607,22,0.1151603498542274,0.09338632072659599,0.1412204236946037,0.23404255319148937,0.1599421995334497,0.32902698998332947,0.4768211920529801,0.7659574468085106,0.5877551020408164,True,False
transgender,412,327,85,67,95,232,18,0.290519877675841,0.24397066465797856,0.34193371235587755,0.21176470588235294,0.13836235998806562,0.310093342445917,0.41358024691358025,0.788235294117647,0.5425101214574899,True,False
latino,355,276,79,70,58,218,9,0.21014492753623187,0.16622458474930962,0.26202310708923765,0.11392405063291139,0.061105793281181514,0.20254792710982203,0.546875,0.8860759493670886,0.6763285024154589,True,False
atheist,217,195,22,18,23,172,4,0.11794871794871795,0.0798941229342487,0.17076516671438946,0.18181818181818182,0.07306884583422057,0.3851660743712655,0.43902439024390244,0.8181818181818182,0.5714285714285715,True,False
heterosexual,186,151,35,31,54,97,4,0.3576158940397351,0.2855720796163574,0.43672451764191406,0.11428571428571428,0.0453517933309736,0.25951468646213804,0.36470588235294116,0.8857142857142857,0.5166666666666666,True,False
buddhist,94,80,14,12,17,63,2,0.2125,0.1371238671769615,0.3142215573059666,0.14285714285714285,0.04009392127146494,0.3994137949697035,0.41379310344827586,0.8571428571428571,0.5581395348837208,False,False
other_race_or_ethnicity,89,71,18,16,11,60,2,0.15492957746478872,0.0887730427016977,0.2565096285327758,0.1111111111111111,0.03101952264561239,0.32799765130178793,0.5925925925925926,0.8888888888888888,0.711111111111111,False,False
hindu,81,71,10,7,12,59,3,0.16901408450704225,0.09941454752428262,0.27259127998633487,0.3,0.10779126740630104,0.6032218525388545,0.3684210526315789,0.7,0.48275862068965514,False,False
other_religion,45,42,3,2,9,33,1,0.21428571428571427,0.1170579987600303,0.35939845316322894,0.3333333333333333,0.06149194472039632,0.7923403991979523,0.18181818181818182,0.6666666666666666,0.28571428571428575,False,False
bisexual,45,35,10,8,11,24,2,0.3142857142857143,0.18550844674265823,0.47979763612069193,0.2,0.056682151454375274,0.5098375284633582,0.42105263157894735,0.8,0.5517241379310345,False,False
physical_disability,15,14,1,1,2,12,0,0.14285714285714285,0.04009392127146494,0.3994137949697035,0.0,0.0,0.7934506856227626,0.3333333333333333,1.0,0.5,False,False
intellectual_or_learning_disability,14,13,1,1,1,12,0,0.07692307692307693,0.013710421242556586,0.3331395092109958,0.0,0.0,0.7934506856227626,0.5,1.0,0.6666666666666666,False,False
other_gender,2,1,1,0,1,0,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
