subgroup,n,n_toxic,n_nontoxic,toxic_rate,test_n,test_n_nontoxic,test_n_toxic
female,58584,8003,50581,0.1366,8939,7693,1246
male,48870,7355,41515,0.1505,7287,6233,1054
christian,44649,4090,40559,0.0916,6625,5999,626
white,27534,7780,19754,0.2826,4074,2908,1166
muslim,23046,5264,17782,0.2284,3529,2729,800
black,16420,5181,11239,0.3155,2519,1739,780
homosexual_gay_or_lesbian,12062,3411,8651,0.2828,1835,1321,514
jewish,8486,1378,7108,0.1624,1266,1061,205
psychiatric_or_mental_illness,5400,1136,4264,0.2104,818,654,164
asian,5032,612,4420,0.1216,724,631,93
transgender,2759,583,2176,0.2113,417,329,88
latino,2229,439,1790,0.1969,328,249,79
atheist,1692,206,1486,0.1217,243,211,32
heterosexual,1432,323,1109,0.2256,215,168,47
buddhist,641,76,565,0.1186,100,88,12
hindu,631,66,565,0.1046,104,94,10
other_race_or_ethnicity,549,102,447,0.1858,77,57,20
other_religion,354,48,306,0.1356,44,42,2
bisexual,321,69,252,0.215,45,35,10
intellectual_or_learning_disability,117,7,110,0.0598,15,11,4
physical_disability,91,7,84,0.0769,16,14,2
other_sexual_orientation,11,3,8,0.2727,2,2,0
other_gender,10,3,7,0.3,1,1,0
other_disability,5,1,4,0.2,0,0,0
