subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,682,345,7275,492,0.045275590551181105,0.04083215328713118,0.050177275826577335,0.4190800681431005,0.3911646731441942,0.44752329408847885,0.6640701071080818,0.5809199318568995,0.6197183098591549,True,True
male,7346,6224,1122,683,326,5898,439,0.052377892030848326,0.04711397941894328,0.05819400941751057,0.39126559714795006,0.36312668706252565,0.4201465277508752,0.6769078295341923,0.6087344028520499,0.6410136086344439,True,True
christian,6689,6023,666,316,181,5842,350,0.030051469367424873,0.02603028618893046,0.03467173514684903,0.5255255255255256,0.487563742482402,0.5631945370362466,0.635814889336016,0.4744744744744745,0.5434221840068788,True,True
white,4218,3024,1194,751,333,2691,443,0.11011904761904762,0.09945262926275765,0.12177475926820881,0.3710217755443886,0.34407544015541514,0.39879537322982705,0.6928044280442804,0.6289782244556114,0.659350307287094,True,True
muslim,3471,2651,820,462,227,2424,358,0.08562806488117691,0.07556693257798926,0.09688835935649472,0.43658536585365854,0.4030129098190263,0.47074920923131486,0.6705370101596516,0.5634146341463414,0.6123260437375745,True,True
black,2472,1657,815,503,177,1480,312,0.10681955340977671,0.09284593711083512,0.12261199050784617,0.38282208588957056,0.35007435061600606,0.41666926264084997,0.7397058823529412,0.6171779141104294,0.6729096989966555,True,True
homosexual_gay_or_lesbian,1818,1319,499,286,148,1171,213,0.11220621683093253,0.09628689460158271,0.13037780268421384,0.42685370741482964,0.3841769474700225,0.4706480699992893,0.6589861751152074,0.5731462925851704,0.6130760986066452,True,True
jewish,1334,1124,210,98,67,1057,112,0.059608540925266906,0.04720974743378023,0.07500730509843065,0.5333333333333333,0.46586592019407264,0.5996031430886418,0.593939393939394,0.4666666666666667,0.5226666666666667,True,True
psychiatric_or_mental_illness,838,690,148,93,40,650,55,0.057971014492753624,0.0428586973856347,0.07797792567116196,0.3716216216216216,0.29793848274695317,0.45180048647045085,0.6992481203007519,0.6283783783783784,0.6619217081850534,True,True
asian,780,686,94,46,22,664,48,0.03206997084548105,0.02127241724696016,0.048078965174271265,0.5106382978723404,0.41116886151084975,0.6092723709084791,0.6764705882352942,0.48936170212765956,0.5679012345679013,True,False
transgender,412,327,85,39,25,302,46,0.0764525993883792,0.052318410516295474,0.11042255614675665,0.5411764705882353,0.4357633606996252,0.6430286818098059,0.609375,0.4588235294117647,0.5234899328859061,True,False
latino,355,276,79,45,16,260,34,0.057971014492753624,0.03599479079251551,0.09208293926126902,0.43037974683544306,0.3269382343461824,0.5402780103144904,0.7377049180327869,0.569620253164557,0.6428571428571429,True,False
atheist,217,195,22,9,5,190,13,0.02564102564102564,0.011000939888087286,0.05860958752800706,0.5909090909090909,0.38734818476315136,0.7674418380352813,0.6428571428571429,0.4090909090909091,0.5000000000000001,True,False
heterosexual,186,151,35,14,16,135,21,0.10596026490066225,0.06628109838274068,0.16519088007619653,0.6,0.435727090128925,0.7444927114061941,0.4666666666666667,0.4,0.4307692307692308,True,False
buddhist,94,80,14,5,6,74,9,0.075,0.034825249293005164,0.15412016081219287,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.45454545454545453,0.35714285714285715,0.4,False,False
other_race_or_ethnicity,89,71,18,8,1,70,10,0.014084507042253521,0.00249060327054422,0.07556050520249004,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.8888888888888888,0.4444444444444444,0.5925925925925926,False,False
hindu,81,71,10,3,4,67,7,0.056338028169014086,0.022124519301696656,0.13609605799976943,0.7,0.39677814746114537,0.8922087325936989,0.42857142857142855,0.3,0.3529411764705882,False,False
other_religion,45,42,3,1,2,40,2,0.047619047619047616,0.013157524908905607,0.15789852396958837,0.6666666666666666,0.20765960080204782,0.9385080552796038,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False
bisexual,45,35,10,4,4,31,6,0.11428571428571428,0.0453517933309736,0.25951468646213804,0.6,0.3126737697336583,0.8318196702937637,0.5,0.4,0.4444444444444445,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,1,0,13,0,0.0,1.3877787807814457e-17,0.2280953723541983,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
