subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8785,7600,1185,573,214,7386,612,0.028157894736842104,0.024670463617488463,0.03212207488549998,0.5164556962025316,0.4879957733061193,0.5448092737509433,0.7280813214739518,0.4835443037974684,0.581135902636917,True,True
male,7297,6188,1109,523,170,6018,586,0.027472527472527472,0.023683795859142962,0.03184757733693086,0.5284039675383229,0.4989766000623521,0.5576352375903921,0.7546897546897547,0.4715960324616772,0.5804661487236404,True,True
christian,6739,6111,628,234,128,5983,394,0.020945835378825068,0.017644908495801852,0.024848663998358445,0.6273885350318471,0.5889061658804936,0.6643219149400231,0.6464088397790055,0.37261146496815284,0.47272727272727266,True,True
white,4206,3041,1165,608,266,2775,557,0.08747122657020717,0.07794309871581157,0.09804027055564873,0.4781115879828326,0.4495466836613419,0.5068203671348741,0.6956521739130435,0.5218884120171674,0.5963707699852869,True,True
muslim,3444,2623,821,363,113,2510,458,0.04308044224170797,0.035955517905204105,0.05154175302788074,0.5578562728380024,0.5236930860546284,0.5914805621465967,0.7626050420168067,0.44214372716199757,0.5597532767925983,True,True
black,2486,1725,761,426,194,1531,335,0.11246376811594203,0.09840741621417724,0.1282423189720575,0.44021024967148487,0.4053285289263772,0.47569256511798513,0.6870967741935484,0.5597897503285151,0.6169442433019551,True,True
homosexual_gay_or_lesbian,1803,1317,486,223,113,1204,263,0.08580106302201974,0.0718538212705859,0.1021575691849399,0.5411522633744856,0.496700345473995,0.5849587286605241,0.6636904761904762,0.4588477366255144,0.5425790754257908,True,True
jewish,1287,1084,203,79,15,1069,124,0.013837638376383764,0.008403496669536438,0.022705318448965228,0.6108374384236454,0.5423028004159327,0.6752551314250403,0.8404255319148937,0.3891625615763547,0.531986531986532,True,True
psychiatric_or_mental_illness,777,608,169,113,33,575,56,0.054276315789473686,0.03890585911425462,0.07524374257392033,0.33136094674556216,0.2648358824454071,0.40538212896855674,0.773972602739726,0.6686390532544378,0.7174603174603176,True,True
asian,730,649,81,51,26,623,30,0.040061633281972264,0.027483640764148307,0.05805237730916349,0.37037037037037035,0.27331684253954935,0.47916266109107686,0.6623376623376623,0.6296296296296297,0.6455696202531646,True,False
transgender,400,316,84,32,7,309,52,0.022151898734177215,0.010770923867240951,0.04501127174454245,0.6190476190476191,0.5121544142609232,0.7155285075451102,0.8205128205128205,0.38095238095238093,0.5203252032520325,True,False
latino,307,260,47,26,12,248,21,0.046153846153846156,0.026596161974872023,0.07892727981148914,0.44680851063829785,0.31410966265495277,0.5875454016178127,0.6842105263157895,0.5531914893617021,0.611764705882353,True,False
atheist,266,233,33,13,5,228,20,0.02145922746781116,0.009200103048235247,0.0492417714851128,0.6060606060606061,0.43683440819940234,0.7531689256552291,0.7222222222222222,0.3939393939393939,0.5098039215686274,True,False
heterosexual,204,155,49,19,8,147,30,0.05161290322580645,0.026382095187525774,0.09853150714278189,0.6122448979591837,0.4724599944352045,0.7357098828826433,0.7037037037037037,0.3877551020408163,0.5,True,False
hindu,112,99,13,5,2,97,8,0.020202020202020204,0.005557720110757801,0.0706903116715008,0.6153846153846154,0.355228915126657,0.8229029220223743,0.7142857142857143,0.38461538461538464,0.5,False,False
buddhist,101,91,10,4,1,90,6,0.01098901098901099,0.0019424713318492194,0.059649356686506144,0.6,0.3126737697336583,0.8318196702937637,0.8,0.4,0.5333333333333333,False,False
other_race_or_ethnicity,91,69,22,12,4,65,10,0.057971014492753624,0.022772388880371225,0.1397924335766165,0.45454545454545453,0.2692029418081332,0.6534020467926506,0.75,0.5454545454545454,0.631578947368421,False,False
other_religion,46,39,7,1,0,39,6,0.0,0.0,0.08966685370757138,0.8571428571428571,0.48687217072568123,0.9743203756552564,1.0,0.14285714285714285,0.25,False,False
bisexual,40,31,9,4,3,28,5,0.0967741935483871,0.0334646441631974,0.24899938443392833,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.5714285714285714,0.4444444444444444,0.5,False,False
intellectual_or_learning_disability,16,15,1,0,0,15,1,0.0,0.0,0.20388330103584854,1.0,0.20654931437723745,1.0,,0.0,,False,False
physical_disability,10,8,2,1,1,7,1,0.125,0.022417491450056726,0.4708881822128534,0.5,0.09453120573423074,0.9054687942657693,0.5,0.5,0.5,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_sexual_orientation,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_disability,2,1,1,1,0,1,0,0.0,0.0,0.7934506856227626,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
