subgroup,n,n_toxic,n_nontoxic,toxic_rate,test_n,test_n_nontoxic,test_n_toxic
female,58584,8003,50581,0.1366,8953,7736,1217
male,48870,7355,41515,0.1505,7242,6148,1094
christian,44649,4090,40559,0.0916,6740,6091,649
white,27534,7780,19754,0.2826,4096,2939,1157
muslim,23046,5264,17782,0.2284,3488,2680,808
black,16420,5181,11239,0.3155,2448,1640,808
homosexual_gay_or_lesbian,12062,3411,8651,0.2828,1743,1250,493
jewish,8486,1378,7108,0.1624,1277,1072,205
psychiatric_or_mental_illness,5400,1136,4264,0.2104,834,677,157
asian,5032,612,4420,0.1216,747,654,93
transgender,2759,583,2176,0.2113,401,318,83
latino,2229,439,1790,0.1969,305,242,63
atheist,1692,206,1486,0.1217,261,222,39
heterosexual,1432,323,1109,0.2256,207,160,47
buddhist,641,76,565,0.1186,85,74,11
hindu,631,66,565,0.1046,91,77,14
other_race_or_ethnicity,549,102,447,0.1858,70,50,20
other_religion,354,48,306,0.1356,54,48,6
bisexual,321,69,252,0.215,56,50,6
intellectual_or_learning_disability,117,7,110,0.0598,19,17,2
physical_disability,91,7,84,0.0769,8,8,0
other_sexual_orientation,11,3,8,0.2727,2,1,1
other_gender,10,3,7,0.3,2,1,1
other_disability,5,1,4,0.2,1,0,1
