id,error_type,label,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question
856877,false_positive,0,0.9984,1,Liberalism is a mental disorder.,0,0,0,0,0
6287105,false_positive,0,0.998,1,"Its all calculated of course, he well knows that this will be popular, but to call for someone's death is not a Christian act . I dont remember Jesus calling for a more speedy  justice system when somebody strikes your c",0,1,0,0,0
6309267,false_positive,0,0.9973,1,"How about a certain white Christian man who beat HIS wife and child then went on to murder 26 people?

Perhaps white men are more of a problem than burkas.",0,0,0,0,0
5323208,false_positive,0,0.9968,1,"Your president, not mine. Trump was cheered on by the Ku Klux Klan, David Duke praised him, and ran for office because Trump ran for president, and the White Nationalists endorsed Trump. Get a clue. Which one of these fo",0,1,0,0,0
5148997,false_positive,0,0.9966,1,"There is an unholy alliance of white racists, Hindu extremists and Jewish extremists that are fueling all this anti-Muslim hatred. These haters are all losers in life and have found Muslims as a scapegoat for their own p",0,0,1,0,0
5982138,false_positive,0,0.9965,1,"Muslims are violent?!?

NO WAY!!!",0,0,0,0,0
865101,false_positive,0,0.9965,1,"Many servers treat women like crap if they are with other women or children.  

They should rethink it.",0,0,0,0,0
6063831,false_positive,0,0.9947,1,"I tell you what we really need.

We need to be vigilant and look out for radical islamic terrorism, the forced marriages, the forced genital mutilation, the misogamy, and if you are gay watch out as you will be thrown of",0,0,0,0,0
304567,false_positive,0,0.9942,1,So if a guy who says he thinks he's a woman and participates on a woman's team and sets a bunch of state records  they will hold forever until some other guy comes along and beats them? When will the Green Bay Packers or,0,0,0,1,0
253812,false_positive,0,0.9939,1,Our city celebrates slugs and trans.,0,0,1,0,0
7028786,false_positive,0,0.9938,1,"Boots you say he is not the peoples president?
So the people YOU don't like aren't really people? 
So your claim a majority of votes for the loser, included votes that aren't real? 
I agree the democrats are notorious fo",0,1,0,0,0
5854782,false_positive,0,0.9935,1,If Charles' knees hold he's the man. No question about it. Lynch gets roasted cuz he sucks worse.,0,0,0,0,0
5733763,false_positive,0,0.9927,1,"Character is what we say and do when we think no one is listening or watching. If Trump's bragging about trying to bed another man's wife was just ""locker-room talk"" I've never heard anything that vile in any locker room",0,1,0,1,0
6192629,false_positive,0,0.9924,1,Justin in my world my Canada it matters (I’m female 67 yrs. young) it really matters.   Show you damn face or go home wherever that is.  PERIOD.,0,0,1,0,0
6165697,false_positive,0,0.9923,1,A real man with fake arse hair!,0,0,0,0,0
408022,false_negative,1,0.0001,1,"I live in Bend, and many people were upset when 10 Barrel sold to AB. Two years later, they are still brewing right down the street from my house, employing locals. I had a Sinister Black just last night - just as delici",0,0,1,0,0
5268060,false_negative,1,0.0001,1,Mental issues obviously.  Anger management required for most people.,0,0,0,0,0
5966776,false_negative,1,0.0001,1,"I would encourage everyone to not get drawn into TomQuinn's fight, which is certainly not a Christian struggle for discerning truth or faith.  There are other people and places who have a sincere wish for dialogue - but ",1,1,1,0,0
5836948,false_negative,1,0.0001,1,"I hope the court is easy on this guy.  He probably saved the bengal cub's life.  If a Chinese tourist bought the cub, it would be shipped back to China in pieces.",0,0,0,0,0
7184765,false_negative,1,0.0001,1,"I was born Catholic, left for 8 years in my 20's and came back begrudgingly although Mary would have it no other way.  Explored almost all the main stream protestant faiths and had to humbly embrace the Church as it was ",0,1,1,1,0
791287,false_negative,1,0.0001,1,"Mercy isn't so much the first virtue one identifies with Roman Catholicism. Historically, the RCC in effect unmercifully enslaves people-thinking to its institutional legalisms.
'Roma Aeterna' is as corrupted and corrupt",0,1,0,0,0
533495,false_negative,1,0.0001,1,"Why should anyone accept your assessment of what's happening in the Episcopal Church USA?   It's remarkably inaccurate.  The Roman Catholic church has by no means avoided ""that disaster!""",0,0,0,1,0
7055008,false_negative,1,0.0001,1,"Arguably, based on the Catholic definition of sin, the answer is that voting for a particular politician could be a sin.
 II. THE DEFINITION OF SIN
1849 Sin is an offense against reason, truth, and right conscience; it i",1,1,1,1,0
5772790,false_negative,1,0.0001,1,"Remember your history!
Slavery was brought to the Americas by white Europeans, the English, Dutch, French, Spanish and Portuguese.",0,0,0,0,0
6212112,false_negative,1,0.0001,1,"But of course, and in Matthew 16:18 Jesus clearly intended that the Prefect of the Congregation for Divine Worship should have the final say on matters of liturgy. The Gospel is crystal clear on that. 😉

Unity has nothin",0,1,1,1,0
743138,false_negative,1,0.0001,1,The era of women's liberation is over. It's been replaced by an era of anxious handwringing and pious judgements.,0,0,0,0,0
7003472,false_negative,1,0.0002,1,"And Catholics on this site are quick to opine on the invalidity of non-Roman Catholic orders, their churches, etc.  Goose and gander here.",0,0,0,0,0
5977766,false_negative,1,0.0002,1,"Getting elected and re-elected President is ""a failure as a man""?

Or were you thinking of something else, like the size of his hands? Do elaborate!",0,0,1,1,0
577389,false_negative,1,0.0002,1,"""A fellow UO professor, who declined to be identified, said the offending professor meant her costume to depict “Black Man in a White Coat: A Doctor’s Reflections on Race and Medicine,” a recent autobiography by Dr. Damo",0,0,0,1,0
6213462,false_negative,1,0.0002,1,"Until you or someone you know is in this horrific situation, you are dismissive about the plight of women, and yes men, and their children who become homeless after leaving abusive relationships. Thank you Denby.",0,0,0,0,0
