id,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question,manual_category,label_arguable,coding_note
243504,0.6968,1,The Bundys are more dangerous to America than their cousins  the Islamic extremists. In fact they are doing the work of the Islamic extremists by trying to destroy the US government.,0,0,0,0,0,hostility_not_group_directed,0,accusation aimed at the Bundys; 'Islamic extremists' appears as a comparison
324387,0.6313,1,"I feel very much a part of Boise's black lesbian community. But that doesn't make it so. Feelings don't matter. I didnt attack anybody or anything. If you've been attacked in the past, it's probably because you lie and take on your holier-than-thou attitude. Wrap your arms around reality sometime.",0,1,0,0,0,hostility_not_group_directed,0,mild jab at another commenter; 'black lesbian community' is the topic
364233,0.8689,1,"The fact that Evangelicals can even consider briefly that Trump is a moral man, much less a Christian is a direct example of how hypocritical and selfish they are, because if they were staunch in their faith and beliefs they would recoil in horror from this terrible person.",0,0,0,0,0,group_directed_derogation,1,calls Evangelicals hypocritical and selfish -- derogation of a religious group
380950,0.715,1,"have the Kochs sent money for his atty fees yet??   or Trump,  this would be applauded by Trump,  after all  if people are decent they magically become white,  being black is proof of criminal and murderous intentions.....  just ask any RW shill.",0,0,0,0,0,counter_speech,0,sarcasm that restates a racist premise in order to reject it
385848,0.867,1,This is an awesome thing. Im literally laughing my butt off at all the butthurt women and pansy liberals throwing hissy fits in the comment section. Go pound virtual sand you regressives.,0,0,1,0,0,group_directed_derogation,1,'butthurt women and pansy liberals'
399511,0.8355,1,"Rethugs are nothing but a global joke at this point.  Too many outlandish points of view, outright racists, sexists, you name it-ists.  They are foul people with bad intentions for America.  Their only goal is to disgrace our president because he is black, NOT to help the American people in ANY way, shape or form. They are TOTALLY OBSOLETE at this point.  There will NEVER be another right wing President.",0,1,1,0,0,hostility_not_group_directed,1,sustained abuse of a political group ('Rethugs... foul people')
407991,0.6786,1,"I don’t know Mr. Trump. But I’ve been chagrined at his antics. He ridiculed a war hero. He made a mockery of a reporter’s menstrual cycle. He made fun of a disabled reporter. He referred to the former first lady, Barbara Bush as “mommy,” and belittled Jeb Bush for bringing her on the campaign trail. He routinely calls people “stupid,” and “dummy.” One writer catalogued sixty-four occasions that he called someone “loser”, as of Feb., 2016. These were not off-line, backstage, overheard, not-to-be-repeated comments. They were publicly and intentionally tweeted, recorded, and presented.

Such insensitivities wouldn’t be acceptable even for a middle school student body election. But for the Oval Office? And to do so while brandishing a Bible and boasting of his Christian faith?",0,1,0,1,1,quoted_hostility,0,"catalogues Trump's own insults ('stupid', 'dummy', 'loser') disapprovingly"
489836,0.984,1,He was mentally-ill.,0,0,0,0,0,identity_topic_neutral,0,"four words, no hostility; the identity term alone drives the flag"
500886,0.6736,1,"Rhyner you should stick to garbage collecting.  
Remember all those raucous rallys that Bernie was having?  He got smoked in the primary. 
Real people and voters with jobs and families don't have time to go to campaign events.  You will see the rank and file Democrats, women, minorities and educated whites plug their noses and go to the poles for HRC.  I predict it will be close to the spread when Obama sent McCain/Palin packing.  There frankly just isn't enough angry uneducated white dudes to swing it the other way.  Thank gawd.",0,1,0,0,0,group_directed_derogation,1,'angry uneducated white dudes' plus a personal jab at a commenter
508699,0.7727,1,"So Trump says he’s going to “deport” everybody. That include my Latino family? My great-great grandkids too? I challenge him to a 12-round bare-knuckle fisticuff, two over 70-fighters, one an American churchy propaganda Jesus-lookalike with blond hair (and sometimes orange) and blue-eyes and me.  He’s fat and ugly. Me, I’m still a lean, mean, 160 lb. muscle machine. Ya’ll Trump supporters keep your guns at home.",0,0,1,1,0,hostility_not_group_directed,1,personal insults at a politician; 'my Latino family' is self-identification
514015,0.6135,1,"No. In fact, there isn't a ""man"" on the planet who talks that way. But there are billions of over-grown boys with the mentality of a horny 14-year old boy.",0,1,0,1,0,group_directed_derogation,1,'billions of over-grown boys with the mentality of a horny 14-year old'
549147,0.8686,1,"If we keep killing Muslims we can expect Canadians at home and abroad to be killed. Our troops should be brought home. They are engaged in hopeless and immoral fighting. They and their families deserve to live in peace, or, if necessary, defend Canada, not attack other countries.",1,1,1,0,0,counter_speech,0,"anti-war argument, protective of Muslims"
591677,0.5815,1,"These are the states Sanders won in the primary. Wisconsin & Michigan are among them but he didn't win in NV, CA, OHIO, Pennsylvania, Texas, Florida, Virginia, New Jersey. He didn't win in the most populous states. He only took two swing states. 
AK, CO, DA, HI,
ID, IN, KS, ME,
MI, MN, MT, NE,
NH, ND, OK, OR,
RI, UT, VT, WA
WI, WV, WY
Sanders' voters kiss Obama's butt and paint Hillary as the devil. Hillary and Obama weren't very different policy wise. Now we've got Trump. The only outsiders who will win in this racist country are the ones on the far-Right. White heartland voters are conservatives. They're paranoid about their position in the racial hierarchy and jealous of Black achievement and especially they are worried about competing with better educated immigrants and racial minorities. The white ideology is degenerate--look at their candidate, a racist and sex abuser and they're mired in mythological pasts that never existed. They're backward looking, old and can't compete.",0,1,0,0,0,group_directed_derogation,1,"'the white ideology is degenerate', 'paranoid', 'jealous of Black achievement'"
601346,0.9117,1,"For change to happen I must persist. In our nation’s history, so many of the sickest, most appalling crimes have been committed by whites. Yet no matter how sadistic the crime, no matter how young the victims, no matter how much fear is engendered in a community, no matter how much media attention and public discussion the crimes of whites engender, the race itself is never sullied. One does not look at a white man or woman and feel concern that pale skin enhances the likelihood that he or she is an assassin, a bomber, a murderer. White women are also known for killing their own children. Author: Lisa Bloom is a Legal analyst for NBC News and Avvo, attorney and bestselling author.",0,1,1,0,0,counter_speech,0,argues that whites are not collectively blamed for crimes; quotes a legal analyst
725512,0.9853,1,Spanish civil war women activists - now that is really something our tax money should be spent on. Obama racked up 10 Trillion dollars in debt nothing but deep cuts in stupid liberal programs will begin to stop the overspending.,1,0,1,0,0,hostility_not_group_directed,0,'stupid liberal programs' -- aimed at an ideology
753174,0.6373,1,"""The response and tone of his supporters on this site are proof of how deep the hatred runs.""

The same could be said of his opponents.  Physically beating people for voting supporting Trump, shouting them down, physically blocking the entrance, throwing eggs in a females hair, disgusting behavior.",0,0,0,1,0,counter_speech,0,condemns political violence; the quoted line is not the hostile part
