subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,547,179,7441,627,0.023490813648293963,0.020322685912137182,0.027139142980179016,0.5340715502555367,0.5054720768509228,0.5624487790511098,0.7534435261707989,0.46592844974446335,0.5757894736842106,True,True
male,7346,6224,1122,547,184,6040,575,0.02956298200514139,0.025636503722336883,0.034069810460411465,0.5124777183600713,0.4832377109434531,0.5416325758812386,0.7482900136798906,0.4875222816399287,0.5903939557474365,True,True
christian,6689,6023,666,226,91,5932,440,0.015108749792462229,0.01232262347989609,0.018513007437307227,0.6606606606606606,0.6238709133281073,0.6956076695245621,0.7129337539432177,0.33933933933933935,0.4598168870803663,True,True
white,4218,3024,1194,557,175,2849,637,0.05787037037037037,0.0500954437811084,0.06676716730108176,0.533500837520938,0.5051417033215355,0.5616450983965833,0.7609289617486339,0.466499162479062,0.5784008307372793,True,True
muslim,3471,2651,820,349,112,2539,471,0.042248208223311955,0.03523021829940357,0.050590898462086,0.574390243902439,0.540279013966399,0.6078077309937776,0.7570498915401301,0.42560975609756097,0.5448868071818891,True,True
black,2472,1657,815,377,106,1551,438,0.06397103198551599,0.05316793643325077,0.07679116211547865,0.5374233128834356,0.503096699277855,0.5713987959647197,0.7805383022774327,0.4625766871165644,0.5808936825885979,True,True
homosexual_gay_or_lesbian,1818,1319,499,196,81,1238,303,0.06141015921152388,0.049683703629091094,0.0756838963314823,0.6072144288577155,0.5637019097208489,0.6490888180981051,0.7075812274368231,0.3927855711422846,0.5051546391752577,True,True
jewish,1334,1124,210,69,29,1095,141,0.025800711743772242,0.018023335596787808,0.03680835935203724,0.6714285714285714,0.6053206674935512,0.731377372246123,0.7040816326530612,0.32857142857142857,0.4480519480519481,True,True
psychiatric_or_mental_illness,838,690,148,85,28,662,63,0.04057971014492753,0.02822286901645751,0.05802371953765574,0.42567567567567566,0.3488885757698126,0.5062234590402633,0.7522123893805309,0.5743243243243243,0.6513409961685824,True,True
asian,780,686,94,41,16,670,53,0.023323615160349854,0.014406660253167706,0.03754942090490916,0.5638297872340425,0.4630290566620046,0.6596183378539683,0.7192982456140351,0.43617021276595747,0.543046357615894,True,False
transgender,412,327,85,35,14,313,50,0.04281345565749235,0.02567173314045874,0.07057212618175279,0.5882352941176471,0.4820101461448797,0.6868299449467584,0.7142857142857143,0.4117647058823529,0.5223880597014926,True,False
latino,355,276,79,33,11,265,46,0.03985507246376811,0.022397773040736944,0.06994543775295681,0.5822784810126582,0.47219253771133196,0.684733718598782,0.75,0.4177215189873418,0.5365853658536586,True,False
atheist,217,195,22,8,3,192,14,0.015384615384615385,0.005245712805590021,0.04424828547355501,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.7272727272727273,0.36363636363636365,0.4848484848484849,True,False
heterosexual,186,151,35,12,6,145,23,0.039735099337748346,0.01833606720540129,0.08397153788529008,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.6666666666666666,0.34285714285714286,0.4528301886792453,True,False
buddhist,94,80,14,5,2,78,9,0.025,0.006882893202970648,0.0866443298557801,0.6428571428571429,0.3876442310390741,0.8365526824644588,0.7142857142857143,0.35714285714285715,0.4761904761904762,False,False
other_race_or_ethnicity,89,71,18,6,2,69,12,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6666666666666666,0.437494672959451,0.8372122524916629,0.75,0.3333333333333333,0.46153846153846156,False,False
hindu,81,71,10,3,0,71,7,0.0,0.0,0.05132795219689032,0.7,0.39677814746114537,0.8922087325936989,1.0,0.3,0.4615384615384615,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,1,1,34,9,0.02857142857142857,0.005061491855444203,0.14533087233613673,0.9,0.5958499732047616,0.982123786904927,0.5,0.1,0.16666666666666669,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
