subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9140979422929885,0.9205722456725492,0.9396215111143342,True
male,7346,6224,1122,0.9138939199189842,0.9118302277539209,0.9454957437503418,True
christian,6689,6023,666,0.9132843618980095,0.9459412369559241,0.9103731892017488,True
white,4218,3024,1194,0.8518472820451463,0.8207271272105903,0.9596401670522339,True
muslim,3471,2651,820,0.86037643411138,0.8591276348192638,0.9467641905120966,True
black,2472,1657,815,0.8529976933700123,0.8211458469706308,0.9566248750742987,True
homosexual_gay_or_lesbian,1818,1319,499,0.8488804751276624,0.834907861335196,0.9506108781360737,True
jewish,1334,1124,210,0.861548890018641,0.9008886109948995,0.9188679591103595,True
psychiatric_or_mental_illness,838,690,148,0.9147620446533491,0.8974644955664317,0.9514747125587492,True
asian,780,686,94,0.9100086843247936,0.9333584843524501,0.9198098671815871,False
transgender,412,327,85,0.8419679798524914,0.8689141336035051,0.9315801961247591,False
latino,355,276,79,0.9087094111172261,0.8950974032214662,0.9502745408577628,False
atheist,217,195,22,0.8668997668997668,0.9334025239382617,0.8890230479788624,False
heterosexual,186,151,35,0.8312204351939451,0.8559432370693267,0.9302173024686906,False
buddhist,94,80,14,0.8982142857142857,0.9016872123602893,0.9460015077777804,False
other_race_or_ethnicity,89,71,18,0.9143192488262911,0.9101406227127268,0.9393668664463488,False
hindu,81,71,10,0.856338028169014,0.9071040780099178,0.9098437237439087,False
other_religion,45,42,3,0.9523809523809524,0.9294921093437375,0.9524457358482115,False
bisexual,45,35,10,0.8285714285714287,0.8688151249460225,0.9188778423403755,False
physical_disability,15,14,1,1.0,0.921895510632712,0.9979518861114376,False
intellectual_or_learning_disability,14,13,1,1.0,0.9560706424056384,0.9832628256782164,False
other_gender,2,1,1,0.0,0.6566027828826464,0.8648791540785499,False
other_sexual_orientation,1,0,1,,,0.9944864973733237,False
