model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4123,0.6026463508605957,0.03904923599320883,0.027892311423720593,True
baseline,female,equalize,5022,0.5808870792388916,0.0380326563122262,0.027877339705296694,True
baseline,transgender,equalize,229,0.6146831512451172,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,111,0.590897262096405,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,equalize,870,0.7245780229568481,0.07816091954022988,0.027586206896551724,True
baseline,bisexual,equalize,27,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4145,0.4535341262817383,0.021712907117008445,0.02798552472858866,True
baseline,jewish,equalize,697,0.6822562217712402,0.047345767575322814,0.027259684361549498,True
baseline,muslim,equalize,1773,0.750552773475647,0.07445008460236886,0.02763677382966723,True
baseline,hindu,equalize,83,,,,False
baseline,buddhist,equalize,82,,,,False
baseline,atheist,equalize,147,0.5580259561538696,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1160,0.7579735517501831,0.09310344827586207,0.027586206896551724,True
baseline,white,equalize,1968,0.7701191902160645,0.10264227642276423,0.027947154471544715,True
baseline,asian,equalize,436,0.6607198715209961,0.03211009174311927,0.027522935779816515,True
baseline,latino,equalize,167,0.8541562557220459,0.059880239520958084,0.023952095808383235,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,396,0.5882388353347778,0.050505050505050504,0.027777777777777776,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4123,0.6026463508605957,0.03904923599320883,0.027892311423720593,True
baseline,female,cap,5022,0.5808870792388916,0.0380326563122262,0.027877339705296694,True
baseline,transgender,cap,229,0.6146831512451172,0.06550218340611354,0.026200873362445413,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,111,0.590897262096405,0.04504504504504504,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,cap,870,0.7245780229568481,0.07816091954022988,0.027586206896551724,True
baseline,bisexual,cap,27,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4145,0.5,0.021712907117008445,0.021712907117008445,True
baseline,jewish,cap,697,0.6822562217712402,0.047345767575322814,0.027259684361549498,True
baseline,muslim,cap,1773,0.750552773475647,0.07445008460236886,0.02763677382966723,True
baseline,hindu,cap,83,,,,False
baseline,buddhist,cap,82,,,,False
baseline,atheist,cap,147,0.5580259561538696,0.034013605442176874,0.027210884353741496,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1160,0.7579735517501831,0.09310344827586207,0.027586206896551724,True
baseline,white,cap,1968,0.7701191902160645,0.10264227642276423,0.027947154471544715,True
baseline,asian,cap,436,0.6607198715209961,0.03211009174311927,0.027522935779816515,True
baseline,latino,cap,167,0.8541562557220459,0.059880239520958084,0.023952095808383235,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,396,0.5882388353347778,0.050505050505050504,0.027777777777777776,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4123,0.6079540848731995,0.03686635944700461,0.029347562454523406,True
mitigated,female,equalize,5022,0.5878839492797852,0.035842293906810034,0.02927120669056153,True
mitigated,transgender,equalize,229,0.63680499792099,0.0611353711790393,0.026200873362445413,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,111,0.7594038844108582,0.04504504504504504,0.02702702702702703,True
mitigated,homosexual_gay_or_lesbian,equalize,870,0.8873999118804932,0.08620689655172414,0.028735632183908046,True
mitigated,bisexual,equalize,27,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4145,0.3479801416397095,0.020989143546441495,0.02919179734620024,True
mitigated,jewish,equalize,697,0.6737285852432251,0.035868005738880916,0.028694404591104734,True
mitigated,muslim,equalize,1773,0.8361535668373108,0.06204173716864072,0.029328821206993795,True
mitigated,hindu,equalize,83,,,,False
mitigated,buddhist,equalize,82,,,,False
mitigated,atheist,equalize,147,0.5827878713607788,0.027210884353741496,0.027210884353741496,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1160,0.9087799787521362,0.09224137931034483,0.029310344827586206,True
mitigated,white,equalize,1968,0.8927496671676636,0.09044715447154472,0.028963414634146343,True
mitigated,asian,equalize,436,0.6550050973892212,0.04128440366972477,0.027522935779816515,True
mitigated,latino,equalize,167,0.9087799787521362,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,equalize,39,,,,False
mitigated,physical_disability,equalize,8,,,,False
mitigated,intellectual_or_learning_disability,equalize,10,,,,False
mitigated,psychiatric_or_mental_illness,equalize,396,0.5969619154930115,0.03535353535353535,0.027777777777777776,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4123,0.6079540848731995,0.03686635944700461,0.029347562454523406,True
mitigated,female,cap,5022,0.5878839492797852,0.035842293906810034,0.02927120669056153,True
mitigated,transgender,cap,229,0.63680499792099,0.0611353711790393,0.026200873362445413,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,111,0.7594038844108582,0.04504504504504504,0.02702702702702703,True
mitigated,homosexual_gay_or_lesbian,cap,870,0.8873999118804932,0.08620689655172414,0.028735632183908046,True
mitigated,bisexual,cap,27,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4145,0.5,0.020989143546441495,0.020989143546441495,True
mitigated,jewish,cap,697,0.6737285852432251,0.035868005738880916,0.028694404591104734,True
mitigated,muslim,cap,1773,0.8361535668373108,0.06204173716864072,0.029328821206993795,True
mitigated,hindu,cap,83,,,,False
mitigated,buddhist,cap,82,,,,False
mitigated,atheist,cap,147,0.5827878713607788,0.027210884353741496,0.027210884353741496,True
mitigated,other_religion,cap,37,,,,False
mitigated,black,cap,1160,0.9087799787521362,0.09224137931034483,0.029310344827586206,True
mitigated,white,cap,1968,0.8927496671676636,0.09044715447154472,0.028963414634146343,True
mitigated,asian,cap,436,0.6550050973892212,0.04128440366972477,0.027522935779816515,True
mitigated,latino,cap,167,0.9087799787521362,0.0658682634730539,0.023952095808383235,True
mitigated,other_race_or_ethnicity,cap,39,,,,False
mitigated,physical_disability,cap,8,,,,False
mitigated,intellectual_or_learning_disability,cap,10,,,,False
mitigated,psychiatric_or_mental_illness,cap,396,0.5969619154930115,0.03535353535353535,0.027777777777777776,True
mitigated,other_disability,cap,0,,,,False
