subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8794,7620,1174,0.9073652340518765,0.9279924925016646,0.9128884568025679,True
male,7346,6224,1122,0.9041202131705686,0.9192213441995969,0.9191227960106072,True
christian,6689,6023,666,0.9092173694531324,0.9479019957987884,0.8805531137022231,True
white,4218,3024,1194,0.8446725470385437,0.8266683136722046,0.9451849676327485,True
muslim,3471,2651,820,0.847531994369359,0.8561735702473388,0.930441031562081,True
black,2472,1657,815,0.8494733256569083,0.8310980139837513,0.9423561357954553,True
homosexual_gay_or_lesbian,1818,1319,499,0.829072853819846,0.8355686338816434,0.9314666716289328,True
jewish,1334,1124,210,0.8518238434163702,0.9016733399650035,0.8909789613366601,True
psychiatric_or_mental_illness,838,690,148,0.9056306306306307,0.8947635203948019,0.9373278140513372,True
asian,780,686,94,0.9109469015569753,0.9281527076896254,0.9135411379429312,False
transgender,412,327,85,0.8496492174851591,0.8641023080688646,0.924796042560542,False
latino,355,276,79,0.8994679875252246,0.8948597816476378,0.9310403524368236,False
atheist,217,195,22,0.892074592074592,0.9361677855293756,0.8840191903203387,False
heterosexual,186,151,35,0.8173131504257333,0.8508602111101797,0.900147832984784,False
buddhist,94,80,14,0.8883928571428571,0.8997337278106508,0.9223506447670747,False
other_race_or_ethnicity,89,71,18,0.9413145539906104,0.9143190944112246,0.9453065777927145,False
hindu,81,71,10,0.8267605633802817,0.9078491186308283,0.8690488993446479,False
other_religion,45,42,3,0.8492063492063491,0.9104594962985194,0.9110666957792373,False
bisexual,45,35,10,0.8457142857142856,0.8745958733079248,0.9138984986397071,False
physical_disability,15,14,1,1.0,0.908703071672355,0.9937969009686571,False
intellectual_or_learning_disability,14,13,1,1.0,0.9744986570268795,0.8823865162503357,False
other_gender,2,1,1,0.0,0.7509845103701759,0.8416666666666667,False
other_sexual_orientation,1,0,1,,,0.9859686812910156,False
