subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.8980723727693325,0.9143260563510077,0.9280880001666154,True
male,7296,6187,1109,0.9047575394056855,0.9057466636972573,0.9373464318692762,True
christian,6738,6130,608,0.9139146615008156,0.9319531321440114,0.918525215298025,True
white,4146,2986,1160,0.8355512506640184,0.8075970880053658,0.9535436754191152,True
muslim,3480,2676,804,0.8551950170671307,0.8511890152624288,0.9427160393446177,True
black,2427,1669,758,0.8176103586904455,0.7961006318307845,0.9499752444888633,True
homosexual_gay_or_lesbian,1759,1274,485,0.8335456149152761,0.8172836515080898,0.9459018996322169,True
jewish,1290,1091,199,0.8910224817948587,0.8876014487561796,0.9375174298574424,True
psychiatric_or_mental_illness,785,643,142,0.902947232383414,0.8854389334134268,0.9454431465101308,True
asian,750,647,103,0.8876892603652405,0.9175032470657137,0.9115296327865202,True
transgender,413,330,83,0.8081964220518437,0.8512177909669948,0.9212170279063969,False
latino,325,257,68,0.8867875944151979,0.9013463313282905,0.9265139691504678,False
atheist,258,216,42,0.8855820105820106,0.9166959951901222,0.9144309016455904,False
heterosexual,219,171,48,0.8306530214424951,0.858162996537264,0.9215872748695505,False
buddhist,131,117,14,0.9383394383394383,0.8950111543799907,0.9569961897714824,False
hindu,111,99,12,0.9124579124579124,0.8932289903106256,0.9494938244623022,False
other_race_or_ethnicity,74,60,14,0.9107142857142857,0.8529344729344729,0.96750666631465,False
other_religion,45,40,5,0.9049999999999999,0.9089210664565274,0.9449152684704658,False
bisexual,40,35,5,0.8457142857142858,0.8558163533340839,0.9341366338628958,False
physical_disability,18,18,0,,0.9372985664493737,,False
intellectual_or_learning_disability,10,10,0,,0.941147132169576,,False
other_gender,2,1,1,1.0,0.9825413494355474,0.9200738502853306,False
other_sexual_orientation,1,1,0,,0.9375246095288096,,False
other_disability,1,1,0,,0.9944874655466597,,False
