model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4194,0.5818971395492554,0.0441106342393896,0.030996661897949453,True
baseline,female,equalize,5038,0.5393168926239014,0.03632393807066296,0.030964668519253672,True
baseline,transgender,equalize,241,0.7192850708961487,0.04979253112033195,0.029045643153526972,True
baseline,other_gender,equalize,1,,,,False
baseline,heterosexual,equalize,128,0.8361535668373108,0.0859375,0.0234375,True
baseline,homosexual_gay_or_lesbian,equalize,878,0.7192850708961487,0.09339407744874716,0.030751708428246014,True
baseline,bisexual,equalize,25,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4134,0.4685778319835663,0.028059990324141266,0.030962747943880018,True
baseline,jewish,equalize,725,0.6722241044044495,0.05379310344827586,0.030344827586206897,True
baseline,muslim,equalize,1684,0.6703925132751465,0.07185273159144893,0.030878859857482184,True
baseline,hindu,equalize,54,,,,False
baseline,buddhist,equalize,51,,,,False
baseline,atheist,equalize,151,0.5527811646461487,0.039735099337748346,0.026490066225165563,True
baseline,other_religion,equalize,25,,,,False
baseline,black,equalize,1160,0.7377254366874695,0.09655172413793103,0.03017241379310345,True
baseline,white,equalize,2001,0.7252596020698547,0.095952023988006,0.030984507746126936,True
baseline,asian,equalize,441,0.4143655300140381,0.022675736961451247,0.02947845804988662,True
baseline,latino,equalize,161,0.5427724123001099,0.031055900621118012,0.024844720496894408,True
baseline,other_race_or_ethnicity,equalize,40,,,,False
baseline,physical_disability,equalize,9,,,,False
baseline,intellectual_or_learning_disability,equalize,17,,,,False
baseline,psychiatric_or_mental_illness,equalize,448,0.5590493679046631,0.033482142857142856,0.029017857142857144,True
baseline,other_disability,equalize,1,,,,False
baseline,male,cap,4194,0.5818971395492554,0.0441106342393896,0.030996661897949453,True
baseline,female,cap,5038,0.5393168926239014,0.03632393807066296,0.030964668519253672,True
baseline,transgender,cap,241,0.7192850708961487,0.04979253112033195,0.029045643153526972,True
baseline,other_gender,cap,1,,,,False
baseline,heterosexual,cap,128,0.8361535668373108,0.0859375,0.0234375,True
baseline,homosexual_gay_or_lesbian,cap,878,0.7192850708961487,0.09339407744874716,0.030751708428246014,True
baseline,bisexual,cap,25,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4134,0.5,0.028059990324141266,0.028059990324141266,True
baseline,jewish,cap,725,0.6722241044044495,0.05379310344827586,0.030344827586206897,True
baseline,muslim,cap,1684,0.6703925132751465,0.07185273159144893,0.030878859857482184,True
baseline,hindu,cap,54,,,,False
baseline,buddhist,cap,51,,,,False
baseline,atheist,cap,151,0.5527811646461487,0.039735099337748346,0.026490066225165563,True
baseline,other_religion,cap,25,,,,False
baseline,black,cap,1160,0.7377254366874695,0.09655172413793103,0.03017241379310345,True
baseline,white,cap,2001,0.7252596020698547,0.095952023988006,0.030984507746126936,True
baseline,asian,cap,441,0.5,0.022675736961451247,0.022675736961451247,True
baseline,latino,cap,161,0.5427724123001099,0.031055900621118012,0.024844720496894408,True
baseline,other_race_or_ethnicity,cap,40,,,,False
baseline,physical_disability,cap,9,,,,False
baseline,intellectual_or_learning_disability,cap,17,,,,False
baseline,psychiatric_or_mental_illness,cap,448,0.5590493679046631,0.033482142857142856,0.029017857142857144,True
baseline,other_disability,cap,1,,,,False
mitigated,male,equalize,4194,0.5184242725372314,0.03195040534096328,0.030758226037195996,True
mitigated,female,equalize,5038,0.4362617135047912,0.02798729654624851,0.03076617705438666,True
mitigated,transgender,equalize,241,0.8042522072792053,0.03734439834024896,0.029045643153526972,True
mitigated,other_gender,equalize,1,,,,False
mitigated,heterosexual,equalize,128,0.936051607131958,0.0703125,0.0234375,True
mitigated,homosexual_gay_or_lesbian,equalize,878,0.8143482804298401,0.0774487471526196,0.030751708428246014,True
mitigated,bisexual,equalize,25,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4134,0.2546016275882721,0.018626028059990325,0.030720851475568457,True
mitigated,jewish,equalize,725,0.8137569427490234,0.041379310344827586,0.030344827586206897,True
mitigated,muslim,equalize,1684,0.6522414088249207,0.043942992874109264,0.030285035629453682,True
mitigated,hindu,equalize,54,,,,False
mitigated,buddhist,equalize,51,,,,False
mitigated,atheist,equalize,151,0.3853746950626373,0.006622516556291391,0.026490066225165563,True
mitigated,other_religion,equalize,25,,,,False
mitigated,black,equalize,1160,0.8358858227729797,0.12241379310344827,0.03017241379310345,True
mitigated,white,equalize,2001,0.8474634885787964,0.10394802598700649,0.030484757621189407,True
mitigated,asian,equalize,441,0.3951925337314605,0.022675736961451247,0.02947845804988662,True
mitigated,latino,equalize,161,0.7455836534500122,0.055900621118012424,0.024844720496894408,True
mitigated,other_race_or_ethnicity,equalize,40,,,,False
mitigated,physical_disability,equalize,9,,,,False
mitigated,intellectual_or_learning_disability,equalize,17,,,,False
mitigated,psychiatric_or_mental_illness,equalize,448,0.6959583163261414,0.05580357142857143,0.029017857142857144,True
mitigated,other_disability,equalize,1,,,,False
mitigated,male,cap,4194,0.5184242725372314,0.03195040534096328,0.030758226037195996,True
mitigated,female,cap,5038,0.5,0.02798729654624851,0.02798729654624851,True
mitigated,transgender,cap,241,0.8042522072792053,0.03734439834024896,0.029045643153526972,True
mitigated,other_gender,cap,1,,,,False
mitigated,heterosexual,cap,128,0.936051607131958,0.0703125,0.0234375,True
mitigated,homosexual_gay_or_lesbian,cap,878,0.8143482804298401,0.0774487471526196,0.030751708428246014,True
mitigated,bisexual,cap,25,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4134,0.5,0.018626028059990325,0.018626028059990325,True
mitigated,jewish,cap,725,0.8137569427490234,0.041379310344827586,0.030344827586206897,True
mitigated,muslim,cap,1684,0.6522414088249207,0.043942992874109264,0.030285035629453682,True
mitigated,hindu,cap,54,,,,False
mitigated,buddhist,cap,51,,,,False
mitigated,atheist,cap,151,0.5,0.006622516556291391,0.006622516556291391,True
mitigated,other_religion,cap,25,,,,False
mitigated,black,cap,1160,0.8358858227729797,0.12241379310344827,0.03017241379310345,True
mitigated,white,cap,2001,0.8474634885787964,0.10394802598700649,0.030484757621189407,True
mitigated,asian,cap,441,0.5,0.022675736961451247,0.022675736961451247,True
mitigated,latino,cap,161,0.7455836534500122,0.055900621118012424,0.024844720496894408,True
mitigated,other_race_or_ethnicity,cap,40,,,,False
mitigated,physical_disability,cap,9,,,,False
mitigated,intellectual_or_learning_disability,cap,17,,,,False
mitigated,psychiatric_or_mental_illness,cap,448,0.6959583163261414,0.05580357142857143,0.029017857142857144,True
mitigated,other_disability,cap,1,,,,False
