subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,695,371,7184,459,0.04910655195234944,0.04445888673312541,0.054212511904339594,0.39774696707105717,0.36989278923799296,0.42627965025957426,0.6519699812382739,0.6022530329289428,0.6261261261261261,True,True
male,7282,6173,1109,678,374,5799,431,0.060586424752956426,0.05490392246603194,0.06681548118598256,0.3886384129846709,0.36038154117755894,0.41766411119977787,0.6444866920152091,0.6113615870153292,0.6274872744099954,True,True
christian,6671,6068,603,314,218,5850,289,0.03592617007251154,0.031529469956603384,0.040910079363599486,0.4792703150912106,0.43965408942509726,0.5191489889792957,0.5902255639097744,0.5207296849087893,0.5533039647577093,True,True
white,4216,3037,1179,758,381,2656,421,0.12545274942377346,0.11414352013777175,0.13770830087683136,0.3570822731128075,0.3302371936300264,0.384855647014913,0.6654960491659351,0.6429177268871925,0.6540120793787748,True,True
muslim,3556,2724,832,477,237,2487,355,0.08700440528634361,0.07699348699503492,0.09817851842909098,0.4266826923076923,0.3934877570488492,0.46055154823742817,0.6680672268907563,0.5733173076923077,0.6170763260025873,True,True
black,2470,1692,778,515,252,1440,263,0.14893617021276595,0.1327679506879956,0.16669486535487457,0.3380462724935733,0.30567428455636264,0.37200973033316603,0.6714471968709257,0.6619537275064268,0.6666666666666666,True,True
homosexual_gay_or_lesbian,1851,1333,518,306,161,1172,212,0.1207801950487622,0.1043674760212499,0.13937231576239054,0.4092664092664093,0.36774213714199894,0.4521265252436421,0.6552462526766595,0.5907335907335908,0.6213197969543147,True,True
jewish,1214,1029,185,99,69,960,86,0.06705539358600583,0.05332716197387881,0.0840041366580039,0.4648648648648649,0.39443917125370453,0.536720013380939,0.5892857142857143,0.5351351351351351,0.5609065155807365,True,True
psychiatric_or_mental_illness,792,628,164,116,41,587,48,0.06528662420382166,0.04848737464771196,0.08737179955227428,0.2926829268292683,0.22843033814345454,0.36642542349143,0.7388535031847133,0.7073170731707317,0.7227414330218067,True,True
asian,772,674,98,62,26,648,36,0.03857566765578635,0.026459027766270446,0.05592226965074927,0.3673469387755102,0.2785887752216772,0.46611244664734003,0.7045454545454546,0.6326530612244898,0.6666666666666666,True,False
transgender,390,317,73,41,22,295,32,0.0694006309148265,0.04627458411330231,0.10283787472086245,0.4383561643835616,0.33045349025997683,0.5524222367482641,0.6507936507936508,0.5616438356164384,0.6029411764705883,True,False
latino,360,296,64,35,26,270,29,0.08783783783783784,0.060647066228669645,0.12558955041642028,0.453125,0.33729447780611665,0.5742640277994587,0.5737704918032787,0.546875,0.5599999999999999,True,False
atheist,255,220,35,22,6,214,13,0.02727272727272727,0.012557987751287383,0.058212900287749905,0.37142857142857144,0.23165819503365723,0.5366306315640468,0.7857142857142857,0.6285714285714286,0.6984126984126985,True,False
heterosexual,207,155,52,23,13,142,29,0.08387096774193549,0.049668328719835585,0.13820112955793198,0.5576923076923077,0.4233976178720289,0.6840494318059871,0.6388888888888888,0.4423076923076923,0.5227272727272726,True,False
buddhist,100,91,9,5,1,90,4,0.01098901098901099,0.0019424713318492194,0.059649356686506144,0.4444444444444444,0.18877852109766463,0.7333487065045068,0.8333333333333334,0.5555555555555556,0.6666666666666667,False,False
hindu,81,76,5,3,2,74,2,0.02631578947368421,0.007246659075128337,0.0909662109865807,0.4,0.11762077423264794,0.769275718723987,0.6,0.6,0.6,False,False
other_race_or_ethnicity,77,59,18,9,3,56,9,0.05084745762711865,0.017442717472990067,0.139165022152769,0.5,0.29031021505169974,0.7096897849483003,0.75,0.5,0.6,False,False
other_religion,65,57,8,3,3,54,5,0.05263157894736842,0.01806029563366167,0.14369550397163527,0.625,0.3057423946026274,0.8631557141764026,0.5,0.375,0.42857142857142855,False,False
bisexual,52,42,10,7,5,37,3,0.11904761904761904,0.051938033277582354,0.25000390262009675,0.3,0.10779126740630104,0.6032218525388545,0.5833333333333334,0.7,0.6363636363636365,False,False
intellectual_or_learning_disability,24,21,3,2,0,21,1,0.0,0.0,0.15463901892484688,0.3333333333333333,0.06149194472039632,0.7923403991979523,1.0,0.6666666666666666,0.8,False,False
physical_disability,14,14,0,0,1,13,0,0.07142857142857142,0.012722215247890911,0.31468704424151117,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,2,1,1,0,0.5,0.09453120573423074,0.9054687942657693,0.0,0.0,0.6576197724933468,0.6666666666666666,1.0,0.8,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
