subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9022334214584711,0.9229416099573031,0.9190211986055573,True
male,7296,6187,1109,0.9081395106496752,0.9167226534403811,0.9275185021447482,True
christian,6738,6130,608,0.9180163078475143,0.9424814722518308,0.9056672447908511,True
white,4146,2986,1160,0.8372101415802481,0.8097769463876788,0.9516307337982215,True
muslim,3480,2676,804,0.8553586235489221,0.8629649491636207,0.9348793223059643,True
black,2427,1669,758,0.8247093910214354,0.7955961348034919,0.9505294699700866,True
homosexual_gay_or_lesbian,1759,1274,485,0.833404003948923,0.8412548593222628,0.9332171218146961,True
jewish,1290,1091,199,0.8972843134093935,0.90703205101282,0.9252199620087099,True
psychiatric_or_mental_illness,785,643,142,0.8913324425558012,0.9001085963777773,0.9246850593533716,True
asian,750,647,103,0.8941642532374965,0.9314764257682528,0.8976034899662317,True
transgender,413,330,83,0.8285323110624316,0.8612705478350383,0.9217503929067945,False
latino,325,257,68,0.902037079423209,0.9126587711989085,0.9222081034557981,False
atheist,258,216,42,0.902281746031746,0.9170723779078009,0.92164915995877,False
heterosexual,219,171,48,0.8108552631578947,0.8716586296896204,0.8993966714357852,False
buddhist,131,117,14,0.9511599511599511,0.9094219390077379,0.9549835674886126,False
hindu,111,99,12,0.9141414141414141,0.8847658921275328,0.9512016240207122,False
other_race_or_ethnicity,74,60,14,0.9095238095238095,0.8665888669734823,0.9616647905781154,False
other_religion,45,40,5,0.9450000000000001,0.9297281323877069,0.9335432727028434,False
bisexual,40,35,5,0.8400000000000001,0.8617640436789372,0.9203607295200349,False
physical_disability,18,18,0,,0.9399782706975253,,False
intellectual_or_learning_disability,10,10,0,,0.9638469615435097,,False
other_gender,2,1,1,1.0,0.9994749278025729,0.9672541121181606,False
other_sexual_orientation,1,1,0,,0.9633153957212233,,False
other_disability,1,1,0,,0.9961937262107888,,False
