id,error_type,label,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question
856877,false_positive,0,0.9979,1,Liberalism is a mental disorder.,0,0,0,0,0
865101,false_positive,0,0.9963,1,"Many servers treat women like crap if they are with other women or children.  

They should rethink it.",0,0,0,0,0
5148997,false_positive,0,0.996,1,"There is an unholy alliance of white racists, Hindu extremists and Jewish extremists that are fueling all this anti-Muslim hatred. These haters are all losers in life and have found Muslims as a scapegoat for their own p",0,0,1,0,0
1016412,false_positive,0,0.9936,1,What a bunch of anti-Muslim twits.,0,0,0,0,0
513674,false_positive,0,0.993,1,"It's also false to say all members of the alt-right are white supremacist, just as it is false to say all Muslims are terrorists.",0,0,0,0,0
5444852,false_positive,0,0.9928,1,"I pay my taxes, I pay my rates. And it all goes - even 70% of the latter down here in the Cape - to supporting the poor, who are being kept poor by the trough-snouting ANC morons that you seem to support. So take your ob",0,1,1,0,0
6244162,false_positive,0,0.992,1,"Darn Snopes-I assume that is who you mean :)

Because All Lives Matter, and that includes whites as well as blacks.",0,0,0,0,0
6165697,false_positive,0,0.9919,1,A real man with fake arse hair!,0,0,0,0,0
6309267,false_positive,0,0.9914,1,"How about a certain white Christian man who beat HIS wife and child then went on to murder 26 people?

Perhaps white men are more of a problem than burkas.",0,0,0,0,0
522337,false_positive,0,0.9914,1,"men arent pigs! if more men insisted that women be treated with respet, then excuses like ""men are pigs"" and ""boys will be boys"" wouldnt degrade all men and make us all look bad.

that being said, there are dangerous men",0,0,0,1,0
7028786,false_positive,0,0.9912,1,"Boots you say he is not the peoples president?
So the people YOU don't like aren't really people? 
So your claim a majority of votes for the loser, included votes that aren't real? 
I agree the democrats are notorious fo",0,1,0,0,0
5872085,false_positive,0,0.991,1,I hope she immediately reported this threat to the authorities. What a knuckle-dragging cretin of a man.,0,0,0,1,0
6287105,false_positive,0,0.9901,1,"Its all calculated of course, he well knows that this will be popular, but to call for someone's death is not a Christian act . I dont remember Jesus calling for a more speedy  justice system when somebody strikes your c",0,1,0,0,0
5323208,false_positive,0,0.9894,1,"Your president, not mine. Trump was cheered on by the Ku Klux Klan, David Duke praised him, and ran for office because Trump ran for president, and the White Nationalists endorsed Trump. Get a clue. Which one of these fo",0,1,0,0,0
6147266,false_positive,0,0.9885,1,This man is mentally ill.. He needs medical help not prison..,0,1,0,0,0
5264934,false_negative,1,0.0005,1,You can add that women are there only to please men and bear children.,0,0,0,0,0
647149,false_negative,1,0.0006,1,"Kag, the ""cesspools of gossip and backstabbing"" may be a bit hard for catholic communities to acknowledge but you do have a point. However, such behaviour was also common in early Christian communities. We are human bein",0,1,1,1,0
743138,false_negative,1,0.0008,1,The era of women's liberation is over. It's been replaced by an era of anxious handwringing and pious judgements.,0,0,0,0,0
5966776,false_negative,1,0.0008,1,"I would encourage everyone to not get drawn into TomQuinn's fight, which is certainly not a Christian struggle for discerning truth or faith.  There are other people and places who have a sincere wish for dialogue - but ",1,1,1,0,0
5671584,false_negative,1,0.0012,1,"At last, a woman who has a head on her shoulders.",0,0,0,0,0
568115,false_negative,1,0.0013,1,"The Holy Father is under no obligation whatsoever to release any documents to anyone.  He answers to God alone.  He cannot change Church doctrine, he lacks that power.  As a result, he cannot do otherwise than to affirm ",0,1,1,0,0
5836948,false_negative,1,0.0014,1,"I hope the court is easy on this guy.  He probably saved the bengal cub's life.  If a Chinese tourist bought the cub, it would be shipped back to China in pieces.",0,0,0,0,0
6120315,false_negative,1,0.0015,1,"Let's see.  We have ""...truly protecting women's dignity, while promoting their integral development and advancement within the family and society.""  He notes:  ""significant progress has been made toward parity between b",0,1,0,1,0
7183178,false_negative,1,0.0019,1,"Does this mean she will be to busy to continue as Deputy Mayor and sit on the city council? You go girl we are all pulling for you! Adios! Eres tan patético, que resultas entrañable.",0,0,1,0,0
791287,false_negative,1,0.0019,1,"Mercy isn't so much the first virtue one identifies with Roman Catholicism. Historically, the RCC in effect unmercifully enslaves people-thinking to its institutional legalisms.
'Roma Aeterna' is as corrupted and corrupt",0,1,0,0,0
6039523,false_negative,1,0.0019,1,"I spent some time in an Army school in Anniston, Alabama back in the 1980's.  

Off base, the Alabama educational stereotypes were clearly in evidence.  

""Rocks with Lips"" would have been a charitable comment for many o",0,0,0,1,0
533495,false_negative,1,0.0021,1,"Why should anyone accept your assessment of what's happening in the Episcopal Church USA?   It's remarkably inaccurate.  The Roman Catholic church has by no means avoided ""that disaster!""",0,0,0,1,0
6144366,false_negative,1,0.0022,1,"Cardinal Ratzinger also taught that God created women because the animals alone could not satisfy Adam's ""loneliness"".  Clear teaching?",0,1,0,1,1
6162740,false_negative,1,0.0023,1,Why do you assume he or other Latinos are only capable of doing field work?,0,0,0,0,1
5673390,false_negative,1,0.0023,1,"Scientific American cites studies saying that the additional medical cost of transgender soldiers is between 2.4 million and 8.4 million per year. That is literally nothing, less than the cost of toilet seats.
https://ww",0,0,0,0,0
