subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,555,183,7437,619,0.024015748031496063,0.02081061258984508,0.02770055606684202,0.5272572402044293,0.49865615720484663,0.5556805275167793,0.7520325203252033,0.4727427597955707,0.5805439330543933,True,True
male,7346,6224,1122,560,190,6034,562,0.030526992287917738,0.026534200605211094,0.035098944900933265,0.5008912655971479,0.4716817734063645,0.530094675652542,0.7466666666666667,0.49910873440285203,0.5982905982905983,True,True
christian,6689,6023,666,228,100,5923,438,0.016603021749958494,0.013670477842788846,0.02015179211627209,0.6576576576576577,0.6208092320062684,0.6926977885500896,0.6951219512195121,0.34234234234234234,0.4587525150905432,True,True
white,4218,3024,1194,662,283,2741,532,0.09358465608465609,0.08371344450413942,0.1044871157202523,0.4455611390284757,0.41758839009610016,0.47388305711195666,0.7005291005291006,0.5544388609715243,0.6189808321645629,True,True
muslim,3471,2651,820,346,119,2532,474,0.044888721237268954,0.03764343027655441,0.053451071060682656,0.5780487804878048,0.5439588429936972,0.6114108566366518,0.7440860215053764,0.4219512195121951,0.5385214007782101,True,True
black,2472,1657,815,460,160,1497,355,0.09656004828002414,0.08325786097869023,0.11172851601760822,0.43558282208588955,0.40192243034430924,0.4698476188283079,0.7419354838709677,0.5644171779141104,0.6411149825783972,True,True
homosexual_gay_or_lesbian,1818,1319,499,233,123,1196,266,0.0932524639878696,0.07871923465420176,0.11014803825651152,0.533066132264529,0.48920633644371964,0.5764207104537147,0.6544943820224719,0.46693386773547096,0.5450292397660819,True,True
jewish,1334,1124,210,67,36,1088,143,0.03202846975088968,0.023223525582693243,0.04402126155254498,0.680952380952381,0.6151448195663155,0.740258666825563,0.6504854368932039,0.319047619047619,0.42811501597444085,True,True
psychiatric_or_mental_illness,838,690,148,95,44,646,53,0.06376811594202898,0.04784285981667946,0.08452377474101166,0.3581081081081081,0.28535443908439284,0.4380412637348432,0.6834532374100719,0.6418918918918919,0.662020905923345,True,True
asian,780,686,94,49,24,662,45,0.03498542274052478,0.0236210634195192,0.051528752756097085,0.4787234042553192,0.3805716814684006,0.5785458536929418,0.6712328767123288,0.5212765957446809,0.5868263473053892,True,False
transgender,412,327,85,37,14,313,48,0.04281345565749235,0.02567173314045874,0.07057212618175279,0.5647058823529412,0.45877384107249547,0.6650422257280391,0.7254901960784313,0.43529411764705883,0.5441176470588236,True,False
latino,355,276,79,40,12,264,39,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.4936708860759494,0.386302721761508,0.6016260277530985,0.7692307692307693,0.5063291139240507,0.6106870229007635,True,False
atheist,217,195,22,8,4,191,14,0.020512820512820513,0.008005250618458151,0.05154701222916154,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.6666666666666666,0.36363636363636365,0.4705882352941177,True,False
heterosexual,186,151,35,15,8,143,20,0.052980132450331126,0.02708730604785465,0.1010531737164859,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.6521739130434783,0.42857142857142855,0.5172413793103448,True,False
buddhist,94,80,14,7,3,77,7,0.0375,0.012834568919911422,0.10454720090045114,0.5,0.26799202452413634,0.7320079754758637,0.7,0.5,0.5833333333333334,False,False
other_race_or_ethnicity,89,71,18,6,2,69,12,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.6666666666666666,0.437494672959451,0.8372122524916629,0.75,0.3333333333333333,0.46153846153846156,False,False
hindu,81,71,10,4,0,71,6,0.0,0.0,0.05132795219689032,0.6,0.3126737697336583,0.8318196702937637,1.0,0.4,0.5714285714285715,False,False
other_religion,45,42,3,0,1,41,3,0.023809523809523808,0.004215404134432499,0.12321201573766641,1.0,0.4385029682449546,1.0,0.0,0.0,,False,False
bisexual,45,35,10,1,3,32,9,0.08571428571428572,0.029582368266969833,0.22379273965896493,0.9,0.5958499732047616,0.982123786904927,0.25,0.1,0.14285714285714288,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
